TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
00:00:00:047,-0.07,-0.22,1.02,-0.09,-0.01,-0.02
00:00:00:135,-0.07,-0.22,1.02,-0.10,-0.02,-0.02
00:00:00:233,-0.06,-0.23,1.01,-0.09,-0.02,-0.00
00:00:00:333,-0.04,-0.20,1.01,-0.10,-0.02,-0.03
00:00:00:433,-0.06,-0.20,1.01,-0.10,-0.01,-0.02
00:00:00:533,-0.01,-0.24,1.00,-0.10,0.02,-0.01
00:00:00:633,-0.03,-0.24,1.02,-0.10,0.10,0.01
00:00:00:733,-0.09,-0.22,1.01,-0.10,0.12,0.00
00:00:00:833,-0.12,-0.21,1.01,-0.10,0.04,-0.00
00:00:00:933,-0.10,-0.23,1.01,-0.10,-0.02,-0.02
00:00:01:033,-0.08,-0.23,1.00,-0.10,-0.03,-0.02
00:00:01:133,-0.07,-0.19,1.01,-0.09,-0.02,-0.02
00:00:01:233,-0.07,-0.23,1.02,-0.09,-0.02,-0.03
00:00:01:334,-0.07,-0.21,1.02,-0.09,-0.01,-0.02
00:00:01:433,-0.05,-0.21,0.98,-0.12,0.01,-0.02
00:00:01:533,-0.07,-0.25,1.02,-0.07,0.01,-0.02
00:00:01:633,-0.08,-0.19,1.02,-0.09,0.00,-0.02
00:00:01:733,-0.08,-0.22,0.96,-0.08,0.02,-0.01
00:00:01:834,-0.08,-0.29,1.14,-0.06,0.04,-0.02
00:00:01:933,-0.10,-0.18,0.97,-0.09,-0.01,-0.02
00:00:02:033,-0.07,-0.15,1.03,-0.05,-0.01,-0.02
00:00:02:133,-0.08,-0.14,1.07,-0.11,-0.02,-0.03
00:00:02:233,-0.07,-0.20,0.99,-0.12,-0.04,-0.03
00:00:02:333,-0.06,-0.19,0.97,-0.04,-0.03,-0.02
00:00:02:433,-0.04,-0.19,1.03,-0.12,-0.01,-0.02
00:00:02:533,-0.05,-0.20,1.06,-0.11,0.01,-0.02
00:00:02:633,-0.06,-0.22,0.97,-0.04,0.01,-0.01
00:00:02:733,-0.05,-0.21,1.02,-0.12,-0.01,-0.02
00:00:02:833,-0.03,-0.19,1.03,-0.11,-0.00,-0.02
00:00:02:933,-0.04,-0.26,1.03,-0.11,-0.01,-0.02
00:00:03:033,-0.04,-0.24,0.99,-0.09,0.02,-0.01
00:00:03:133,-0.06,-0.17,0.92,-0.04,0.04,-0.01
00:00:03:233,-0.06,-0.25,1.03,-0.09,0.02,-0.02
00:00:03:333,-0.08,-0.24,0.95,-0.13,-0.02,-0.02
00:00:03:433,-0.06,-0.14,1.02,-0.01,0.01,-0.01
00:00:03:533,-0.03,-0.30,0.95,-0.13,-0.01,-0.02
00:00:03:633,-0.06,-0.27,0.90,-0.11,-0.01,-0.02
00:00:03:733,-0.05,-0.27,0.90,-0.10,-0.02,-0.02
00:00:03:833,-0.07,-0.18,1.02,-0.13,-0.03,-0.03
00:00:03:933,-0.10,-0.07,1.02,-0.03,-0.01,-0.01
00:00:04:033,0.01,-0.09,1.14,0.00,0.03,0.00
00:00:04:133,-0.01,-0.07,1.15,-0.03,0.06,-0.01
00:00:04:233,-0.01,-0.10,1.17,-0.10,0.03,-0.02
00:00:04:333,-0.03,-0.13,1.14,-0.09,0.02,-0.03
00:00:04:433,-0.05,-0.24,0.97,-0.15,-0.01,-0.03
00:00:04:533,-0.04,-0.21,1.02,-0.19,-0.01,-0.03
00:00:04:633,-0.04,-0.34,0.99,-0.06,-0.00,-0.01
00:00:04:733,-0.07,-0.16,1.10,-0.07,-0.04,-0.04
00:00:04:833,-0.03,-0.31,0.95,-0.08,-0.06,-0.03
00:00:04:933,-0.01,-0.25,1.03,-0.15,-0.05,-0.04
00:00:05:033,-0.01,-0.35,0.89,-0.10,-0.06,-0.04
00:00:05:133,0.00,-0.14,1.03,-0.09,-0.07,-0.02
00:00:05:233,0.04,-0.09,1.14,-0.05,-0.02,-0.00
00:00:05:333,-0.02,-0.16,1.18,-0.10,0.05,-0.01
00:00:05:433,-0.04,-0.10,1.06,-0.09,0.04,-0.02
00:00:05:533,-0.01,-0.16,1.11,-0.16,-0.01,-0.05
00:00:05:633,0.04,-0.21,1.13,-0.17,-0.03,-0.06
00:00:05:733,0.02,-0.18,1.09,-0.15,-0.03,-0.08
00:00:05:833,0.00,-0.18,1.04,-0.13,-0.01,-0.10
00:00:05:934,-0.02,-0.20,1.03,-0.10,0.01,-0.12
00:00:06:033,0.02,-0.19,0.99,-0.16,0.03,-0.14
00:00:06:133,-0.01,-0.17,0.86,-0.05,0.11,-0.13
00:00:06:233,-0.01,-0.29,0.93,-0.07,0.16,-0.13
00:00:06:334,-0.07,-0.26,0.87,-0.05,0.14,-0.11
00:00:06:433,-0.11,-0.33,0.95,-0.05,0.08,-0.15
00:00:06:533,-0.06,-0.35,0.94,-0.05,0.07,-0.13
00:00:06:633,-0.07,-0.16,0.86,0.08,0.01,-0.07
00:00:06:733,-0.07,-0.19,0.95,0.05,0.06,-0.02
00:00:06:833,-0.05,-0.04,0.94,0.02,0.14,0.04
00:00:06:933,-0.08,-0.00,1.21,-0.14,-0.05,0.01
00:00:07:033,-0.04,-0.18,0.94,-0.06,-0.12,-0.11
00:00:07:133,-0.06,-0.27,1.31,-0.22,-0.05,-0.16
00:00:07:233,0.00,0.12,1.19,-0.03,-0.04,-0.06
00:00:07:333,-0.10,-0.06,0.91,-0.02,-0.00,-0.02
00:00:07:433,-0.06,0.06,1.03,-0.01,-0.11,-0.02
00:00:07:533,-0.05,-0.07,0.98,-0.04,-0.16,-0.00
00:00:07:633,-0.09,-0.35,0.85,-0.18,-0.10,0.13
00:00:07:733,0.06,-0.01,1.19,-0.21,0.01,0.07
00:00:07:833,0.05,0.27,1.19,0.04,0.08,0.05
00:00:07:933,-0.06,0.10,1.05,0.17,0.13,0.07
00:00:08:033,-0.06,-0.17,0.98,0.04,0.04,0.01
00:00:08:133,-0.03,-0.06,0.92,0.13,-0.02,0.05
00:00:08:233,-0.08,-0.04,1.08,0.02,0.08,0.16
00:00:08:333,-0.05,0.02,1.10,-0.06,0.05,0.23
00:00:08:433,-0.09,-0.20,0.93,-0.10,0.03,0.13
00:00:08:533,-0.03,0.00,1.25,-0.14,0.07,0.11
