TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
00:00:00:047,-0.06,-0.23,1.01,-0.09,-0.00,-0.02
00:00:00:134,-0.07,-0.23,1.01,-0.09,0.00,-0.02
00:00:00:232,-0.07,-0.23,1.00,-0.09,0.00,-0.02
00:00:00:332,-0.07,-0.23,1.01,-0.09,-0.00,-0.02
00:00:00:432,-0.07,-0.23,1.01,-0.09,0.00,-0.02
00:00:00:533,-0.07,-0.23,1.00,-0.09,-0.00,-0.02
00:00:00:632,-0.06,-0.23,1.01,-0.09,-0.00,-0.02
00:00:00:732,-0.06,-0.23,1.01,-0.09,-0.00,-0.02
00:00:00:832,-0.06,-0.23,1.01,-0.09,-0.00,-0.02
00:00:00:932,-0.06,-0.23,1.01,-0.09,-0.00,-0.02
00:00:01:032,-0.06,-0.23,1.01,-0.09,-0.00,-0.02
00:00:01:132,-0.06,-0.23,1.01,-0.09,-0.00,-0.02
00:00:01:232,-0.06,-0.23,1.01,-0.09,-0.00,-0.02
00:00:01:332,-0.06,-0.23,1.01,-0.09,-0.00,-0.02
00:00:01:432,-0.06,-0.23,1.01,-0.09,-0.00,-0.02
00:00:01:533,-0.06,-0.23,1.01,-0.09,-0.01,-0.02
00:00:01:632,-0.06,-0.23,1.01,-0.09,-0.01,-0.02
00:00:01:732,-0.05,-0.23,1.00,-0.09,-0.02,-0.02
00:00:01:832,-0.05,-0.23,1.01,-0.09,-0.01,-0.02
00:00:01:932,-0.06,-0.24,1.00,-0.09,-0.02,-0.02
00:00:02:032,-0.05,-0.24,1.01,-0.09,-0.03,-0.03
00:00:02:132,-0.04,-0.23,1.01,-0.09,-0.03,-0.03
00:00:02:232,-0.04,-0.23,1.02,-0.09,-0.02,-0.02
00:00:02:332,-0.03,-0.23,1.01,-0.09,-0.01,-0.02
00:00:02:432,-0.04,-0.23,1.01,-0.09,-0.00,-0.01
00:00:02:532,-0.04,-0.24,1.01,-0.10,-0.00,-0.02
00:00:02:632,-0.04,-0.23,1.01,-0.09,-0.01,-0.03
00:00:02:732,-0.05,-0.23,1.01,-0.09,-0.02,-0.02
00:00:02:832,-0.03,-0.22,1.01,-0.09,-0.03,-0.03
00:00:02:932,-0.02,-0.20,1.01,-0.07,-0.01,-0.02
