TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
00:00:00:050,-0.10,-0.22,1.01,-0.10,-0.02,-0.02
00:00:00:159,-0.09,-0.22,1.01,-0.09,-0.02,-0.02
00:00:00:257,-0.09,-0.23,1.00,-0.09,-0.01,-0.02
00:00:00:357,-0.09,-0.23,1.01,-0.10,-0.01,-0.02
00:00:00:457,-0.09,-0.22,1.00,-0.10,-0.01,-0.02
00:00:00:557,-0.09,-0.22,1.01,-0.10,-0.02,-0.02
00:00:00:657,-0.08,-0.22,1.01,-0.10,-0.02,-0.02
00:00:00:757,-0.08,-0.23,1.02,-0.09,-0.01,-0.02
00:00:00:857,-0.08,-0.22,1.01,-0.10,-0.01,-0.02
00:00:00:957,-0.08,-0.22,1.01,-0.10,-0.00,-0.02
00:00:01:057,-0.08,-0.23,1.00,-0.09,-0.01,-0.02
00:00:01:157,-0.08,-0.24,1.00,-0.09,-0.02,-0.02
00:00:01:257,-0.07,-0.23,1.01,-0.09,-0.01,-0.02
00:00:01:357,-0.07,-0.22,1.01,-0.10,-0.01,-0.02
00:00:01:457,-0.07,-0.22,1.01,-0.10,-0.00,-0.01
00:00:01:557,-0.07,-0.22,1.01,-0.10,0.00,-0.02
00:00:01:657,-0.07,-0.23,1.01,-0.10,0.00,-0.02
00:00:01:757,-0.07,-0.23,1.02,-0.10,0.00,-0.03
00:00:01:857,-0.07,-0.23,1.01,-0.09,0.00,-0.01
00:00:01:957,-0.06,-0.22,1.03,-0.07,0.02,-0.02
00:00:02:057,-0.07,-0.25,1.00,-0.09,0.01,-0.02
00:00:02:157,-0.08,-0.23,1.00,-0.09,0.02,-0.02
00:00:02:257,-0.07,-0.22,0.98,-0.10,0.00,-0.02
00:00:02:357,-0.08,-0.20,0.91,-0.13,-0.02,-0.03
00:00:02:457,-0.03,-0.29,1.03,-0.15,-0.05,-0.02
00:00:02:557,-0.09,-0.28,1.08,-0.13,-0.03,-0.03
00:00:02:657,-0.05,-0.18,1.00,-0.10,-0.05,-0.03
00:00:02:757,-0.08,-0.18,1.02,-0.11,-0.06,-0.04
00:00:02:857,-0.06,-0.15,1.08,-0.10,-0.10,-0.04
00:00:02:957,-0.06,-0.23,0.93,-0.05,-0.12,-0.05
00:00:03:057,0.00,-0.14,1.11,-0.18,-0.11,-0.04
00:00:03:157,-0.01,-0.26,0.89,-0.11,-0.07,-0.02
00:00:03:257,0.01,-0.15,1.00,0.01,-0.03,-0.03
00:00:03:357,-0.01,-0.16,1.00,0.10,-0.00,0.00
00:00:03:457,0.02,-0.13,1.05,0.10,0.04,0.02
00:00:03:557,0.01,-0.17,0.98,0.10,0.08,0.03
00:00:03:657,-0.02,-0.28,0.96,0.02,0.10,0.05
00:00:03:757,-0.00,-0.26,1.02,-0.07,0.10,0.02
00:00:03:857,-0.02,-0.16,1.05,-0.13,0.03,-0.03
00:00:03:957,-0.06,-0.31,0.87,-0.27,0.01,-0.05
00:00:04:057,-0.06,-0.18,0.98,-0.31,0.01,-0.06
00:00:04:157,-0.03,0.15,1.17,-0.09,0.03,-0.08
00:00:04:257,-0.05,0.24,1.08,0.20,-0.04,-0.11
00:00:04:357,-0.02,0.13,1.02,0.34,0.00,-0.14
00:00:04:457,-0.07,-0.05,0.76,-0.01,0.01,-0.02
00:00:04:557,-0.06,-0.07,0.95,0.14,0.06,0.01
00:00:04:657,-0.05,-0.14,1.01,0.07,0.18,0.15
00:00:04:757,-0.05,-0.12,0.78,-0.10,0.06,0.08
00:00:04:857,-0.01,-0.26,1.13,-0.02,0.25,0.14
00:00:04:957,-0.01,-0.12,0.95,-0.18,0.10,0.03
00:00:05:057,-0.06,-0.02,0.98,-0.04,0.14,-0.05
00:00:05:157,-0.06,-0.20,0.85,-0.14,0.05,-0.19
00:00:05:257,-0.04,-0.16,0.76,-0.14,-0.13,-0.33
00:00:05:357,-0.01,-0.08,0.94,0.13,-0.07,-0.36
00:00:05:457,0.00,-0.26,0.96,-0.04,-0.01,-0.39
00:00:05:557,-0.02,-0.31,0.76,-0.04,-0.14,-0.37
00:00:05:657,-0.02,-0.32,0.71,-0.10,-0.30,-0.34
00:00:05:757,-0.04,-0.07,0.85,0.10,-0.14,-0.23
00:00:05:857,-0.06,0.00,0.90,0.28,-0.03,-0.06
00:00:05:957,-0.01,0.10,1.16,0.07,-0.17,-0.11
00:00:06:057,0.01,0.13,1.20,0.18,-0.08,-0.08
00:00:06:157,-0.06,0.20,0.91,-0.06,-0.14,0.08
00:00:06:257,-0.09,0.02,0.77,0.03,-0.07,0.19
00:00:06:357,-0.05,-0.20,1.10,-0.35,-0.07,0.27
00:00:06:457,-0.06,-0.10,1.32,-0.26,0.08,0.28
00:00:06:557,-0.05,-0.16,1.08,-0.15,0.16,0.17
00:00:06:657,-0.02,-0.13,1.16,-0.07,0.12,0.23
00:00:06:757,-0.10,-0.04,1.13,-0.22,-0.05,0.11
00:00:06:857,-0.09,-0.36,1.27,-0.07,0.04,0.09
00:00:06:957,-0.09,-0.17,1.00,-0.04,-0.02,0.05
00:00:07:057,-0.01,-0.10,1.03,-0.09,0.10,0.17
00:00:07:157,-0.09,-0.34,1.07,-0.17,0.17,0.21
00:00:07:257,-0.06,-0.34,1.03,-0.13,0.10,0.09
00:00:07:357,-0.00,-0.02,0.93,0.05,-0.08,0.01
00:00:07:457,-0.03,-0.23,1.01,-0.07,0.22,-0.03
00:00:07:557,-0.02,-0.09,1.01,-0.19,0.04,-0.11
00:00:07:657,-0.09,-0.12,1.17,0.13,0.11,-0.03
00:00:07:757,-0.09,-0.06,0.83,0.11,0.07,0.03
00:00:07:857,-0.03,-0.15,0.82,0.30,0.01,0.06
00:00:07:957,-0.09,-0.48,0.98,-0.28,0.28,-0.01
00:00:08:057,-0.09,-0.22,1.16,-0.46,-0.06,-0.01
