TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
00:00:00:047,-0.08,-0.22,0.94,-0.05,0.01,-0.02
00:00:00:134,-0.08,-0.20,1.02,-0.14,0.01,-0.01
00:00:00:232,-0.05,-0.20,1.04,-0.12,0.01,-0.02
00:00:00:332,-0.08,-0.24,0.91,-0.05,0.00,-0.02
00:00:00:432,-0.07,-0.23,1.00,-0.14,0.01,-0.00
00:00:00:532,-0.05,-0.22,1.10,-0.13,-0.00,-0.02
00:00:00:632,-0.09,-0.24,0.93,-0.04,0.01,-0.02
00:00:00:732,-0.07,-0.32,0.96,-0.17,-0.01,-0.01
00:00:00:832,-0.09,-0.29,0.91,-0.11,0.03,-0.02
00:00:00:932,-0.06,-0.21,0.96,-0.08,0.01,-0.02
00:00:01:030,-0.06,-0.30,1.02,-0.06,0.01,-0.03
00:00:01:132,-0.03,-0.25,1.04,-0.12,0.03,-0.02
00:00:01:232,-0.12,-0.09,0.93,-0.16,0.02,-0.02
00:00:01:332,-0.12,-0.13,0.95,-0.22,-0.07,-0.03
00:00:01:433,-0.06,-0.19,1.07,-0.31,-0.10,-0.01
00:00:01:532,0.00,-0.29,1.15,-0.29,-0.08,-0.01
00:00:01:632,-0.04,-0.32,1.12,-0.21,-0.03,-0.01
00:00:01:732,-0.10,-0.37,0.94,-0.10,-0.01,-0.02
00:00:01:832,-0.09,-0.29,0.86,0.01,-0.02,-0.02
00:00:01:932,-0.08,-0.25,0.83,0.06,-0.03,-0.04
00:00:02:032,-0.04,-0.06,0.95,0.20,0.02,-0.03
00:00:02:132,0.01,-0.01,0.99,0.27,0.03,-0.01
00:00:02:232,-0.05,-0.21,0.90,0.23,0.04,-0.08
00:00:02:332,-0.03,-0.26,0.69,0.18,-0.03,-0.09
00:00:02:432,-0.08,-0.25,1.01,-0.19,-0.11,-0.08
00:00:02:532,-0.09,-0.30,0.92,-0.26,-0.03,-0.14
00:00:02:632,-0.07,-0.01,0.93,-0.31,-0.01,-0.11
00:00:02:732,-0.02,0.26,1.43,-0.02,0.20,-0.11
00:00:02:832,-0.01,0.37,1.09,0.16,0.13,-0.14
00:00:02:932,-0.01,0.02,1.00,0.32,0.13,-0.13
00:00:03:032,-0.04,-0.07,0.83,0.45,0.05,-0.14
00:00:03:132,0.00,-0.52,0.89,-0.02,-0.00,-0.10
00:00:03:232,0.02,-0.16,0.63,0.14,-0.08,-0.10
00:00:03:332,0.02,-0.18,0.94,0.02,-0.05,-0.07
00:00:03:432,-0.05,-0.19,0.99,-0.19,-0.02,-0.08
00:00:03:532,-0.08,-0.26,0.86,-0.47,0.05,-0.20
00:00:03:632,-0.03,-0.42,1.16,-0.18,-0.22,-0.19
00:00:03:732,0.03,-0.20,0.96,-0.03,-0.05,-0.18
00:00:03:832,-0.01,-0.10,0.86,0.21,0.03,-0.10
00:00:03:932,0.03,-0.08,0.78,0.05,-0.14,-0.08
00:00:04:032,0.09,-0.29,0.93,-0.19,-0.11,0.01
00:00:04:132,0.02,-0.23,1.17,-0.30,-0.04,0.01
00:00:04:232,-0.02,0.07,0.90,-0.04,-0.01,0.04
00:00:04:332,-0.03,-0.62,1.01,-0.18,0.06,0.03
00:00:04:432,0.02,-0.14,1.17,-0.09,-0.09,-0.03
00:00:04:532,-0.07,-0.22,0.91,-0.14,-0.10,-0.04
00:00:04:632,-0.01,-0.02,1.02,-0.19,-0.12,0.03
00:00:04:732,-0.04,-0.12,1.14,-0.21,-0.04,0.01
00:00:04:832,-0.12,-0.19,1.07,0.05,0.03,0.04
00:00:04:932,-0.06,-0.10,0.73,-0.09,-0.14,0.19
00:00:05:032,-0.08,-0.43,0.90,-0.01,0.16,0.27
00:00:05:132,-0.12,-0.08,1.23,-0.17,0.18,0.19
00:00:05:232,-0.02,-0.44,0.89,0.07,0.08,-0.03
00:00:05:332,0.02,-0.36,1.13,-0.38,-0.12,-0.19
00:00:05:432,-0.10,-0.22,0.99,-0.03,0.04,-0.09
00:00:05:532,-0.04,-0.23,1.46,0.12,0.11,0.07
00:00:05:632,-0.05,-0.05,0.90,0.08,-0.11,0.08
00:00:05:732,0.01,-0.25,1.53,-0.16,0.17,0.14
00:00:05:832,0.05,-0.29,1.05,0.02,-0.04,0.13
00:00:05:933,0.01,-0.37,1.09,-0.24,-0.09,0.04
00:00:06:032,-0.08,-0.27,0.68,-0.00,-0.03,0.03
00:00:06:132,-0.01,-0.37,0.91,-0.06,-0.10,0.05
00:00:06:232,-0.02,-0.05,0.94,-0.24,0.05,0.16
00:00:06:332,-0.00,-0.16,0.99,-0.07,-0.07,0.12
00:00:06:433,-0.01,-0.15,0.73,-0.24,-0.04,0.08
00:00:06:532,-0.06,-0.01,0.97,-0.23,0.01,0.10
00:00:06:632,-0.01,-0.21,1.09,-0.06,0.08,0.04
00:00:06:732,0.02,-0.48,1.19,-0.12,0.06,-0.02
00:00:06:832,-0.08,-0.50,1.10,-0.12,0.06,0.07
00:00:06:932,-0.03,-0.44,0.84,-0.14,0.01,0.18
00:00:07:032,0.08,-0.78,0.87,-0.16,0.10,0.15
00:00:07:132,-0.01,-0.06,0.83,-0.28,0.18,0.03
00:00:07:232,-0.06,-0.40,0.76,0.01,-0.12,-0.13
00:00:07:332,-0.02,-0.77,1.07,-1.33,-0.56,-0.34
00:00:07:432,-0.19,-0.29,1.67,0.51,0.08,-0.26
00:00:07:532,-0.21,-0.21,1.56,0.15,0.27,-0.20
00:00:07:632,-0.03,-0.14,1.47,0.42,0.23,0.18
00:00:07:732,0.03,-0.52,0.80,0.08,0.07,0.21
00:00:07:832,-0.07,0.09,1.06,-0.33,0.18,0.21
00:00:07:932,0.04,0.09,0.74,0.87,0.45,0.11
00:00:08:032,0.14,-0.64,1.02,-0.63,-0.15,-0.05
00:00:08:132,0.02,0.21,0.26,-0.08,-0.41,-0.13
00:00:08:232,-0.03,-0.39,0.83,0.01,0.15,-0.10
00:00:08:332,-0.12,-0.07,1.09,-0.20,0.01,0.01
00:00:08:432,-0.09,-0.24,1.01,0.07,0.00,0.08
00:00:08:532,-0.00,-0.13,0.85,0.47,0.36,0.19
00:00:08:632,-0.04,-0.53,1.26,-0.25,0.10,0.06
00:00:08:732,0.02,-0.08,0.44,0.05,-0.02,-0.02
00:00:08:832,0.03,-0.84,1.02,-0.36,0.02,-0.06
00:00:08:932,-0.07,-0.02,0.96,-0.50,0.01,-0.02
00:00:09:032,-0.02,-0.29,0.93,0.45,0.12,0.13
00:00:09:132,-0.21,-0.03,1.23,-0.25,0.23,-0.03
00:00:09:232,-0.09,-0.38,1.06,0.73,0.38,0.06
00:00:09:332,-0.08,-0.39,1.33,-0.31,0.10,-0.06
00:00:09:432,0.03,-0.30,0.83,-0.10,0.06,-0.05
00:00:09:532,-0.08,-0.35,1.02,-0.01,0.10,-0.09
00:00:09:632,-0.04,-0.25,1.09,-0.18,0.03,-0.12
00:00:09:732,-0.09,-0.70,1.12,-0.24,0.16,-0.13
00:00:09:832,-0.04,-0.57,1.11,-0.28,-0.08,-0.18
00:00:09:932,-0.06,-0.40,1.02,-0.14,0.10,-0.17
00:00:10:032,0.05,-0.36,0.72,0.09,-0.03,-0.18
00:00:10:132,-0.03,-0.39,1.29,-0.26,0.00,-0.23
00:00:10:232,-0.08,-0.22,1.02,-0.10,0.16,-0.18
00:00:10:332,-0.05,-0.31,1.01,-0.03,0.04,-0.27
00:00:10:432,-0.05,-0.17,0.79,-0.14,0.01,-0.27
00:00:10:532,-0.07,-0.48,1.09,-0.30,-0.02,-0.32
00:00:10:632,-0.05,-0.10,0.97,0.05,0.12,-0.30
00:00:10:732,0.00,-0.48,1.14,-0.02,0.15,-0.28
00:00:10:832,-0.08,-0.40,0.86,0.19,0.09,-0.29
00:00:10:932,-0.08,-0.39,1.40,-0.09,0.02,-0.31
00:00:11:032,-0.04,-0.34,1.11,0.16,0.08,-0.27
