TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
00:00:00:048,0.22,-0.17,1.00,-0.11,0.04,-0.00
00:00:00:134,0.21,-0.17,1.00,-0.11,0.03,0.01
00:00:00:232,0.23,-0.17,0.99,-0.15,0.09,-0.01
00:00:00:332,0.22,-0.21,0.98,-0.14,0.12,0.00
00:00:00:432,0.21,-0.23,0.99,-0.14,0.13,-0.02
00:00:00:532,0.20,-0.15,1.04,-0.10,0.25,0.02
00:00:00:632,0.16,-0.16,1.02,-0.11,0.38,0.06
00:00:00:732,0.07,-0.20,0.99,-0.12,0.37,0.06
00:00:00:832,0.04,-0.20,1.00,-0.11,0.34,0.06
00:00:00:932,0.01,-0.20,1.01,-0.09,0.34,0.06
00:00:01:032,-0.05,-0.19,1.03,-0.08,0.31,0.05
00:00:01:132,-0.08,-0.19,1.02,-0.09,0.23,0.03
00:00:01:232,-0.08,-0.20,1.01,-0.08,0.18,0.02
00:00:01:332,-0.10,-0.20,1.04,-0.10,0.13,-0.00
00:00:01:432,-0.11,-0.18,1.01,-0.10,0.05,-0.05
00:00:01:532,-0.09,-0.18,0.99,-0.10,0.05,-0.03
00:00:01:632,-0.12,-0.16,1.02,-0.10,0.06,-0.00
00:00:01:733,-0.11,-0.18,1.03,-0.10,-0.01,-0.02
00:00:01:832,-0.08,-0.18,1.00,-0.12,0.00,-0.03
00:00:01:932,-0.12,-0.21,1.02,-0.12,0.01,-0.01
00:00:02:032,-0.13,-0.26,1.08,-0.13,-0.08,-0.01
00:00:02:132,-0.10,-0.20,0.95,-0.09,0.01,-0.01
00:00:02:232,-0.08,-0.18,0.99,-0.09,-0.02,-0.01
00:00:02:332,-0.05,-0.17,1.02,-0.12,0.01,-0.01
00:00:02:432,-0.09,-0.17,1.03,-0.13,0.02,-0.03
00:00:02:532,-0.11,-0.24,1.01,-0.14,0.03,-0.02
00:00:02:632,-0.12,-0.25,1.02,-0.11,0.00,-0.02
00:00:02:732,-0.09,-0.21,0.99,-0.09,-0.01,-0.02
00:00:02:832,-0.09,-0.20,1.02,-0.09,0.00,-0.02
00:00:02:932,-0.10,-0.21,1.01,-0.09,-0.01,-0.02
00:00:03:032,-0.10,-0.21,1.00,-0.09,-0.02,-0.02
00:00:03:132,-0.10,-0.23,1.00,-0.10,-0.04,-0.03
00:00:03:232,-0.07,-0.22,1.01,-0.09,-0.03,-0.03
00:00:03:332,-0.07,-0.21,1.01,-0.09,0.01,-0.03
00:00:03:432,-0.08,-0.20,1.01,-0.09,0.02,-0.02
00:00:03:532,-0.08,-0.20,1.01,-0.09,0.03,-0.02
00:00:03:632,-0.09,-0.21,1.02,-0.10,0.03,-0.02
00:00:03:732,-0.10,-0.21,1.00,-0.10,0.01,-0.03
00:00:03:832,-0.10,-0.21,1.01,-0.09,-0.01,-0.03
00:00:03:932,-0.09,-0.20,1.01,-0.09,-0.02,-0.03
00:00:04:032,-0.08,-0.18,1.02,-0.09,-0.02,-0.03
00:00:04:132,-0.08,-0.19,1.02,-0.09,-0.01,-0.03
00:00:04:232,-0.08,-0.21,1.01,-0.09,-0.02,-0.03
00:00:04:332,-0.08,-0.22,1.01,-0.09,-0.04,-0.03
00:00:04:432,-0.07,-0.21,1.01,-0.09,-0.04,-0.03
00:00:04:532,-0.06,-0.19,1.02,-0.09,-0.02,-0.02
00:00:04:632,-0.06,-0.21,1.02,-0.09,-0.01,-0.02
00:00:04:732,-0.07,-0.22,1.01,-0.09,-0.02,-0.03
00:00:04:832,-0.07,-0.20,1.01,-0.10,-0.02,-0.02
00:00:04:932,-0.06,-0.21,1.02,-0.09,-0.03,-0.03
00:00:05:032,-0.06,-0.20,1.01,-0.09,-0.04,-0.03
00:00:05:132,-0.04,-0.22,1.01,-0.09,-0.03,-0.02
00:00:05:232,-0.04,-0.22,1.00,-0.09,-0.03,-0.03
00:00:05:332,-0.04,-0.21,1.01,-0.10,-0.04,-0.03
00:00:05:432,-0.03,-0.21,1.03,-0.09,-0.02,-0.03
00:00:05:532,-0.03,-0.20,1.00,-0.10,-0.02,-0.04
00:00:05:632,-0.02,-0.20,1.03,-0.10,0.00,-0.02
00:00:05:732,-0.02,-0.20,1.01,-0.09,0.03,-0.02
00:00:05:832,-0.04,-0.21,1.02,-0.10,0.04,-0.02
00:00:05:932,-0.05,-0.20,1.02,-0.09,0.01,-0.02
00:00:06:032,-0.04,-0.20,1.01,-0.09,-0.01,-0.02
00:00:06:132,-0.03,-0.20,1.00,-0.10,-0.04,-0.04
00:00:06:232,-0.03,-0.20,1.04,-0.10,0.02,0.00
00:00:06:332,-0.03,-0.22,1.01,-0.10,0.01,-0.02
00:00:06:432,-0.03,-0.21,1.01,-0.10,0.03,-0.01
00:00:06:532,-0.04,-0.21,1.02,-0.09,0.04,-0.02
00:00:06:632,-0.04,-0.21,1.01,-0.09,0.04,-0.01
00:00:06:732,-0.04,-0.20,1.01,-0.08,0.04,-0.00
