TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
00:00:00:048,-0.07,-0.25,1.06,-0.09,0.01,-0.02
00:00:00:134,-0.06,-0.26,0.98,-0.14,0.00,-0.02
00:00:00:232,-0.05,-0.30,0.99,-0.08,-0.01,-0.02
00:00:00:332,-0.07,-0.17,0.98,-0.05,0.01,-0.02
00:00:00:432,-0.06,-0.29,1.04,-0.08,-0.02,-0.02
00:00:00:532,-0.05,-0.26,1.00,-0.10,0.01,-0.01
00:00:00:632,-0.05,-0.25,1.00,-0.11,0.01,-0.03
00:00:00:732,-0.04,-0.26,0.98,-0.08,-0.02,-0.01
00:00:00:832,-0.06,-0.25,1.03,-0.10,0.02,-0.02
00:00:00:932,-0.06,-0.23,1.00,-0.07,-0.01,-0.02
00:00:01:032,-0.05,-0.25,1.01,-0.16,-0.01,-0.02
00:00:01:132,-0.04,-0.27,1.01,-0.10,-0.03,-0.02
00:00:01:232,-0.06,-0.25,0.99,-0.09,0.02,-0.02
00:00:01:332,-0.06,-0.28,1.05,-0.08,-0.01,-0.02
00:00:01:433,-0.05,-0.27,1.00,-0.14,-0.01,-0.02
00:00:01:532,-0.04,-0.26,1.01,-0.10,0.01,-0.01
00:00:01:632,-0.02,-0.22,1.03,-0.08,0.00,-0.02
00:00:01:732,-0.04,-0.25,1.03,-0.10,0.03,-0.01
00:00:01:832,-0.06,-0.23,1.05,-0.08,0.03,-0.01
00:00:01:932,-0.05,-0.25,0.98,-0.16,0.01,-0.02
00:00:02:032,-0.03,-0.31,1.00,-0.11,0.00,-0.01
00:00:02:132,-0.05,-0.28,1.01,-0.09,0.03,-0.01
00:00:02:232,-0.04,-0.15,1.12,-0.14,-0.02,-0.02
00:00:02:332,-0.04,-0.21,0.91,-0.10,0.02,-0.01
00:00:02:432,-0.05,-0.27,1.00,-0.09,-0.00,-0.00
00:00:02:532,-0.08,-0.10,1.25,-0.12,0.03,-0.02
00:00:02:632,-0.11,-0.16,0.89,-0.13,0.03,-0.01
00:00:02:732,-0.07,-0.19,0.87,-0.18,0.04,-0.03
00:00:02:832,-0.05,-0.25,0.88,-0.19,0.02,-0.03
00:00:02:932,-0.09,-0.22,0.95,-0.23,0.06,-0.03
00:00:03:032,-0.11,-0.22,0.87,-0.20,0.09,-0.04
00:00:03:132,-0.11,-0.18,0.90,-0.28,0.12,-0.06
00:00:03:232,-0.11,-0.17,0.96,-0.23,0.13,-0.10
00:00:03:332,-0.12,-0.16,0.90,-0.11,0.14,-0.10
00:00:03:432,-0.13,-0.15,0.93,-0.18,0.11,-0.14
00:00:03:532,-0.13,-0.16,0.98,-0.17,0.14,-0.19
00:00:03:632,-0.11,-0.14,1.01,-0.14,0.07,-0.24
00:00:03:732,-0.10,-0.18,1.12,-0.17,0.02,-0.33
00:00:03:832,-0.07,-0.17,1.03,-0.15,-0.02,-0.40
00:00:03:932,-0.11,-0.13,1.01,-0.09,-0.02,-0.36
00:00:04:032,-0.13,-0.14,0.91,-0.16,-0.02,-0.27
00:00:04:132,-0.10,-0.21,0.88,-0.18,-0.02,-0.18
00:00:04:232,-0.09,-0.16,0.87,-0.17,0.02,-0.05
00:00:04:332,-0.09,-0.20,0.90,-0.15,0.01,0.00
00:00:04:432,-0.05,-0.12,1.11,-0.24,-0.03,-0.03
00:00:04:533,-0.02,-0.26,1.15,-0.19,-0.10,-0.03
00:00:04:632,-0.09,-0.27,1.00,-0.18,-0.01,-0.02
00:00:04:732,-0.07,-0.27,0.82,0.02,-0.16,0.00
00:00:04:832,-0.04,0.09,1.10,0.04,-0.10,0.12
00:00:04:932,-0.04,0.07,1.13,-0.18,-0.03,0.19
00:00:05:032,-0.09,-0.04,1.00,-0.16,0.01,0.19
00:00:05:132,-0.05,-0.14,1.04,-0.11,-0.03,0.14
00:00:05:232,-0.09,-0.08,1.00,-0.15,-0.05,0.15
00:00:05:332,-0.08,-0.21,1.04,-0.13,-0.04,0.19
00:00:05:432,-0.07,-0.28,0.95,-0.09,0.03,0.26
00:00:05:532,-0.05,-0.25,0.84,0.02,0.10,0.29
00:00:05:632,-0.08,-0.40,0.87,-0.14,0.12,0.30
00:00:05:732,-0.08,-0.28,0.86,-0.03,0.16,0.22
00:00:05:832,-0.10,-0.37,0.94,-0.14,0.05,0.05
00:00:05:932,-0.07,-0.29,0.94,-0.08,-0.03,-0.05
00:00:06:032,-0.05,-0.30,0.84,-0.01,-0.08,-0.05
00:00:06:132,-0.11,-0.17,1.10,-0.13,-0.07,0.01
00:00:06:232,-0.09,-0.12,1.02,-0.05,-0.03,0.06
00:00:06:332,-0.05,-0.32,1.02,-0.13,-0.00,0.11
00:00:06:432,-0.11,-0.19,1.06,-0.14,0.00,0.13
00:00:06:532,-0.10,-0.26,0.88,-0.13,0.10,0.17
00:00:06:632,-0.13,-0.26,1.06,-0.15,0.10,0.13
00:00:06:733,-0.06,-0.31,0.99,-0.10,0.06,-0.01
00:00:06:832,-0.07,-0.20,0.93,-0.02,0.05,-0.07
00:00:06:932,-0.06,-0.28,1.00,-0.10,0.04,-0.11
00:00:07:032,-0.08,-0.35,0.99,-0.12,0.04,-0.09
00:00:07:132,-0.06,-0.29,1.00,-0.13,0.05,-0.09
00:00:07:232,-0.07,-0.31,0.98,-0.13,0.04,-0.09
00:00:07:332,-0.07,-0.34,1.06,-0.13,0.06,-0.10
00:00:07:432,-0.06,-0.26,1.02,-0.08,0.06,-0.14
00:00:07:532,-0.07,-0.26,1.01,-0.01,-0.02,-0.15
00:00:07:632,-0.06,-0.34,1.09,-0.09,-0.03,-0.12
00:00:07:732,-0.03,-0.35,1.05,-0.05,-0.12,-0.21
00:00:07:832,-0.01,-0.27,1.07,0.02,-0.10,-0.30
00:00:07:932,0.06,-0.22,0.99,-0.04,-0.18,-0.28
00:00:08:032,-0.02,-0.32,0.90,-0.15,0.06,-0.08
00:00:08:132,-0.11,-0.29,0.97,-0.10,0.09,0.13
00:00:08:232,-0.09,-0.21,0.92,-0.15,0.01,0.10
00:00:08:332,-0.02,-0.30,0.97,-0.12,0.04,0.03
00:00:08:432,-0.07,-0.36,0.93,-0.20,0.11,0.11
00:00:08:532,-0.09,-0.39,0.99,-0.14,0.09,0.17
00:00:08:632,-0.07,-0.33,0.77,-0.13,0.16,0.18
00:00:08:732,-0.12,-0.40,0.88,-0.30,0.08,0.09
00:00:08:832,-0.07,-0.49,1.10,-0.23,0.02,-0.05
00:00:08:932,-0.06,-0.34,1.14,-0.02,0.07,-0.13
00:00:09:032,-0.07,-0.30,0.96,-0.00,0.04,-0.16
00:00:09:132,-0.07,-0.42,0.90,-0.18,-0.02,-0.23
00:00:09:232,-0.01,-0.33,0.96,0.12,-0.05,-0.31
00:00:09:332,-0.05,-0.21,1.03,0.17,-0.02,-0.29
00:00:09:432,-0.03,-0.22,0.95,0.04,-0.09,-0.23
00:00:09:532,-0.10,-0.37,1.19,-0.04,0.09,-0.13
00:00:09:632,-0.09,-0.36,1.08,-0.22,-0.03,-0.04
