TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
00:00:00:047,-0.06,-0.20,1.01,-0.10,0.01,-0.02
00:00:00:134,-0.06,-0.20,1.02,-0.10,0.00,-0.02
00:00:00:232,-0.06,-0.20,1.02,-0.09,0.00,-0.02
00:00:00:332,-0.06,-0.21,1.03,-0.10,-0.01,-0.02
00:00:00:432,-0.04,-0.20,1.02,-0.10,0.01,-0.01
00:00:00:532,-0.07,-0.20,1.02,-0.10,0.01,-0.01
00:00:00:632,-0.06,-0.21,1.02,-0.10,-0.00,-0.02
00:00:00:732,-0.06,-0.20,1.02,-0.10,-0.01,-0.02
00:00:00:832,-0.06,-0.20,1.02,-0.10,-0.01,-0.02
00:00:00:932,-0.06,-0.20,1.02,-0.10,-0.01,-0.02
00:00:01:032,-0.06,-0.20,1.02,-0.10,-0.02,-0.02
00:00:01:132,-0.05,-0.20,1.02,-0.10,-0.02,-0.02
00:00:01:233,-0.06,-0.20,1.01,-0.09,-0.04,-0.03
00:00:01:332,-0.04,-0.20,1.03,-0.09,-0.05,-0.03
00:00:01:432,-0.02,-0.19,1.03,-0.10,-0.04,-0.03
00:00:01:532,-0.03,-0.20,1.02,-0.11,-0.03,-0.03
00:00:01:632,-0.03,-0.19,1.00,-0.09,-0.03,-0.02
00:00:01:732,-0.02,-0.19,1.01,-0.11,-0.03,-0.03
00:00:01:832,-0.01,-0.21,1.03,-0.11,-0.02,-0.02
00:00:01:932,-0.01,-0.20,1.03,-0.10,-0.01,-0.02
00:00:02:032,-0.00,-0.21,1.01,-0.11,0.02,-0.01
00:00:02:132,-0.02,-0.18,1.00,-0.11,0.04,-0.01
00:00:02:233,-0.03,-0.19,1.04,-0.10,0.02,-0.01
00:00:02:332,-0.03,-0.21,1.02,-0.09,0.01,-0.01
00:00:02:432,-0.03,-0.23,1.01,-0.10,-0.01,-0.02
00:00:02:532,-0.02,-0.22,1.03,-0.09,-0.02,-0.02
00:00:02:632,-0.02,-0.20,1.01,-0.09,-0.02,-0.02
00:00:02:732,-0.01,-0.21,1.03,-0.10,-0.01,-0.02
00:00:02:832,-0.00,-0.21,1.02,-0.10,-0.00,-0.02
00:00:02:932,-0.01,-0.21,1.01,-0.10,0.02,-0.02
00:00:03:032,-0.02,-0.19,1.04,-0.10,0.00,-0.01
00:00:03:132,-0.02,-0.20,1.01,-0.09,0.00,-0.03
00:00:03:232,-0.02,-0.16,1.01,-0.08,0.03,-0.00
00:00:03:332,-0.02,-0.19,1.04,-0.09,0.03,-0.02
00:00:03:432,-0.02,-0.25,1.03,-0.12,0.03,-0.01
00:00:03:532,-0.03,-0.19,1.04,-0.10,0.03,-0.01
00:00:03:632,-0.04,-0.22,1.02,-0.10,0.02,-0.01
00:00:03:732,-0.05,-0.16,1.01,-0.08,-0.00,-0.02
00:00:03:832,-0.03,-0.20,0.99,-0.09,0.01,-0.01
00:00:03:932,-0.03,-0.22,0.98,-0.03,0.02,-0.02
00:00:04:032,-0.03,-0.19,1.01,-0.09,-0.00,-0.02
00:00:04:132,-0.02,-0.22,1.01,-0.14,-0.03,-0.02
00:00:04:232,-0.00,-0.17,1.04,-0.06,0.00,-0.01
00:00:04:332,-0.03,-0.19,1.01,-0.07,0.06,-0.00
00:00:04:432,-0.03,-0.24,0.98,-0.14,0.01,-0.02
00:00:04:532,-0.03,-0.19,1.05,-0.06,-0.00,-0.01
00:00:04:632,-0.02,-0.22,0.94,-0.06,0.00,-0.01
00:00:04:732,-0.01,-0.24,1.00,-0.12,0.04,-0.01
