TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
00:00:00:047,-0.06,-0.23,1.01,-0.09,0.03,-0.01
00:00:00:160,-0.07,-0.23,1.01,-0.09,0.03,-0.01
00:00:00:258,-0.07,-0.23,1.01,-0.09,0.03,-0.01
00:00:00:358,-0.07,-0.24,1.00,-0.09,0.03,-0.01
00:00:00:458,-0.08,-0.24,1.01,-0.09,0.03,-0.01
00:00:00:558,-0.08,-0.24,1.01,-0.09,0.03,-0.01
00:00:00:658,-0.08,-0.23,1.01,-0.09,0.03,-0.01
00:00:00:758,-0.08,-0.23,1.00,-0.09,0.03,-0.01
00:00:00:858,-0.08,-0.23,1.00,-0.09,0.03,-0.01
00:00:00:958,-0.09,-0.23,1.00,-0.09,0.03,-0.01
00:00:01:058,-0.09,-0.24,1.01,-0.09,0.03,-0.01
00:00:01:158,-0.10,-0.24,1.00,-0.09,0.02,-0.02
00:00:01:258,-0.11,-0.24,1.00,-0.09,-0.00,-0.02
00:00:01:359,-0.09,-0.24,1.01,-0.09,-0.02,-0.02
00:00:01:458,-0.09,-0.22,1.01,-0.09,-0.01,-0.02
00:00:01:558,-0.08,-0.22,1.01,-0.09,-0.00,-0.02
00:00:01:658,-0.08,-0.22,1.00,-0.09,0.01,-0.01
00:00:01:758,-0.09,-0.25,1.00,-0.10,0.02,-0.02
00:00:01:858,-0.10,-0.25,1.00,-0.10,0.02,-0.01
00:00:01:958,-0.11,-0.24,0.99,-0.08,-0.02,-0.03
00:00:02:059,-0.10,-0.25,1.03,-0.07,-0.02,-0.03
00:00:02:158,-0.09,-0.26,1.04,-0.09,-0.02,-0.03
00:00:02:258,-0.08,-0.22,0.98,-0.08,0.01,-0.02
00:00:02:358,-0.09,-0.16,0.99,-0.08,0.02,-0.02
00:00:02:458,-0.09,-0.21,1.02,-0.07,0.01,-0.02
00:00:02:558,-0.10,-0.26,0.85,-0.04,0.04,-0.02
00:00:02:658,-0.09,-0.27,1.01,-0.04,-0.03,-0.03
00:00:02:758,-0.06,-0.18,1.03,-0.09,-0.05,-0.02
00:00:02:858,-0.08,-0.26,1.04,-0.04,-0.01,-0.03
00:00:02:958,-0.09,-0.22,0.99,-0.08,0.00,-0.02
00:00:03:058,-0.08,-0.24,1.03,-0.15,-0.04,-0.03
00:00:03:158,-0.06,-0.23,1.02,-0.04,-0.05,-0.03
00:00:03:258,-0.08,-0.21,0.92,-0.04,-0.04,-0.03
00:00:03:358,-0.05,-0.25,0.98,-0.10,-0.06,-0.03
00:00:03:458,-0.06,-0.17,1.12,-0.07,-0.03,-0.02
00:00:03:558,-0.05,-0.18,0.97,-0.05,-0.02,-0.02
00:00:03:658,-0.05,-0.21,1.02,-0.11,0.01,-0.02
00:00:03:758,-0.05,-0.29,1.01,-0.11,0.01,-0.02
00:00:03:858,-0.04,-0.21,1.04,-0.09,-0.01,-0.01
00:00:03:958,-0.07,-0.20,0.98,-0.09,0.01,-0.02
00:00:04:058,-0.04,-0.24,0.99,-0.10,0.01,-0.02
00:00:04:158,-0.02,-0.22,1.07,-0.15,-0.02,-0.01
00:00:04:258,-0.05,-0.28,0.95,-0.15,-0.01,-0.03
00:00:04:358,-0.07,-0.11,1.08,-0.10,0.02,-0.01
00:00:04:458,-0.05,-0.12,1.11,-0.15,-0.02,-0.02
00:00:04:558,-0.11,-0.06,1.14,-0.25,0.08,-0.03
00:00:04:658,-0.13,-0.06,0.94,-0.18,0.16,-0.01
00:00:04:758,-0.09,-0.03,1.07,-0.18,0.14,-0.04
00:00:04:858,-0.10,0.14,1.27,-0.10,0.17,-0.01
00:00:04:958,-0.09,0.30,1.27,0.06,0.09,-0.02
00:00:05:058,-0.05,-0.04,1.05,0.14,0.03,-0.03
00:00:05:158,-0.07,-0.29,0.93,0.08,0.00,-0.07
00:00:05:258,-0.03,-0.32,0.94,0.03,-0.02,-0.13
00:00:05:358,-0.06,-0.24,1.04,-0.05,0.05,-0.12
00:00:05:458,-0.05,-0.16,1.00,-0.08,-0.01,-0.14
00:00:05:558,-0.11,-0.26,1.03,-0.19,0.09,-0.21
00:00:05:658,-0.08,-0.17,1.11,-0.13,0.08,-0.30
00:00:05:758,-0.02,-0.13,1.33,-0.36,0.04,-0.36
00:00:05:858,-0.03,0.25,1.14,0.13,-0.02,-0.31
00:00:05:958,-0.04,-0.12,1.31,-0.30,0.04,-0.29
00:00:06:058,-0.06,-0.06,1.02,0.16,-0.02,-0.21
00:00:06:158,-0.05,0.01,0.84,0.41,0.00,-0.10
00:00:06:258,-0.00,-0.17,0.75,0.22,-0.08,-0.07
00:00:06:358,-0.06,-0.08,0.89,0.44,0.07,0.05
00:00:06:458,-0.01,-0.33,0.87,0.35,-0.00,0.08
00:00:06:558,-0.09,-0.16,0.85,0.22,-0.02,0.06
00:00:06:658,-0.13,-0.13,0.92,0.04,0.03,0.05
00:00:06:758,-0.11,-0.24,1.01,0.32,-0.08,0.21
00:00:06:858,-0.04,0.01,1.01,0.33,-0.02,0.30
00:00:06:958,-0.09,0.30,1.13,0.10,0.09,0.23
00:00:07:058,-0.05,0.12,1.33,0.17,0.11,0.14
00:00:07:158,-0.04,-0.05,1.25,0.06,0.04,0.09
00:00:07:258,0.00,-0.17,0.99,-0.24,0.02,-0.03
00:00:07:358,-0.00,0.08,1.07,0.03,-0.04,-0.07
00:00:07:458,-0.05,0.44,1.23,0.78,0.07,-0.03
00:00:07:558,0.02,-0.18,0.96,0.41,-0.10,0.04
00:00:07:658,-0.01,-0.25,1.07,-0.28,0.05,-0.05
00:00:07:758,-0.10,-0.30,0.99,0.11,0.13,0.00
00:00:07:858,-0.03,-0.21,1.29,-0.45,-0.09,-0.17
00:00:07:958,-0.05,-0.10,0.80,0.02,-0.26,-0.20
00:00:08:058,-0.06,-0.33,0.93,0.09,-0.14,-0.13
00:00:08:158,-0.13,-0.41,0.98,-0.08,-0.15,0.09
00:00:08:258,-0.10,-0.36,0.97,-0.17,-0.14,0.17
00:00:08:358,-0.05,-0.32,1.13,-0.30,-0.18,0.15
00:00:08:458,-0.07,0.06,0.83,0.07,-0.06,0.16
00:00:08:558,-0.13,-0.31,0.89,-0.04,-0.06,0.19
00:00:08:658,-0.08,-0.22,0.93,-0.14,-0.11,0.22
00:00:08:758,-0.08,-0.17,0.97,0.26,-0.03,0.30
00:00:08:858,-0.04,-0.33,0.86,-0.08,-0.01,0.30
00:00:08:958,-0.11,-0.21,0.84,-0.03,-0.01,0.32
00:00:09:058,-0.11,-0.16,0.96,0.05,0.07,0.25
00:00:09:158,-0.12,-0.31,1.03,-0.21,0.02,0.20
00:00:09:258,-0.07,-0.22,0.80,0.05,0.10,0.22
00:00:09:358,-0.04,-0.32,1.18,0.01,0.00,0.08
00:00:09:458,-0.04,-0.25,1.09,-0.22,-0.09,0.03
00:00:09:558,-0.08,0.07,1.13,-0.09,-0.06,0.14
00:00:09:658,-0.06,-0.20,1.01,-0.10,-0.05,0.20
00:00:09:758,-0.12,-0.53,1.14,-0.25,0.09,0.24
00:00:09:858,-0.02,-0.12,0.73,-0.17,0.12,0.25
00:00:09:958,-0.05,-0.31,0.98,-0.28,0.19,0.21
00:00:10:058,-0.10,-0.44,1.00,-0.48,0.28,0.17
00:00:10:158,-0.13,-0.37,1.02,-0.30,0.36,0.06
00:00:10:258,-0.13,-0.23,1.22,-0.00,0.31,-0.03
00:00:10:359,-0.13,-0.02,0.94,0.02,0.22,-0.11
00:00:10:458,-0.13,-0.22,1.15,0.36,0.22,-0.19
00:00:10:558,-0.04,-0.42,1.02,-0.04,-0.06,-0.26
00:00:10:658,-0.05,-0.51,1.12,0.06,0.04,-0.16
00:00:10:758,-0.06,-0.67,1.10,-0.26,-0.05,-0.10
00:00:10:858,-0.10,-0.32,1.07,-0.32,0.16,-0.02
00:00:10:958,-0.09,-0.49,1.02,-0.11,0.22,-0.07
00:00:11:058,-0.09,-0.29,0.91,0.05,0.25,-0.15
00:00:11:158,-0.02,-0.27,0.86,-0.12,0.03,-0.27
00:00:11:258,-0.17,-0.57,1.35,-0.34,0.22,-0.35
00:00:11:358,-0.15,-0.24,1.15,-0.02,0.06,-0.41
00:00:11:458,-0.01,-0.33,0.81,-0.02,-0.20,-0.46
00:00:11:558,-0.19,-0.10,1.45,-0.08,-0.16,-0.53
00:00:11:658,-0.03,-0.32,0.73,0.14,-0.18,-0.46
00:00:11:758,-0.06,-0.35,0.98,-0.13,-0.33,-0.37
00:00:11:858,-0.09,-0.13,0.94,-0.16,-0.17,-0.21
00:00:11:958,-0.05,-0.47,1.24,-0.12,-0.20,-0.14
00:00:12:058,-0.04,-0.20,1.03,0.23,-0.11,-0.02
