TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
00:00:00:047,0.03,-0.20,1.03,-0.10,-0.04,-0.02
00:00:00:134,-0.04,-0.23,1.02,-0.08,0.02,-0.02
00:00:00:232,0.02,-0.25,0.98,-0.10,0.00,-0.01
00:00:00:332,-0.03,-0.24,1.03,-0.14,0.02,-0.02
00:00:00:432,0.00,-0.26,0.98,-0.06,0.02,-0.01
00:00:00:532,-0.04,-0.18,0.98,-0.05,0.02,-0.02
00:00:00:632,-0.02,-0.21,1.02,-0.06,0.02,-0.01
00:00:00:732,-0.04,-0.23,1.04,-0.12,0.04,-0.01
00:00:00:832,-0.02,-0.20,1.05,-0.07,0.01,-0.02
00:00:00:932,-0.03,-0.24,1.05,-0.11,0.03,-0.01
00:00:01:032,-0.05,-0.25,1.08,-0.09,0.03,-0.02
00:00:01:132,-0.04,-0.24,1.00,-0.12,0.00,-0.01
00:00:01:232,-0.04,-0.25,1.01,-0.10,0.03,-0.01
00:00:01:332,-0.03,-0.20,1.02,-0.08,0.00,-0.03
00:00:01:432,-0.03,-0.25,1.08,-0.13,-0.01,-0.01
00:00:01:532,-0.04,-0.29,1.01,-0.21,-0.02,-0.03
00:00:01:632,-0.08,-0.23,0.93,-0.09,-0.00,-0.01
00:00:01:732,-0.03,-0.24,1.04,-0.15,-0.01,-0.02
00:00:01:832,-0.11,-0.17,1.03,-0.21,-0.03,-0.03
00:00:01:933,-0.10,-0.13,0.90,-0.18,-0.02,-0.02
00:00:02:032,-0.04,-0.00,1.10,-0.15,0.03,-0.01
00:00:02:132,-0.01,0.14,1.25,-0.06,0.03,-0.01
00:00:02:232,-0.01,0.10,1.13,0.12,0.01,0.01
00:00:02:332,-0.05,-0.25,0.85,0.10,-0.00,0.01
00:00:02:432,-0.03,-0.09,1.08,-0.03,-0.01,0.00
00:00:02:532,-0.06,-0.33,0.92,-0.19,-0.06,0.02
00:00:02:632,-0.09,-0.18,0.94,-0.23,-0.02,0.05
00:00:02:732,-0.05,-0.05,1.06,-0.25,-0.00,0.06
00:00:02:832,-0.03,-0.17,1.11,-0.22,-0.04,0.08
00:00:02:932,0.02,-0.32,0.97,-0.16,0.00,0.09
00:00:03:032,0.01,-0.17,1.01,-0.15,0.10,0.10
00:00:03:132,-0.05,-0.31,1.00,-0.15,0.12,0.13
00:00:03:232,-0.05,-0.31,1.00,-0.13,0.10,0.14
00:00:03:332,-0.08,-0.29,0.96,-0.09,0.10,0.12
00:00:03:432,-0.07,-0.26,0.96,-0.16,0.09,0.05
00:00:03:532,-0.05,-0.20,1.08,-0.11,0.12,0.02
00:00:03:632,-0.10,0.01,1.04,0.05,0.09,-0.04
00:00:03:732,-0.10,0.12,1.11,0.15,0.07,-0.09
00:00:03:832,-0.03,0.02,1.01,0.08,-0.02,-0.18
00:00:03:932,-0.02,-0.05,0.95,0.19,-0.03,-0.26
00:00:04:032,-0.11,-0.28,0.96,0.07,-0.04,-0.38
00:00:04:132,-0.03,-0.15,1.01,0.01,-0.09,-0.36
00:00:04:232,-0.03,-0.07,1.08,0.04,-0.02,-0.22
00:00:04:332,-0.07,-0.26,0.99,-0.11,-0.02,-0.08
00:00:04:432,-0.06,-0.37,0.95,-0.25,0.04,0.03
00:00:04:532,-0.14,-0.30,0.93,-0.32,0.01,-0.02
00:00:04:632,-0.10,-0.15,0.95,-0.35,-0.07,-0.13
00:00:04:732,-0.08,-0.14,1.01,-0.40,-0.15,-0.26
00:00:04:832,-0.11,-0.07,1.08,-0.36,-0.06,-0.19
00:00:04:932,-0.12,-0.17,0.94,-0.27,-0.02,-0.04
00:00:05:032,-0.08,-0.15,0.92,-0.33,-0.10,-0.05
00:00:05:132,-0.04,-0.15,0.87,-0.25,-0.05,-0.01
00:00:05:232,-0.06,-0.09,0.95,-0.15,-0.02,0.10
00:00:05:332,-0.07,-0.10,1.06,-0.06,0.02,0.12
00:00:05:432,-0.01,-0.10,1.14,-0.08,0.00,0.09
00:00:05:532,-0.09,-0.34,0.94,-0.13,0.05,0.12
00:00:05:632,-0.03,-0.11,0.89,-0.19,-0.06,0.01
00:00:05:732,-0.05,-0.09,1.01,-0.01,-0.07,-0.00
00:00:05:832,-0.08,-0.12,1.13,-0.13,-0.05,0.02
00:00:05:932,-0.02,0.07,1.13,-0.10,-0.10,0.04
00:00:06:032,-0.01,-0.05,1.01,-0.02,-0.01,0.11
00:00:06:132,-0.01,-0.02,1.21,-0.12,0.10,0.16
00:00:06:232,-0.03,-0.12,0.95,-0.00,0.09,0.13
00:00:06:332,-0.12,-0.24,0.91,-0.10,0.11,0.03
00:00:06:432,-0.00,0.10,1.19,-0.08,0.02,-0.03
00:00:06:532,-0.08,-0.13,0.90,-0.09,0.01,-0.08
00:00:06:632,-0.00,-0.15,1.06,-0.06,0.04,-0.03
00:00:06:732,-0.07,-0.15,1.00,-0.18,-0.07,-0.05
00:00:06:832,-0.03,-0.20,0.91,-0.04,0.01,0.02
00:00:06:932,-0.01,-0.05,1.15,-0.09,0.05,0.03
00:00:07:032,-0.06,-0.06,1.08,-0.20,0.00,-0.02
00:00:07:132,-0.11,-0.21,0.96,-0.07,0.05,-0.04
00:00:07:232,-0.02,-0.17,0.99,-0.04,0.07,-0.03
00:00:07:332,-0.00,-0.10,1.09,-0.11,0.00,-0.08
00:00:07:432,-0.08,-0.12,0.87,-0.06,-0.11,-0.11
00:00:07:532,-0.06,-0.19,0.91,-0.07,-0.05,-0.03
00:00:07:632,-0.03,-0.04,1.21,0.02,0.05,0.02
00:00:07:732,-0.06,-0.13,0.97,-0.06,0.04,0.02
00:00:07:832,-0.02,-0.29,1.01,-0.03,0.11,0.01
00:00:07:932,-0.00,-0.19,1.18,-0.12,0.11,0.00
00:00:08:032,-0.07,-0.36,0.99,-0.18,0.06,-0.04
00:00:08:132,-0.03,-0.03,1.38,-0.22,0.06,-0.09
00:00:08:232,-0.06,-0.27,0.79,-0.06,-0.04,-0.14
00:00:08:332,-0.04,-0.00,0.94,-0.04,-0.06,-0.15
00:00:08:432,-0.05,-0.19,0.94,0.02,-0.09,-0.10
00:00:08:532,-0.07,-0.18,1.00,-0.17,0.00,-0.02
00:00:08:632,-0.01,-0.14,1.15,-0.16,0.04,0.01
00:00:08:732,-0.02,-0.19,0.93,0.07,-0.01,0.00
00:00:08:832,-0.11,-0.23,0.93,-0.09,0.07,-0.03
00:00:08:932,-0.07,-0.03,1.07,-0.16,0.04,-0.07
00:00:09:032,-0.02,0.01,1.11,-0.05,-0.08,-0.17
00:00:09:132,0.05,-0.15,1.01,0.14,-0.04,-0.18
00:00:09:232,0.03,-0.12,1.08,-0.01,-0.17,-0.15
00:00:09:332,0.03,-0.21,1.08,-0.17,-0.18,-0.09
00:00:09:432,-0.04,-0.12,1.05,-0.04,-0.12,0.08
00:00:09:532,-0.08,-0.24,0.99,-0.16,0.02,0.17
00:00:09:632,-0.04,-0.27,0.99,0.06,0.03,0.11
00:00:09:732,-0.03,-0.36,1.03,-0.10,0.07,-0.03
00:00:09:832,-0.03,-0.33,1.03,0.05,0.03,0.04
