TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
00:00:00:049,0.01,0.31,1.30,-0.03,0.09,0.07
00:00:00:165,-0.03,0.09,1.44,-0.20,0.14,0.03
00:00:00:262,-0.03,-0.08,1.40,-0.40,0.10,0.00
00:00:00:362,-0.02,0.46,1.32,-0.03,-0.07,-0.15
00:00:00:462,-0.08,0.26,1.54,-0.11,-0.00,-0.09
00:00:00:562,-0.09,0.38,1.47,-0.18,0.01,-0.15
00:00:00:662,-0.13,0.31,1.17,-0.19,0.01,-0.13
00:00:00:762,-0.06,-0.14,1.19,-0.51,0.06,-0.04
00:00:00:862,-0.14,-0.17,0.85,-0.52,0.08,-0.09
00:00:00:962,-0.10,-0.34,1.08,-0.78,-0.06,-0.11
00:00:01:062,-0.02,-0.34,0.74,-0.27,-0.17,-0.09
00:00:01:162,0.05,-0.16,0.75,-0.05,-0.15,0.05
00:00:01:262,-0.01,-0.16,0.67,0.01,-0.03,0.14
00:00:01:362,-0.02,-0.18,0.83,0.05,0.01,0.14
00:00:01:463,-0.06,-0.31,1.03,0.02,-0.01,0.14
00:00:01:562,-0.05,-0.11,0.92,0.14,0.05,0.16
00:00:01:662,-0.01,-0.22,0.66,0.01,0.00,0.11
00:00:01:762,-0.10,-0.25,1.00,-0.17,0.02,-0.01
00:00:01:862,-0.01,-0.23,0.95,-0.10,-0.04,-0.04
00:00:01:962,0.05,-0.26,0.95,-0.15,-0.02,0.02
00:00:02:062,-0.04,-0.23,0.78,-0.03,0.02,0.15
00:00:02:162,-0.01,-0.20,0.98,-0.08,0.13,0.19
00:00:02:262,-0.06,0.05,1.31,-0.03,0.16,0.15
00:00:02:362,-0.10,-0.10,0.91,0.08,0.22,0.07
00:00:02:462,0.02,-0.20,1.07,-0.10,0.02,-0.09
00:00:02:562,-0.07,-0.19,1.36,-0.12,-0.10,-0.22
00:00:02:662,-0.02,0.15,0.93,0.31,-0.10,-0.18
00:00:02:762,-0.13,-0.38,0.91,-0.07,-0.01,0.06
00:00:02:862,0.02,-0.07,0.92,-0.18,0.08,0.07
00:00:02:962,-0.06,-0.33,1.23,0.05,0.05,0.01
00:00:03:062,0.01,-0.05,1.37,-0.20,0.00,0.05
00:00:03:162,-0.08,-0.08,0.90,0.18,0.10,0.10
00:00:03:262,-0.07,-0.02,1.25,-0.21,0.05,0.05
00:00:03:362,-0.04,-0.46,1.24,0.02,0.18,-0.07
00:00:03:462,-0.07,-0.69,1.29,-0.20,-0.19,-0.23
00:00:03:562,0.01,-0.11,1.16,-0.12,-0.12,-0.13
00:00:03:662,-0.06,-0.26,1.16,0.02,-0.06,-0.01
00:00:03:762,-0.08,0.05,1.28,0.10,-0.08,0.03
00:00:03:862,-0.05,0.08,1.17,0.12,0.16,0.15
00:00:03:962,-0.07,-0.31,0.87,-0.11,0.10,0.18
00:00:04:062,0.05,-0.06,0.87,-0.25,0.03,0.22
00:00:04:162,-0.04,-0.34,0.97,-0.43,0.13,-0.03
00:00:04:262,0.01,-0.25,0.96,0.21,0.16,-0.09
00:00:04:362,-0.05,-0.35,0.82,-0.12,0.14,0.05
00:00:04:462,-0.11,-0.21,0.99,-0.15,0.35,0.03
00:00:04:562,-0.11,-0.37,1.08,-0.32,0.22,0.01
00:00:04:662,-0.09,-0.14,1.09,-0.05,0.08,-0.22
00:00:04:762,-0.05,-0.40,0.96,0.14,0.21,-0.31
00:00:04:862,0.04,-0.54,0.79,-0.00,-0.05,-0.38
00:00:04:962,0.06,-0.33,1.03,-0.23,-0.25,-0.43
00:00:05:062,0.01,-0.23,0.97,-0.26,-0.23,-0.49
00:00:05:162,-0.10,-0.34,0.79,-0.08,-0.10,-0.40
00:00:05:262,-0.02,-0.36,1.05,-0.27,-0.25,-0.22
00:00:05:362,-0.05,-0.33,0.90,-0.09,-0.19,-0.07
00:00:05:462,-0.02,-0.19,0.78,0.03,-0.05,0.08
00:00:05:562,-0.07,-0.44,1.20,-0.25,-0.03,0.11
00:00:05:662,-0.12,-0.36,1.37,-0.24,-0.10,0.16
00:00:05:763,-0.08,-0.39,1.16,-0.20,0.00,0.19
00:00:05:862,-0.02,-0.09,0.90,-0.11,-0.06,0.15
00:00:05:962,-0.10,-0.11,0.89,0.00,-0.02,0.06
00:00:06:062,-0.08,-0.01,0.87,-0.27,-0.02,0.07
00:00:06:162,-0.03,0.02,0.75,-0.23,-0.02,0.06
00:00:06:262,-0.10,-0.15,1.11,0.08,0.14,0.17
00:00:06:362,-0.01,-0.25,0.94,-0.46,-0.03,0.15
00:00:06:463,-0.03,-0.29,1.01,-0.49,-0.06,0.13
00:00:06:562,0.00,-0.16,0.94,-0.11,-0.00,0.05
00:00:06:662,-0.10,-0.03,1.12,-0.15,-0.05,-0.06
00:00:06:762,-0.06,-0.24,1.08,-0.12,-0.07,-0.02
00:00:06:862,-0.09,-0.08,1.04,-0.17,-0.02,0.03
00:00:06:962,0.06,-0.11,1.00,-0.12,-0.08,0.07
00:00:07:062,-0.02,-0.36,1.04,-0.05,0.10,0.06
00:00:07:162,-0.04,-0.28,0.97,-0.02,0.10,0.05
00:00:07:262,-0.08,-0.29,1.37,-0.19,0.04,0.00
00:00:07:362,-0.08,0.19,1.05,0.14,-0.16,-0.08
00:00:07:462,0.01,0.14,0.97,-0.09,-0.20,-0.02
00:00:07:562,-0.05,-0.19,1.09,-0.06,0.03,0.01
00:00:07:662,0.03,-0.35,1.06,-0.23,-0.22,0.04
00:00:07:762,-0.12,-0.40,1.27,-0.39,0.13,-0.05
00:00:07:862,-0.08,-0.33,0.84,-0.09,-0.25,-0.12
00:00:07:962,-0.07,-0.26,0.99,-0.41,-0.02,-0.01
00:00:08:062,-0.02,-0.38,0.90,-0.27,-0.11,0.12
00:00:08:162,-0.00,-0.14,0.82,-0.06,-0.04,0.15
00:00:08:262,-0.02,-0.17,0.99,-0.09,0.07,0.07
00:00:08:362,-0.02,-0.10,0.64,-0.36,-0.07,-0.05
00:00:08:462,0.04,-0.48,1.20,-0.30,-0.21,-0.08
00:00:08:562,-0.03,-0.06,1.17,-0.52,-0.17,-0.01
00:00:08:662,-0.04,-0.23,0.87,-0.05,-0.14,-0.04
00:00:08:762,-0.00,-0.63,0.80,0.57,-0.14,0.05
00:00:08:862,-0.07,-0.54,1.45,-0.47,-0.15,0.18
00:00:08:962,-0.07,-0.21,1.34,0.36,0.04,0.31
00:00:09:062,-0.02,-0.22,0.98,-0.07,0.10,0.27
00:00:09:162,-0.00,-0.33,1.02,-0.23,-0.09,0.14
00:00:09:262,0.00,-0.13,1.04,-0.10,-0.04,0.06
00:00:09:362,-0.03,-0.32,1.12,-0.34,-0.04,0.03
00:00:09:462,-0.04,-0.17,0.90,0.04,-0.11,0.02
00:00:09:562,-0.11,0.02,1.08,0.07,-0.18,-0.05
00:00:09:662,0.01,-0.27,1.06,0.22,-0.06,0.20
00:00:09:762,-0.01,-0.28,1.01,0.14,-0.05,0.25
00:00:09:862,-0.05,-0.41,0.87,-0.20,-0.07,0.32
00:00:09:962,0.01,-0.13,0.84,0.58,0.02,0.34
00:00:10:062,-0.01,-0.40,0.70,-0.10,0.18,0.40
00:00:10:162,-0.03,-0.44,1.05,-0.32,0.06,0.31
00:00:10:262,-0.02,-0.39,1.03,-0.24,0.03,0.13
00:00:10:362,-0.05,-0.51,1.17,-0.42,0.06,0.12
00:00:10:463,0.03,-0.35,0.67,-0.24,-0.10,0.11
00:00:10:562,-0.01,-0.37,0.87,-0.51,-0.02,0.05
00:00:10:662,-0.04,-0.29,1.10,-0.05,0.08,0.06
00:00:10:762,-0.01,-0.38,1.00,-0.29,0.08,0.06
00:00:10:862,-0.03,-0.41,1.08,-0.04,0.01,0.04
00:00:10:962,-0.00,-0.41,0.99,-0.07,0.09,0.08
00:00:11:062,-0.02,-0.28,0.88,-0.11,0.10,0.03
00:00:11:162,-0.00,-0.45,0.91,-0.29,0.06,-0.01
00:00:11:262,-0.10,-0.34,1.08,0.02,-0.06,-0.13
00:00:11:362,-0.03,-0.29,1.01,0.15,-0.04,-0.09
00:00:11:462,-0.03,-0.33,0.79,0.09,-0.05,-0.09
00:00:11:562,-0.03,-0.07,0.95,0.20,0.03,-0.01
00:00:11:662,0.01,-0.19,0.82,0.01,-0.06,-0.05
00:00:11:762,-0.01,-0.50,1.02,-0.27,0.00,-0.11
00:00:11:862,0.00,-0.64,1.09,-0.16,0.11,0.08
00:00:11:962,-0.10,-0.24,0.83,-0.01,0.15,0.06
00:00:12:062,-0.12,-0.10,0.97,0.05,0.01,0.04
00:00:12:162,-0.13,-0.14,1.07,0.01,-0.06,0.02
00:00:12:262,-0.10,-0.49,1.01,-0.10,-0.18,-0.03
00:00:12:362,0.01,-0.35,1.08,-0.19,-0.41,-0.05
00:00:12:462,0.05,-0.21,0.82,-0.06,-0.10,0.02
00:00:12:562,-0.01,-0.24,0.91,-0.17,-0.03,0.04
00:00:12:662,-0.09,-0.30,0.97,-0.31,-0.18,0.07
00:00:12:762,-0.01,0.17,1.12,-0.22,-0.10,0.08
00:00:12:862,-0.05,-0.27,0.86,-0.07,-0.05,0.21
00:00:12:962,-0.14,-0.53,1.06,-0.61,-0.18,0.20
00:00:13:062,0.05,0.19,1.08,-0.14,-0.37,0.23
00:00:13:162,0.04,0.26,1.01,0.15,-0.01,0.54
00:00:13:262,-0.09,-0.19,1.17,-0.37,-0.02,0.66
00:00:13:362,-0.09,0.08,1.06,0.07,-0.20,0.52
00:00:13:462,0.03,0.04,1.09,0.04,-0.16,0.45
00:00:13:562,-0.04,-0.25,0.85,-0.34,-0.19,0.50
00:00:13:662,-0.10,0.48,1.42,-0.06,-0.07,0.59
00:00:13:762,-0.10,-0.03,0.76,-0.04,0.05,0.44
00:00:13:862,0.08,-0.04,0.94,0.03,-0.18,0.47
00:00:13:962,0.09,-0.07,0.69,0.04,-0.07,0.46
00:00:14:062,-0.05,-0.21,0.91,-0.03,-0.18,0.34
00:00:14:162,-0.13,-0.28,1.01,-0.13,-0.09,0.34
00:00:14:262,0.03,0.16,1.25,-0.10,-0.10,0.44
00:00:14:362,-0.08,0.08,1.10,-0.09,0.06,0.49
00:00:14:462,-0.04,-0.02,1.15,-0.01,0.07,0.48
00:00:14:562,-0.02,-0.25,1.00,-0.07,0.10,0.29
00:00:14:662,-0.09,-0.07,0.85,-0.06,0.03,0.20
00:00:14:762,-0.09,-0.21,1.03,-0.03,0.11,0.20
00:00:14:862,-0.13,-0.20,1.07,-0.18,0.12,0.18
00:00:14:962,-0.08,0.14,1.10,-0.12,0.08,0.17
00:00:15:062,0.09,-0.09,1.10,0.01,0.19,0.12
00:00:15:162,-0.12,-0.12,1.14,-0.18,0.15,0.01
00:00:15:262,0.06,-0.11,0.98,-0.08,0.01,-0.00
00:00:15:362,-0.12,-0.05,1.25,-0.08,0.14,-0.02
00:00:15:463,0.15,-0.20,0.99,-0.01,-0.03,-0.02
00:00:15:562,-0.12,-0.12,1.19,-0.07,0.10,-0.07
00:00:15:662,0.09,-0.11,0.87,-0.01,-0.07,-0.06
00:00:15:762,-0.12,-0.15,1.02,-0.06,-0.04,-0.03
00:00:15:862,0.08,-0.13,1.00,-0.11,-0.05,0.04
00:00:15:962,-0.12,-0.11,0.89,-0.08,-0.03,0.05
00:00:16:062,0.02,-0.12,1.05,-0.12,-0.07,0.06
00:00:16:162,-0.02,-0.23,0.83,-0.08,0.01,0.08
00:00:16:262,-0.09,-0.07,1.06,-0.09,0.01,-0.00
