TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
00:00:00:064,0.03,0.06,1.07,-0.19,-0.13,-0.10
00:00:00:155,0.01,-0.04,1.15,-0.01,-0.08,0.00
00:00:00:255,0.03,-0.23,1.08,-0.25,-0.05,0.04
00:00:00:356,0.03,-0.24,1.08,-0.07,-0.15,0.10
00:00:00:455,-0.07,-0.26,0.85,-0.10,0.04,0.21
00:00:00:555,-0.07,-0.12,0.84,-0.19,0.03,0.24
00:00:00:655,-0.08,-0.18,0.97,-0.03,0.16,0.07
00:00:00:755,-0.04,-0.25,1.06,-0.11,0.13,0.02
00:00:00:855,-0.04,0.05,1.14,-0.14,0.03,0.05
00:00:00:955,-0.03,-0.06,0.97,-0.08,0.05,0.09
00:00:01:055,0.02,-0.17,1.02,-0.08,0.09,0.07
00:00:01:155,-0.01,-0.25,0.85,-0.11,0.09,-0.07
00:00:01:255,0.02,-0.35,0.77,-0.04,-0.00,-0.10
00:00:01:356,-0.05,-0.22,0.88,-0.19,0.07,-0.04
00:00:01:456,-0.01,-0.36,1.13,-0.19,0.01,-0.06
00:00:01:556,-0.06,0.11,0.92,0.03,-0.01,-0.04
00:00:01:656,0.02,-0.09,1.18,-0.02,0.11,-0.06
00:00:01:756,0.07,-0.15,0.99,-0.22,-0.18,-0.06
00:00:01:856,-0.03,-0.26,0.75,-0.18,0.01,-0.07
00:00:01:956,-0.05,-0.28,0.90,0.04,-0.01,-0.03
00:00:02:056,-0.04,-0.13,1.21,-0.14,0.08,-0.01
00:00:02:156,-0.02,-0.13,1.14,-0.01,0.04,-0.01
00:00:02:256,0.08,-0.22,1.07,-0.02,-0.01,-0.05
00:00:02:356,-0.02,-0.39,0.85,-0.05,-0.08,-0.13
00:00:02:456,-0.03,-0.31,0.99,-0.15,-0.01,-0.07
00:00:02:556,-0.02,-0.03,1.17,-0.05,-0.05,-0.05
00:00:02:656,-0.01,-0.17,1.16,-0.01,-0.04,-0.02
00:00:02:756,0.08,-0.23,1.05,-0.18,-0.10,0.00
00:00:02:856,-0.03,-0.18,0.89,-0.10,-0.04,0.02
00:00:02:956,-0.05,-0.24,0.88,-0.01,0.01,0.02
00:00:03:056,-0.03,-0.12,1.15,-0.08,0.04,0.01
00:00:03:156,0.03,-0.15,1.07,-0.08,-0.07,-0.04
00:00:03:256,0.04,-0.22,1.06,-0.04,-0.02,-0.01
00:00:03:356,0.00,-0.38,0.81,-0.08,-0.00,-0.01
00:00:03:456,-0.00,-0.34,0.82,-0.06,0.02,0.03
00:00:03:556,-0.06,-0.25,0.98,-0.15,0.06,-0.01
00:00:03:656,-0.00,-0.11,1.14,-0.04,-0.00,0.01
00:00:03:756,0.02,-0.27,1.05,-0.04,0.02,0.03
00:00:03:856,-0.06,-0.37,0.90,-0.18,0.04,0.06
00:00:03:956,-0.02,-0.25,1.06,-0.11,0.13,0.08
00:00:04:056,-0.04,-0.10,1.28,-0.08,0.21,0.05
00:00:04:156,-0.04,-0.40,0.89,-0.08,0.12,-0.06
00:00:04:256,-0.01,-0.35,0.96,-0.05,0.10,-0.08
00:00:04:356,-0.02,-0.10,1.23,-0.18,0.06,-0.09
00:00:04:456,0.04,-0.21,0.93,-0.08,-0.04,-0.10
00:00:04:556,-0.05,-0.40,0.93,-0.12,-0.02,-0.12
00:00:04:656,-0.00,-0.22,1.04,-0.12,0.00,-0.11
00:00:04:756,-0.01,-0.16,1.11,0.03,-0.11,-0.14
00:00:04:856,0.05,-0.37,0.82,0.14,-0.05,-0.07
00:00:04:956,-0.05,-0.33,1.20,-0.04,0.03,-0.04
00:00:05:056,0.02,-0.13,1.20,-0.22,-0.10,-0.05
00:00:05:156,-0.02,-0.45,0.98,0.02,-0.06,-0.06
00:00:05:256,0.01,-0.30,1.01,-0.19,-0.14,-0.03
00:00:05:356,-0.03,-0.12,1.12,-0.04,-0.10,-0.03
00:00:05:456,0.03,-0.23,0.92,0.08,-0.14,0.03
00:00:05:556,-0.04,-0.43,0.95,-0.15,0.03,0.08
00:00:05:656,-0.05,-0.21,1.15,-0.01,-0.00,0.08
00:00:05:756,-0.05,-0.16,1.13,0.00,0.09,0.13
00:00:05:856,-0.05,-0.41,0.89,0.16,0.15,0.10
00:00:05:956,-0.08,-0.52,0.96,-0.12,0.17,0.05
00:00:06:056,-0.09,-0.43,0.94,-0.08,0.18,0.01
00:00:06:156,-0.05,-0.37,0.87,0.02,0.16,0.02
00:00:06:256,-0.01,-0.35,0.85,0.01,0.22,0.05
00:00:06:357,-0.00,-0.24,1.05,0.10,0.14,-0.07
00:00:06:456,0.01,-0.37,1.11,-0.11,0.01,-0.18
00:00:06:556,-0.03,-0.37,0.83,-0.07,-0.11,-0.19
00:00:06:656,0.03,-0.27,1.03,-0.14,-0.13,-0.12
00:00:06:756,-0.03,-0.33,0.85,-0.04,-0.11,-0.06
00:00:06:856,-0.06,-0.34,0.96,-0.03,-0.01,-0.03
00:00:06:956,0.02,-0.29,1.04,-0.23,-0.09,-0.02
00:00:07:056,-0.05,-0.29,0.95,-0.17,-0.11,0.01
00:00:07:156,-0.04,-0.38,0.88,-0.09,-0.05,0.02
00:00:07:256,-0.05,-0.32,0.93,-0.10,0.04,0.05
00:00:07:356,-0.08,-0.24,0.90,-0.09,0.07,-0.01
00:00:07:456,-0.05,-0.26,0.99,-0.02,0.09,-0.04
00:00:07:556,-0.03,-0.36,0.94,-0.05,0.09,-0.01
00:00:07:656,0.00,-0.42,0.88,-0.25,0.02,-0.03
00:00:07:756,-0.01,-0.34,0.86,-0.29,-0.07,-0.02
00:00:07:856,-0.07,-0.22,1.01,-0.15,-0.09,-0.06
00:00:07:956,-0.05,-0.19,0.95,0.05,-0.05,0.00
00:00:08:056,0.01,-0.45,1.21,-0.08,0.02,0.07
00:00:08:156,-0.07,-0.52,0.99,0.04,0.21,0.10
00:00:08:256,-0.07,-0.23,1.14,-0.03,0.05,0.01
00:00:08:356,0.00,-0.38,1.06,-0.10,-0.08,-0.06
00:00:08:456,-0.02,-0.45,0.92,0.07,0.02,-0.03
00:00:08:556,-0.04,-0.30,1.03,-0.15,0.00,-0.04
00:00:08:656,-0.05,-0.44,1.09,-0.08,0.01,-0.04
00:00:08:756,-0.00,-0.36,0.94,0.10,-0.05,-0.03
00:00:08:856,-0.04,-0.55,1.02,-0.08,-0.02,0.02
00:00:08:956,-0.01,-0.32,1.12,-0.09,-0.05,0.06
00:00:09:056,-0.08,-0.20,1.10,-0.10,0.04,0.08
00:00:09:156,-0.03,-0.34,1.04,-0.18,0.04,0.08
00:00:09:256,-0.03,-0.35,1.09,-0.17,0.05,0.03
00:00:09:356,0.01,-0.48,0.84,-0.15,-0.02,-0.04
00:00:09:456,0.02,-0.50,0.93,-0.15,-0.05,-0.07
00:00:09:556,0.02,-0.47,1.01,-0.13,-0.09,-0.07
00:00:09:656,-0.01,-0.45,1.00,-0.17,-0.05,-0.02
00:00:09:756,-0.04,-0.38,1.02,-0.09,-0.04,0.03
00:00:09:856,-0.00,-0.46,0.94,-0.03,-0.04,0.08
00:00:09:956,-0.03,-0.55,0.95,-0.13,-0.07,0.06
00:00:10:056,-0.02,-0.57,0.98,-0.14,-0.10,0.02
00:00:10:156,-0.02,-0.54,0.88,-0.09,-0.18,-0.04
00:00:10:256,0.01,-0.33,0.87,-0.08,-0.28,-0.12
00:00:10:356,0.03,-0.63,0.86,-0.08,-0.28,-0.04
00:00:10:456,-0.01,-0.64,0.96,-0.16,-0.31,0.07
00:00:10:556,0.02,-0.52,0.85,0.04,-0.36,0.19
00:00:10:656,-0.04,-0.29,1.07,-0.02,-0.30,0.37
00:00:10:756,-0.04,-0.40,0.97,0.00,-0.22,0.55
00:00:10:856,0.00,-0.46,1.00,-0.22,-0.24,0.59
00:00:10:954,0.01,-0.34,0.72,-0.20,-0.33,0.45
00:00:11:056,-0.02,-0.35,1.34,0.24,-0.17,0.57
00:00:11:156,0.01,-0.24,0.98,0.30,-0.18,0.69
00:00:11:256,-0.05,-0.28,1.29,0.27,-0.10,0.80
00:00:11:356,0.00,-0.52,1.18,-0.15,-0.08,0.72
00:00:11:456,-0.02,0.10,1.25,0.34,-0.10,0.80
00:00:11:556,-0.05,-0.17,0.73,0.14,-0.10,0.49
00:00:11:656,0.05,-0.10,0.92,-0.22,-0.32,0.39
00:00:11:756,-0.01,-0.02,0.96,-0.02,-0.25,0.41
00:00:11:856,-0.13,-0.35,1.04,0.15,-0.13,0.47
00:00:11:956,0.03,-0.05,1.21,-0.03,-0.21,0.50
00:00:12:056,-0.05,-0.29,1.35,0.12,-0.09,0.70
00:00:12:156,-0.08,-0.26,1.17,0.04,0.02,0.73
00:00:12:256,-0.09,-0.22,1.11,0.12,0.00,0.65
00:00:12:356,0.04,0.02,1.40,0.33,0.08,0.58
00:00:12:456,-0.10,-0.17,1.03,0.13,0.26,0.55
00:00:12:556,-0.01,-0.00,1.18,0.00,0.22,0.52
00:00:12:656,-0.04,-0.19,0.92,-0.04,0.12,0.36
00:00:12:756,-0.03,-0.20,1.04,-0.11,0.23,0.32
00:00:12:856,-0.00,-0.10,0.99,-0.14,0.13,0.18
00:00:12:956,0.05,-0.15,0.94,-0.08,0.02,0.07
00:00:13:056,-0.05,-0.08,1.04,-0.11,-0.01,0.02
00:00:13:156,-0.03,-0.06,1.17,-0.08,-0.02,-0.00
00:00:13:256,0.01,-0.06,1.13,-0.11,-0.06,0.03
00:00:13:357,0.03,-0.17,1.04,-0.07,-0.07,0.10
00:00:13:456,-0.01,-0.12,0.82,-0.10,-0.08,0.20
00:00:13:556,-0.09,-0.33,0.82,-0.08,0.10,0.25
00:00:13:656,0.02,-0.33,1.00,-0.20,0.07,0.23
00:00:13:756,-0.05,-0.18,0.98,-0.22,0.20,0.20
00:00:13:856,-0.06,-0.00,1.13,-0.19,0.23,0.13
00:00:13:956,-0.02,0.04,1.24,-0.14,0.19,0.06
00:00:14:056,0.02,-0.15,1.01,-0.12,0.15,0.01
00:00:14:156,-0.07,-0.06,1.03,-0.11,0.10,-0.05
00:00:14:256,0.01,0.00,1.11,-0.05,-0.13,-0.09
00:00:14:356,0.06,-0.18,0.84,-0.11,-0.07,-0.05
00:00:14:456,0.01,-0.26,0.88,-0.05,0.08,0.00
00:00:14:556,-0.06,0.06,1.13,-0.13,-0.01,-0.00
00:00:14:656,-0.02,-0.26,1.04,-0.14,-0.02,-0.02
00:00:14:756,-0.06,-0.09,1.08,0.01,-0.02,-0.05
00:00:14:856,-0.00,-0.07,0.97,-0.04,-0.03,-0.01
00:00:14:956,-0.02,-0.33,0.98,-0.13,-0.03,-0.03
00:00:15:056,0.00,-0.05,1.12,-0.01,-0.05,0.02
00:00:15:156,-0.04,-0.19,0.97,-0.17,-0.03,0.04
00:00:15:256,-0.01,-0.08,0.79,-0.01,0.11,0.06
00:00:15:356,-0.04,0.03,1.19,-0.11,0.02,0.01
00:00:15:456,-0.06,-0.21,1.19,-0.16,0.11,0.03
00:00:15:556,-0.02,-0.16,1.10,-0.07,0.04,-0.02
00:00:15:656,-0.02,-0.03,1.20,-0.12,0.08,-0.01
00:00:15:756,-0.05,0.00,1.17,-0.15,0.08,-0.02
00:00:15:856,0.01,-0.21,1.08,0.01,0.01,-0.01
00:00:15:956,-0.04,-0.26,1.08,-0.12,0.08,-0.00
00:00:16:056,-0.01,-0.06,1.04,-0.07,0.04,-0.02
00:00:16:156,-0.05,-0.01,1.11,-0.06,0.06,-0.03
00:00:16:256,-0.10,-0.19,1.14,-0.06,0.09,-0.04
00:00:16:356,-0.05,-0.23,1.10,-0.05,0.17,-0.03
00:00:16:456,-0.04,-0.23,1.11,-0.06,0.13,-0.06
00:00:16:556,-0.01,-0.20,1.27,-0.03,0.04,-0.07
00:00:16:656,0.04,-0.03,1.13,-0.18,-0.03,-0.10
00:00:16:756,-0.06,-0.19,1.05,-0.25,0.07,-0.11
00:00:16:856,-0.01,-0.38,0.77,-0.21,-0.04,-0.11
00:00:16:956,0.07,-0.19,0.86,-0.35,-0.21,-0.13
00:00:17:056,-0.07,-0.10,1.04,-0.12,-0.00,-0.10
00:00:17:156,-0.04,-0.08,0.99,-0.04,-0.07,-0.06
00:00:17:256,-0.04,-0.20,1.05,-0.24,0.00,-0.03
00:00:17:356,-0.01,-0.15,1.12,-0.18,-0.08,-0.07
00:00:17:456,-0.04,-0.09,1.05,-0.11,-0.02,-0.04
00:00:17:556,-0.06,-0.23,1.01,-0.05,0.07,-0.03
00:00:17:656,-0.02,-0.06,1.00,-0.07,-0.10,-0.05
00:00:17:756,-0.09,-0.01,1.09,-0.01,0.10,-0.03
00:00:17:856,-0.03,-0.31,1.07,-0.15,0.12,-0.02
00:00:17:956,0.04,-0.14,0.96,-0.04,0.03,-0.04
00:00:18:056,-0.10,-0.09,1.02,-0.10,0.04,-0.05
00:00:18:156,-0.02,-0.46,0.82,-0.13,-0.00,-0.09
00:00:18:256,-0.07,-0.50,0.96,-0.16,0.07,-0.07
00:00:18:356,-0.09,-0.37,0.77,-0.12,-0.03,-0.05
00:00:18:456,-0.03,-0.21,1.13,-0.09,0.03,-0.06
00:00:18:556,-0.03,-0.38,0.79,-0.04,-0.02,-0.11
00:00:18:656,-0.01,-0.16,1.01,-0.31,0.06,-0.09
00:00:18:756,-0.02,-0.15,1.08,-0.29,-0.05,-0.08
00:00:18:856,-0.05,-0.19,1.21,-0.11,0.05,-0.07
00:00:18:956,-0.00,-0.11,1.27,0.62,-0.07,-0.11
