TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
00:00:00:048,-0.07,-0.33,1.05,-0.15,-0.01,-0.01
00:00:00:135,-0.03,-0.23,1.04,-0.16,0.00,-0.02
00:00:00:233,-0.05,-0.16,1.03,-0.09,0.01,-0.02
00:00:00:333,-0.04,-0.19,1.10,-0.10,-0.01,-0.02
00:00:00:433,-0.05,-0.23,0.95,-0.07,0.01,-0.02
00:00:00:533,-0.02,-0.26,0.97,-0.14,-0.01,-0.02
00:00:00:633,-0.01,-0.18,1.07,-0.06,-0.00,-0.01
00:00:00:733,-0.01,-0.20,1.06,-0.06,-0.01,-0.01
00:00:00:833,-0.02,-0.18,1.08,-0.06,0.02,-0.01
00:00:00:933,-0.05,-0.23,1.01,-0.09,0.05,-0.02
00:00:01:033,-0.04,-0.19,0.99,-0.06,0.02,-0.02
00:00:01:133,-0.03,-0.32,1.05,-0.13,-0.00,-0.01
00:00:01:233,-0.08,-0.18,1.14,-0.21,0.01,-0.02
00:00:01:333,-0.06,-0.27,0.85,-0.13,0.02,-0.02
00:00:01:433,-0.02,-0.17,0.93,-0.24,-0.04,-0.05
00:00:01:533,-0.07,-0.20,1.04,-0.32,-0.06,-0.08
00:00:01:633,-0.09,-0.19,0.93,-0.25,-0.01,-0.08
00:00:01:733,0.04,0.11,1.24,-0.07,-0.07,-0.09
00:00:01:833,0.03,-0.02,1.09,-0.01,0.04,-0.09
00:00:01:933,-0.00,-0.34,0.90,-0.10,0.07,-0.13
00:00:02:033,0.01,-0.00,1.17,-0.11,0.05,-0.10
00:00:02:133,-0.00,-0.34,0.97,-0.15,0.14,-0.11
00:00:02:233,-0.06,-0.22,0.96,0.08,0.18,-0.08
00:00:02:333,-0.03,-0.31,0.95,-0.14,0.22,-0.08
00:00:02:433,-0.07,-0.18,1.08,-0.20,0.17,-0.10
00:00:02:533,-0.07,-0.17,1.15,-0.13,0.16,-0.16
00:00:02:633,-0.14,-0.16,0.99,-0.00,0.19,-0.21
00:00:02:733,-0.16,-0.34,1.03,-0.16,0.07,-0.31
00:00:02:833,-0.10,-0.17,0.94,-0.15,-0.09,-0.38
00:00:02:933,-0.14,-0.17,1.12,-0.11,0.07,-0.40
00:00:03:033,-0.01,-0.22,1.11,-0.34,0.03,-0.39
00:00:03:133,0.04,-0.00,1.25,-0.22,0.06,-0.38
00:00:03:233,-0.02,-0.08,1.36,-0.12,0.21,-0.29
00:00:03:333,-0.02,-0.05,1.56,-0.17,0.09,-0.37
00:00:03:433,0.03,0.20,1.00,-0.02,-0.04,-0.31
00:00:03:533,-0.01,-0.29,1.37,0.07,-0.05,-0.39
00:00:03:633,-0.04,-0.16,1.43,-0.35,-0.28,-0.41
00:00:03:733,-0.04,0.19,1.07,0.23,-0.15,-0.26
00:00:03:833,0.02,0.02,1.27,0.12,-0.12,-0.09
00:00:03:933,-0.01,0.14,1.33,0.04,0.14,0.04
00:00:04:033,-0.09,-0.12,1.58,0.01,-0.00,0.09
00:00:04:133,-0.10,-0.39,1.53,-0.38,0.02,0.01
00:00:04:233,-0.07,-0.14,0.90,-0.13,-0.08,0.05
00:00:04:333,-0.01,-0.20,0.97,-0.42,-0.19,0.13
00:00:04:433,-0.04,-0.20,1.20,-0.22,0.01,0.22
00:00:04:533,-0.07,-0.20,0.98,-0.08,0.05,0.27
00:00:04:633,-0.09,-0.16,1.02,-0.08,0.13,0.35
00:00:04:733,-0.05,-0.22,1.19,-0.22,0.22,0.33
00:00:04:833,-0.08,-0.06,1.18,-0.17,0.21,0.21
00:00:04:933,-0.07,-0.16,0.85,-0.10,0.12,-0.02
00:00:05:033,-0.02,-0.05,1.19,-0.12,-0.01,-0.21
00:00:05:133,-0.08,-0.29,0.95,-0.12,-0.04,-0.23
00:00:05:233,-0.09,-0.17,0.86,0.03,0.01,-0.05
00:00:05:333,-0.01,-0.34,0.87,-0.03,0.06,0.07
00:00:05:433,-0.06,-0.22,0.88,-0.12,0.03,-0.01
00:00:05:533,-0.06,-0.30,0.93,-0.09,0.07,-0.16
00:00:05:633,-0.05,-0.00,1.39,-0.10,-0.06,-0.22
00:00:05:733,-0.04,-0.12,0.93,-0.10,-0.08,-0.15
00:00:05:833,-0.06,-0.23,0.99,-0.10,-0.13,-0.07
00:00:05:933,-0.03,-0.02,1.15,-0.05,-0.07,-0.00
00:00:06:033,-0.03,-0.33,1.03,-0.09,-0.00,-0.04
00:00:06:133,-0.04,-0.10,0.89,-0.07,-0.16,-0.01
00:00:06:234,-0.03,-0.02,1.19,0.01,-0.02,0.00
00:00:06:333,-0.05,-0.37,0.93,-0.16,-0.04,-0.01
00:00:06:433,-0.04,0.00,1.19,-0.09,-0.13,0.04
00:00:06:533,0.02,-0.04,0.94,0.05,-0.06,0.10
00:00:06:633,-0.08,-0.29,1.12,-0.14,0.15,0.10
00:00:06:733,-0.03,-0.23,1.04,-0.19,-0.00,0.08
00:00:06:833,-0.05,-0.18,1.03,-0.17,-0.03,0.06
00:00:06:933,-0.04,0.14,1.09,0.10,-0.00,0.06
00:00:07:033,-0.07,-0.31,0.85,-0.09,0.10,0.01
00:00:07:133,-0.06,0.00,1.09,-0.19,0.09,0.02
00:00:07:234,-0.05,-0.36,1.01,-0.05,0.09,0.01
00:00:07:333,-0.02,-0.27,0.98,-0.16,0.01,-0.01
00:00:07:433,-0.01,-0.21,1.11,-0.11,0.03,0.03
00:00:07:533,0.01,-0.25,0.89,-0.19,-0.08,0.02
00:00:07:633,-0.04,-0.04,1.17,-0.21,0.02,-0.01
00:00:07:733,-0.03,-0.25,0.84,-0.06,-0.04,-0.04
00:00:07:833,-0.04,-0.28,0.96,-0.18,-0.03,-0.04
00:00:07:933,0.01,-0.01,1.09,-0.12,-0.07,0.02
00:00:08:033,-0.08,-0.27,0.77,-0.15,0.01,-0.00
00:00:08:133,-0.00,-0.04,1.05,-0.01,0.04,0.05
00:00:08:233,-0.06,-0.32,1.01,-0.09,0.09,0.04
00:00:08:333,0.03,-0.13,1.08,-0.05,-0.03,-0.01
00:00:08:433,-0.02,-0.21,1.03,-0.27,0.03,-0.10
00:00:08:533,-0.02,-0.20,0.89,-0.07,-0.03,-0.06
00:00:08:633,-0.02,-0.10,1.09,-0.08,0.02,-0.00
00:00:08:733,-0.06,-0.30,0.88,-0.04,-0.00,0.02
00:00:08:833,-0.04,-0.09,1.18,-0.02,0.10,0.02
00:00:08:933,-0.00,-0.13,0.99,-0.09,-0.03,-0.06
00:00:09:033,-0.05,-0.27,0.89,-0.07,-0.02,-0.05
00:00:09:133,-0.00,-0.11,1.16,-0.17,-0.05,-0.06
00:00:09:233,-0.06,-0.33,0.98,-0.12,-0.07,-0.05
00:00:09:333,0.01,-0.26,1.07,-0.11,-0.02,-0.01
00:00:09:433,-0.01,0.03,1.13,-0.07,-0.01,0.01
00:00:09:533,-0.08,-0.28,1.00,-0.13,0.12,0.02
00:00:09:633,-0.02,-0.27,0.97,-0.05,-0.03,0.02
00:00:09:733,0.02,-0.14,1.25,-0.18,-0.01,-0.07
00:00:09:833,-0.06,-0.23,0.93,-0.10,-0.03,-0.09
00:00:09:933,0.04,-0.29,0.90,-0.09,-0.11,-0.09
00:00:10:033,-0.01,-0.06,1.17,-0.08,-0.14,-0.05
00:00:10:133,-0.00,-0.29,0.99,-0.27,-0.07,-0.01
00:00:10:233,-0.02,-0.26,0.90,-0.06,-0.06,0.07
00:00:10:333,-0.00,-0.07,1.01,-0.02,-0.05,0.07
00:00:10:433,-0.08,-0.26,1.01,-0.17,0.03,0.03
