TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
00:00:00:047,-0.03,-0.21,0.96,-0.12,-0.00,-0.02
00:00:00:143,-0.04,-0.16,1.04,-0.05,0.01,-0.02
00:00:00:240,-0.05,-0.24,1.05,-0.11,0.03,-0.01
00:00:00:340,-0.05,-0.19,0.98,-0.11,0.01,-0.01
00:00:00:440,-0.03,-0.21,1.00,-0.07,0.03,-0.01
00:00:00:540,-0.06,-0.23,1.08,-0.12,0.01,-0.01
00:00:00:640,-0.06,-0.19,0.98,-0.10,-0.01,-0.02
00:00:00:740,-0.03,-0.22,0.99,-0.09,0.03,-0.01
00:00:00:840,-0.05,-0.24,1.09,-0.13,0.01,-0.01
00:00:00:940,-0.06,-0.21,0.97,-0.09,-0.01,-0.02
00:00:01:040,-0.03,-0.24,1.04,-0.09,0.02,-0.01
00:00:01:140,-0.05,-0.23,1.08,-0.13,-0.01,-0.01
00:00:01:240,-0.07,-0.27,0.97,-0.10,-0.01,-0.01
00:00:01:340,-0.04,-0.25,1.02,-0.08,-0.03,-0.00
00:00:01:440,-0.05,-0.33,1.05,-0.11,-0.01,-0.00
00:00:01:541,-0.02,-0.16,1.01,-0.11,-0.01,0.00
00:00:01:640,-0.01,-0.04,1.08,-0.07,-0.02,0.00
00:00:01:740,-0.02,-0.26,1.02,-0.15,-0.01,0.01
00:00:01:840,-0.05,-0.10,1.02,-0.10,0.04,0.01
00:00:01:940,-0.05,-0.17,0.97,-0.29,-0.02,-0.06
00:00:02:040,-0.03,-0.22,1.08,-0.22,-0.04,-0.07
00:00:02:140,-0.06,-0.34,1.00,-0.23,-0.05,-0.06
00:00:02:240,-0.03,-0.36,1.05,-0.30,-0.05,-0.04
00:00:02:340,-0.04,-0.40,1.05,-0.27,-0.01,0.01
00:00:02:440,-0.05,-0.43,1.06,-0.20,0.01,0.05
00:00:02:540,-0.07,-0.42,0.98,-0.11,-0.03,0.06
00:00:02:640,-0.07,-0.32,0.92,-0.04,-0.01,0.10
00:00:02:740,-0.09,-0.27,0.92,-0.05,-0.01,0.13
00:00:02:840,-0.12,-0.01,1.01,-0.01,-0.03,0.16
00:00:02:940,-0.11,0.14,1.09,-0.02,-0.07,0.16
00:00:03:040,-0.06,0.08,1.18,-0.03,0.04,0.18
00:00:03:140,-0.07,-0.06,1.32,0.01,0.09,0.20
00:00:03:240,-0.06,-0.14,1.14,-0.09,0.02,0.08
00:00:03:340,-0.07,-0.27,0.88,-0.26,-0.13,-0.05
00:00:03:440,-0.03,-0.15,0.97,-0.24,-0.24,-0.09
00:00:03:540,0.02,-0.43,0.98,-0.28,-0.19,0.01
00:00:03:640,0.08,-0.38,0.90,-0.13,-0.13,-0.00
00:00:03:740,0.04,-0.36,0.91,-0.06,-0.05,0.01
00:00:03:840,0.06,-0.39,0.99,-0.11,0.01,0.08
00:00:03:940,0.05,-0.43,0.96,-0.15,0.07,0.10
00:00:04:040,0.04,-0.36,0.94,-0.15,0.10,0.12
00:00:04:140,0.00,-0.32,0.97,-0.14,0.14,0.14
00:00:04:240,-0.08,-0.29,0.95,-0.08,0.11,0.13
00:00:04:340,-0.08,-0.34,1.08,-0.15,-0.00,0.13
00:00:04:440,-0.07,-0.26,1.01,-0.12,0.01,0.13
00:00:04:540,-0.07,-0.31,0.92,-0.15,-0.01,0.14
00:00:04:640,-0.00,-0.31,1.03,-0.13,-0.05,0.15
00:00:04:740,-0.06,-0.35,0.93,-0.14,-0.06,0.09
00:00:04:840,-0.05,-0.29,0.97,-0.05,-0.07,0.06
00:00:04:940,-0.04,-0.23,1.03,-0.07,-0.11,0.00
00:00:05:040,-0.08,-0.32,0.98,-0.08,-0.14,0.00
00:00:05:140,-0.04,-0.15,1.02,-0.11,-0.12,0.03
00:00:05:240,-0.06,-0.19,1.03,-0.06,-0.04,0.03
00:00:05:340,-0.00,-0.17,0.98,-0.11,-0.11,-0.01
00:00:05:440,0.08,-0.34,1.02,-0.04,-0.07,0.01
00:00:05:541,0.05,-0.42,0.90,0.15,0.05,0.11
00:00:05:640,0.02,-0.02,1.02,0.06,0.04,0.12
00:00:05:740,0.03,-0.30,1.04,0.07,0.18,0.15
00:00:05:840,-0.05,-0.19,0.94,0.02,0.14,0.12
00:00:05:940,-0.03,-0.33,1.05,-0.11,0.12,0.13
00:00:06:040,-0.08,-0.19,1.12,-0.09,0.06,0.13
00:00:06:140,-0.08,-0.28,1.02,-0.05,-0.00,0.06
00:00:06:240,-0.07,-0.32,1.07,-0.04,-0.01,0.06
00:00:06:340,-0.02,-0.25,1.09,-0.04,-0.03,0.07
00:00:06:440,-0.04,-0.23,0.98,-0.01,-0.01,0.09
00:00:06:540,-0.06,-0.18,0.95,0.01,0.06,0.10
00:00:06:640,-0.10,-0.28,0.85,-0.03,0.05,0.07
00:00:06:740,-0.08,-0.06,1.16,-0.03,0.06,0.04
00:00:06:840,-0.09,-0.06,1.28,-0.07,0.00,-0.02
00:00:06:940,-0.15,0.02,0.95,-0.14,-0.13,-0.04
00:00:07:040,-0.08,-0.05,1.06,-0.17,-0.16,-0.02
00:00:07:140,-0.13,-0.20,1.10,-0.26,-0.15,0.00
00:00:07:240,-0.14,-0.17,0.90,-0.17,-0.10,0.08
00:00:07:340,-0.15,-0.12,0.91,-0.26,-0.06,0.18
00:00:07:440,-0.04,0.05,1.02,-0.17,-0.11,0.25
00:00:07:540,-0.07,0.17,1.50,-0.09,-0.03,0.29
00:00:07:640,-0.17,0.05,1.47,-0.16,-0.05,0.35
00:00:07:740,-0.10,0.12,1.24,-0.09,-0.00,0.36
00:00:07:840,-0.04,0.14,0.83,0.12,0.03,0.49
00:00:07:940,-0.04,-0.08,0.77,0.02,0.24,0.48
00:00:08:040,-0.00,-0.10,0.92,0.08,0.04,0.33
00:00:08:140,0.03,-0.36,1.08,-0.37,-0.22,0.11
00:00:08:240,0.00,-0.31,1.06,-0.38,-0.36,-0.06
00:00:08:340,-0.01,-0.23,0.81,-0.33,-0.29,-0.10
00:00:08:440,-0.09,-0.36,0.75,-0.53,-0.19,0.04
00:00:08:540,-0.03,-0.30,0.64,-0.80,-0.31,0.05
00:00:08:640,-0.02,-0.06,0.95,-0.33,-0.40,0.10
00:00:08:740,-0.05,-0.02,0.69,-0.23,-0.17,0.27
00:00:08:840,-0.09,-0.24,0.83,-0.13,-0.09,0.38
00:00:08:940,-0.12,-0.33,1.04,-0.21,-0.04,0.44
00:00:09:040,-0.04,-0.13,1.04,-0.15,-0.01,0.45
00:00:09:140,-0.08,0.04,1.12,-0.01,0.08,0.51
00:00:09:240,-0.10,-0.22,1.20,-0.19,0.22,0.50
00:00:09:340,-0.09,-0.13,0.99,-0.09,0.13,0.32
00:00:09:440,-0.08,-0.27,0.82,-0.09,0.14,0.10
00:00:09:540,-0.11,-0.29,0.98,-0.08,0.08,0.01
00:00:09:640,-0.07,-0.16,0.97,-0.03,-0.06,-0.10
00:00:09:740,-0.07,-0.44,0.92,-0.19,-0.06,-0.10
00:00:09:838,-0.11,-0.19,1.09,-0.18,-0.05,0.11
00:00:09:940,-0.11,-0.16,1.05,-0.11,0.00,0.12
00:00:10:040,-0.07,-0.29,1.05,-0.13,-0.02,0.05
00:00:10:140,-0.10,-0.37,0.93,-0.03,0.06,0.11
00:00:10:240,-0.10,-0.54,0.93,-0.21,0.11,0.15
00:00:10:340,-0.13,-0.45,1.10,-0.05,0.10,0.13
00:00:10:440,-0.07,-0.51,0.95,-0.18,0.10,0.01
00:00:10:540,-0.08,-0.38,0.77,-0.02,0.04,-0.07
00:00:10:641,-0.07,-0.54,0.98,-0.12,0.03,-0.11
00:00:10:740,-0.08,-0.51,0.93,-0.07,-0.00,-0.09
00:00:10:841,-0.07,-0.31,0.99,-0.07,0.05,-0.10
00:00:10:940,-0.07,-0.24,0.99,-0.04,0.05,-0.07
00:00:11:040,-0.07,-0.33,0.93,-0.05,-0.03,-0.12
00:00:11:140,-0.06,-0.36,0.97,-0.07,-0.05,-0.19
00:00:11:240,-0.07,-0.34,0.98,-0.15,0.00,-0.16
00:00:11:340,-0.08,-0.26,0.95,-0.09,0.01,-0.07
00:00:11:440,-0.07,-0.32,1.04,-0.10,-0.00,-0.06
00:00:11:540,-0.07,-0.28,0.97,-0.11,-0.02,-0.07
00:00:11:640,-0.09,-0.19,0.93,-0.05,-0.01,-0.04
00:00:11:740,-0.06,-0.32,1.04,-0.04,0.01,0.01
00:00:11:840,-0.09,-0.26,1.02,-0.07,0.02,0.08
00:00:11:940,-0.08,-0.26,0.96,-0.10,0.02,0.10
00:00:12:040,-0.06,-0.29,1.04,-0.08,0.01,0.02
00:00:12:140,-0.05,-0.30,1.02,-0.08,0.02,-0.02
00:00:12:240,-0.08,-0.25,1.00,-0.07,0.06,0.02
00:00:12:340,-0.08,-0.28,0.96,-0.13,0.02,-0.03
00:00:12:440,-0.09,-0.33,1.03,-0.15,0.01,-0.05
00:00:12:540,-0.07,-0.14,0.99,-0.08,0.02,-0.09
00:00:12:640,-0.11,-0.31,0.93,-0.05,0.03,-0.07
00:00:12:740,-0.05,-0.36,1.01,-0.07,-0.03,-0.12
00:00:12:840,-0.13,-0.20,0.96,-0.04,-0.03,-0.13
00:00:12:940,-0.05,-0.29,0.94,0.08,-0.11,-0.16
00:00:13:040,-0.01,0.18,1.22,0.05,-0.16,-0.16
00:00:13:140,-0.01,0.12,1.28,-0.10,-0.18,-0.14
00:00:13:240,-0.16,-0.09,1.21,-0.35,-0.06,-0.12
00:00:13:340,-0.10,-0.16,0.89,-0.34,-0.17,-0.08
00:00:13:440,-0.01,-0.26,0.89,-0.24,-0.27,0.00
00:00:13:540,0.00,-0.25,0.92,0.19,-0.25,0.23
00:00:13:640,-0.00,-0.05,0.95,0.13,-0.19,0.39
00:00:13:740,-0.05,0.04,1.11,0.03,-0.01,0.49
00:00:13:840,-0.12,-0.11,1.12,-0.09,0.08,0.53
00:00:13:940,-0.10,-0.16,0.97,-0.11,0.12,0.52
00:00:14:040,-0.12,-0.14,1.04,-0.17,0.19,0.54
00:00:14:140,-0.10,-0.23,1.03,-0.25,0.23,0.45
00:00:14:240,-0.05,-0.08,1.02,-0.14,0.19,0.25
00:00:14:340,-0.09,-0.03,1.02,-0.09,0.18,0.08
00:00:14:440,-0.08,-0.28,0.90,-0.06,0.16,-0.03
00:00:14:540,-0.07,-0.25,1.03,-0.21,0.12,-0.13
00:00:14:640,-0.03,0.05,1.12,-0.04,0.05,-0.16
00:00:14:740,-0.10,-0.20,0.98,0.01,0.09,-0.21
00:00:14:840,-0.10,-0.16,1.09,-0.05,0.01,-0.25
00:00:14:940,-0.02,-0.19,1.07,-0.13,-0.03,-0.24
00:00:15:040,-0.07,-0.21,0.84,0.04,-0.01,-0.18
00:00:15:140,-0.06,-0.07,1.07,-0.01,-0.07,-0.23
00:00:15:240,0.02,-0.13,1.04,0.05,-0.09,-0.24
00:00:15:340,-0.09,-0.31,1.04,-0.10,-0.17,-0.25
00:00:15:440,-0.07,-0.28,0.94,-0.17,-0.18,-0.14
00:00:15:540,0.00,-0.17,0.88,-0.10,-0.14,-0.02
00:00:15:640,-0.10,-0.10,1.10,0.02,-0.11,0.09
00:00:15:740,-0.08,-0.15,1.14,-0.12,-0.02,0.17
00:00:15:840,-0.12,-0.22,0.95,-0.12,0.03,0.26
00:00:15:940,-0.08,-0.17,0.96,-0.15,0.02,0.18
00:00:16:040,-0.08,-0.30,0.97,-0.14,0.04,0.14
00:00:16:140,-0.07,-0.30,0.96,-0.09,0.04,0.07
00:00:16:240,-0.07,-0.31,0.89,-0.09,0.10,0.11
00:00:16:340,-0.09,-0.35,0.94,-0.14,0.07,0.09
00:00:16:440,-0.07,-0.39,0.85,-0.04,0.03,0.04
00:00:16:540,-0.03,-0.37,1.06,-0.05,0.08,0.03
00:00:16:640,-0.09,-0.34,0.97,-0.19,0.06,0.00
00:00:16:740,-0.09,-0.15,1.02,-0.11,0.08,0.06
00:00:16:840,-0.10,-0.21,1.01,-0.16,0.11,0.08
00:00:16:940,-0.09,-0.15,1.01,-0.04,0.11,0.05
00:00:17:040,-0.08,-0.40,0.95,-0.09,0.12,0.01
