TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
00:00:00:066,-0.11,-0.19,0.88,-0.14,0.23,0.25
00:00:00:155,-0.04,-0.05,1.19,-0.12,0.14,0.14
00:00:00:255,-0.05,-0.22,0.96,-0.06,0.02,-0.02
00:00:00:355,-0.06,-0.16,0.93,-0.08,0.05,-0.05
00:00:00:455,-0.06,-0.22,0.93,-0.07,0.04,-0.04
00:00:00:555,-0.02,-0.20,0.94,-0.13,0.04,-0.05
00:00:00:655,-0.01,0.01,1.07,-0.14,0.08,-0.01
00:00:00:755,-0.05,-0.13,1.02,-0.12,0.08,-0.03
00:00:00:855,-0.08,-0.11,0.94,-0.06,0.06,-0.06
00:00:00:955,0.01,-0.19,1.02,-0.04,0.08,-0.05
00:00:01:055,0.05,-0.10,1.00,-0.07,-0.02,-0.10
00:00:01:155,0.04,0.01,1.12,-0.04,-0.04,-0.14
00:00:01:255,0.02,-0.05,1.08,-0.06,-0.03,-0.14
00:00:01:355,0.04,-0.18,1.06,-0.09,-0.08,-0.12
00:00:01:455,0.08,-0.13,1.03,-0.04,-0.11,-0.10
00:00:01:555,0.03,-0.05,1.20,-0.11,-0.08,-0.02
00:00:01:655,0.02,0.00,1.11,-0.08,-0.06,-0.00
00:00:01:755,0.03,0.00,1.21,-0.08,-0.06,-0.01
00:00:01:855,0.04,0.01,1.08,-0.11,-0.11,-0.01
00:00:01:955,-0.01,-0.01,1.24,-0.14,0.00,-0.00
00:00:02:055,0.02,0.07,1.17,-0.15,-0.05,-0.02
00:00:02:155,-0.04,-0.00,1.19,-0.18,-0.01,-0.01
00:00:02:255,-0.03,0.00,1.23,-0.12,0.05,0.03
00:00:02:355,0.01,-0.02,1.25,-0.09,0.01,-0.03
00:00:02:455,0.05,-0.08,1.17,-0.01,-0.04,-0.04
00:00:02:555,0.03,-0.16,1.06,-0.01,-0.05,0.01
00:00:02:655,-0.01,-0.25,0.95,-0.19,-0.08,0.00
00:00:02:755,-0.04,-0.27,0.94,-0.33,0.00,0.07
00:00:02:855,-0.10,-0.07,1.06,-0.12,0.04,0.08
00:00:02:955,0.01,0.04,1.08,0.00,-0.02,0.07
00:00:03:055,-0.02,-0.23,1.01,-0.12,0.02,0.04
00:00:03:155,-0.05,-0.24,1.09,-0.22,0.01,-0.01
00:00:03:255,-0.01,0.02,1.14,-0.16,0.12,0.02
00:00:03:355,-0.04,-0.23,0.95,-0.11,0.02,0.05
00:00:03:455,-0.02,-0.01,1.13,-0.11,0.11,0.04
00:00:03:555,-0.02,-0.25,0.87,-0.15,0.01,-0.04
00:00:03:655,-0.03,-0.07,1.09,-0.13,0.06,-0.03
00:00:03:755,-0.02,-0.36,0.97,-0.14,-0.04,-0.10
00:00:03:855,-0.07,-0.52,0.85,-0.19,-0.04,-0.06
00:00:03:955,-0.00,-0.30,1.02,-0.09,-0.11,-0.03
00:00:04:055,0.02,-0.34,0.98,-0.15,-0.13,-0.06
00:00:04:155,-0.03,-0.19,1.16,-0.18,-0.10,-0.05
00:00:04:255,0.03,-0.18,1.10,-0.12,-0.25,-0.05
00:00:04:355,-0.04,-0.25,1.09,-0.17,-0.14,0.03
00:00:04:455,-0.03,-0.28,1.07,-0.06,-0.05,0.14
00:00:04:555,-0.10,-0.41,0.94,-0.16,0.01,0.15
00:00:04:655,-0.04,-0.38,0.88,-0.10,-0.02,0.16
00:00:04:755,-0.02,-0.30,1.12,-0.11,0.06,0.14
00:00:04:855,-0.04,-0.50,0.80,-0.11,0.12,0.13
00:00:04:955,-0.02,-0.27,1.06,-0.21,0.14,0.10
00:00:05:055,-0.08,-0.37,0.89,-0.10,0.18,0.09
00:00:05:155,-0.01,-0.10,1.02,0.02,0.09,0.05
00:00:05:255,-0.02,-0.16,1.22,-0.05,0.10,-0.02
00:00:05:355,-0.00,0.02,1.15,-0.02,0.04,-0.05
00:00:05:455,-0.03,-0.15,0.96,-0.12,0.08,0.03
00:00:05:555,-0.01,-0.32,0.89,-0.14,0.07,0.02
00:00:05:655,0.00,-0.29,1.09,-0.14,0.14,-0.05
00:00:05:755,-0.01,-0.05,1.15,-0.06,0.02,-0.07
00:00:05:855,-0.06,-0.31,0.88,-0.09,0.05,-0.10
00:00:05:955,0.01,-0.04,1.18,-0.17,-0.11,-0.16
00:00:06:055,-0.08,-0.39,0.90,-0.16,-0.01,-0.09
00:00:06:155,0.03,-0.04,1.08,-0.09,-0.12,-0.07
00:00:06:255,-0.06,-0.29,0.80,-0.17,-0.06,-0.03
00:00:06:355,-0.01,-0.28,1.03,-0.07,-0.04,0.03
00:00:06:455,-0.02,-0.06,1.17,-0.04,0.04,0.03
00:00:06:555,-0.05,-0.14,1.02,-0.19,0.11,0.01
00:00:06:655,-0.03,-0.43,0.95,-0.13,0.06,0.00
00:00:06:755,-0.05,-0.35,0.88,-0.08,0.08,-0.02
00:00:06:855,-0.04,-0.34,0.83,-0.05,0.01,-0.06
00:00:06:955,-0.03,-0.32,0.83,0.07,0.09,-0.01
00:00:07:055,-0.02,-0.30,1.00,-0.04,-0.00,-0.08
00:00:07:155,-0.04,-0.42,1.06,-0.08,-0.08,-0.13
00:00:07:255,-0.07,-0.40,0.88,-0.19,-0.00,-0.05
00:00:07:355,-0.04,-0.40,0.85,-0.06,-0.12,-0.05
00:00:07:455,-0.09,-0.14,0.98,-0.07,-0.06,-0.01
00:00:07:555,-0.01,-0.10,1.10,-0.14,0.05,-0.00
00:00:07:655,0.06,-0.20,1.05,-0.11,-0.10,-0.01
00:00:07:755,-0.03,-0.27,1.01,-0.05,0.00,0.02
00:00:07:855,-0.12,-0.15,1.09,-0.17,0.12,0.02
00:00:07:955,0.01,-0.20,0.96,-0.17,-0.05,-0.05
00:00:08:055,-0.01,-0.32,0.80,-0.11,-0.11,-0.01
00:00:08:155,-0.06,-0.04,1.08,-0.15,-0.03,-0.00
00:00:08:255,-0.04,-0.34,0.94,-0.15,0.00,-0.02
00:00:08:355,-0.03,-0.11,1.07,-0.14,-0.06,-0.03
00:00:08:455,-0.02,-0.34,0.90,-0.06,-0.05,0.03
00:00:08:555,-0.01,-0.19,1.08,-0.00,0.00,0.06
00:00:08:655,-0.08,-0.25,1.14,-0.16,0.12,0.03
