TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
00:00:00:066,-0.01,-0.17,1.07,-0.02,0.06,-0.31
00:00:00:155,-0.00,-0.09,1.07,-0.01,0.03,-0.33
00:00:00:255,0.01,-0.03,1.06,-0.00,-0.01,-0.27
00:00:00:355,-0.02,-0.04,1.01,0.07,-0.04,-0.21
00:00:00:455,0.00,-0.25,0.91,-0.04,-0.05,-0.19
00:00:00:555,-0.03,-0.24,0.97,-0.18,0.01,-0.18
00:00:00:655,-0.05,-0.15,1.09,-0.18,-0.01,-0.11
00:00:00:755,0.01,-0.16,1.10,-0.27,-0.05,-0.11
00:00:00:855,-0.01,-0.01,1.18,-0.20,-0.07,-0.02
00:00:00:955,-0.03,0.07,1.18,-0.10,-0.06,0.07
00:00:01:055,-0.04,-0.01,1.19,-0.08,-0.04,0.05
00:00:01:155,-0.06,0.04,1.12,-0.07,0.00,0.11
00:00:01:255,-0.01,0.06,1.19,-0.05,0.00,0.13
00:00:01:355,0.01,-0.08,1.30,-0.17,0.05,0.15
00:00:01:456,-0.03,-0.12,1.17,-0.16,0.08,0.21
00:00:01:555,-0.05,-0.15,1.07,-0.17,0.08,0.12
00:00:01:655,-0.04,-0.23,0.90,-0.21,0.06,0.09
00:00:01:755,-0.01,-0.24,0.83,-0.14,0.05,0.05
00:00:01:855,-0.01,-0.30,0.90,-0.11,0.10,0.08
00:00:01:955,-0.09,-0.26,0.97,-0.20,0.13,0.02
00:00:02:055,-0.03,0.02,1.17,-0.13,0.10,0.02
00:00:02:155,-0.09,-0.22,0.99,-0.06,-0.01,-0.12
00:00:02:255,-0.07,-0.31,1.03,-0.11,0.01,-0.12
00:00:02:355,-0.03,-0.10,0.94,-0.02,-0.06,-0.00
00:00:02:455,-0.10,-0.21,0.91,-0.05,0.15,0.12
00:00:02:555,-0.06,-0.27,0.92,-0.11,0.11,0.15
00:00:02:655,-0.02,-0.16,1.15,-0.16,0.20,-0.06
