TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
00:00:00:047,-0.08,-0.14,1.06,-0.18,0.09,-0.09
00:00:00:134,-0.04,-0.12,1.18,-0.26,-0.01,-0.12
00:00:00:232,-0.01,0.05,1.21,-0.19,0.08,-0.09
00:00:00:332,-0.03,0.08,1.16,-0.11,-0.03,-0.07
00:00:00:432,-0.02,-0.13,0.87,0.07,0.07,-0.04
00:00:00:532,0.01,-0.06,1.15,-0.03,0.08,-0.02
00:00:00:632,0.03,-0.00,1.11,0.02,0.06,-0.06
00:00:00:732,-0.10,-0.25,0.83,-0.19,0.02,-0.05
00:00:00:832,-0.01,-0.20,1.21,-0.17,0.03,-0.10
00:00:00:932,-0.01,0.12,1.26,-0.24,-0.01,-0.14
00:00:01:032,-0.03,0.18,1.02,0.07,-0.01,-0.13
00:00:01:132,-0.05,-0.17,0.98,0.11,0.05,-0.06
00:00:01:233,-0.05,-0.17,0.95,-0.07,0.09,-0.01
00:00:01:333,-0.03,-0.11,1.03,-0.00,0.08,-0.09
00:00:01:433,0.01,-0.06,0.97,-0.05,-0.02,-0.25
00:00:01:532,-0.05,-0.17,1.21,0.02,0.00,-0.19
00:00:01:632,-0.00,-0.29,1.10,-0.05,0.06,-0.08
00:00:01:732,-0.06,-0.15,0.99,-0.08,0.14,-0.03
00:00:01:832,-0.06,-0.13,0.98,-0.12,0.13,-0.04
00:00:01:932,-0.02,0.07,1.14,-0.17,-0.03,-0.12
00:00:02:032,-0.07,-0.26,0.94,-0.08,0.00,-0.14
00:00:02:132,-0.04,-0.07,1.12,-0.10,-0.01,-0.08
00:00:02:232,-0.10,-0.26,0.99,-0.08,-0.05,-0.06
00:00:02:332,-0.02,-0.11,1.04,-0.08,-0.04,-0.11
00:00:02:432,-0.02,-0.01,1.17,-0.24,-0.07,-0.15
00:00:02:532,-0.01,-0.11,1.02,-0.03,-0.10,-0.13
00:00:02:632,-0.10,-0.30,1.06,-0.13,0.05,-0.03
00:00:02:732,-0.04,-0.24,0.87,-0.09,-0.08,0.05
00:00:02:832,-0.05,-0.32,0.96,-0.12,0.02,0.04
00:00:02:932,0.01,-0.15,0.95,-0.08,-0.02,0.07
00:00:03:032,-0.00,-0.13,1.03,-0.06,0.05,0.07
00:00:03:132,-0.01,-0.01,1.22,-0.15,0.08,0.07
00:00:03:232,-0.04,-0.10,1.04,-0.15,0.15,0.06
00:00:03:332,-0.05,-0.22,1.08,-0.13,0.14,-0.04
00:00:03:432,-0.11,-0.25,1.09,-0.15,0.09,-0.06
00:00:03:532,-0.08,-0.31,0.91,-0.04,0.13,-0.12
00:00:03:632,-0.04,-0.29,0.92,-0.14,-0.02,-0.14
00:00:03:732,-0.03,-0.19,0.88,-0.06,-0.01,-0.19
00:00:03:832,0.05,-0.11,0.86,0.06,-0.10,-0.20
00:00:03:932,-0.04,-0.16,0.85,-0.06,-0.03,-0.15
00:00:04:032,-0.08,-0.31,0.94,-0.05,-0.03,-0.11
00:00:04:132,-0.05,-0.33,1.10,-0.20,-0.03,-0.12
00:00:04:232,-0.03,-0.10,1.12,-0.11,-0.14,-0.10
00:00:04:332,-0.01,0.09,1.19,-0.08,-0.06,-0.05
00:00:04:432,-0.04,-0.18,0.97,-0.09,-0.08,-0.04
00:00:04:532,-0.08,-0.24,0.95,-0.13,0.01,-0.02
00:00:04:632,-0.03,-0.05,1.14,-0.15,-0.06,-0.03
00:00:04:732,-0.00,-0.05,1.00,-0.17,-0.11,0.01
00:00:04:832,-0.01,-0.15,0.82,-0.18,-0.15,0.02
00:00:04:932,-0.03,-0.10,0.83,-0.04,-0.06,0.01
00:00:05:032,-0.00,-0.02,1.04,-0.12,-0.02,0.10
00:00:05:132,0.00,-0.12,0.99,-0.08,0.03,0.12
00:00:05:232,-0.08,-0.18,0.81,-0.11,0.12,0.07
00:00:05:332,-0.07,-0.16,1.12,-0.10,0.07,0.01
00:00:05:432,0.01,0.07,1.14,0.02,-0.01,-0.03
00:00:05:532,-0.06,-0.27,0.86,-0.01,0.12,0.05
00:00:05:632,-0.09,-0.26,1.07,-0.09,0.11,0.08
00:00:05:733,-0.08,0.03,1.25,-0.11,0.14,0.03
00:00:05:832,-0.03,-0.22,0.93,-0.15,0.08,-0.03
00:00:05:932,-0.06,-0.19,0.93,-0.07,0.11,0.02
00:00:06:032,-0.07,0.04,1.18,-0.12,0.11,-0.07
00:00:06:132,-0.02,-0.14,0.97,0.11,0.00,-0.15
00:00:06:233,-0.03,-0.27,0.94,0.09,-0.07,-0.21
00:00:06:332,-0.00,-0.02,1.19,-0.00,-0.15,-0.17
00:00:06:432,-0.00,-0.20,0.87,-0.13,-0.20,-0.11
00:00:06:532,-0.06,-0.20,1.06,-0.19,-0.18,-0.02
00:00:06:632,-0.05,0.03,1.17,-0.10,-0.14,0.05
00:00:06:732,-0.10,-0.35,0.84,-0.07,-0.13,0.05
00:00:06:832,-0.04,-0.17,1.15,-0.09,-0.09,0.09
00:00:06:932,0.02,-0.14,1.10,-0.05,-0.02,0.15
00:00:07:032,-0.05,-0.17,1.06,-0.11,0.10,0.14
00:00:07:132,-0.01,-0.09,1.02,-0.04,0.05,0.10
00:00:07:232,-0.03,-0.32,0.79,0.01,0.02,0.07
00:00:07:332,-0.04,-0.05,1.16,-0.16,0.12,0.08
00:00:07:432,-0.06,-0.31,0.78,-0.14,0.11,0.06
00:00:07:532,-0.00,-0.16,1.02,-0.11,0.08,0.04
00:00:07:632,0.00,-0.26,0.94,-0.01,0.12,0.02
00:00:07:732,-0.02,-0.09,1.08,-0.17,-0.01,-0.08
00:00:07:832,-0.01,-0.21,0.99,-0.13,-0.09,-0.09
00:00:07:932,-0.00,-0.13,0.86,-0.12,0.05,0.08
00:00:08:032,-0.04,-0.13,0.80,-0.04,0.04,0.07
00:00:08:132,-0.05,-0.16,1.18,0.01,-0.02,-0.05
00:00:08:232,-0.03,-0.16,1.04,-0.28,-0.14,-0.07
00:00:08:332,-0.07,-0.30,0.89,-0.11,-0.01,0.02
00:00:08:432,0.02,-0.04,1.02,-0.04,-0.06,0.07
00:00:08:532,-0.11,-0.18,0.93,-0.12,0.06,0.07
00:00:08:632,-0.02,-0.27,0.92,-0.09,0.03,0.05
00:00:08:732,0.03,-0.18,1.08,-0.02,0.07,0.04
00:00:08:832,-0.01,0.04,1.15,-0.01,0.06,0.02
00:00:08:932,-0.07,-0.33,1.05,-0.20,0.13,0.05
00:00:09:032,-0.07,-0.37,0.85,-0.12,0.15,0.03
00:00:09:132,0.02,-0.28,0.87,-0.11,0.02,-0.04
00:00:09:232,0.01,-0.08,1.14,-0.10,0.05,-0.04
00:00:09:332,-0.07,-0.16,0.96,-0.02,0.03,-0.06
00:00:09:432,-0.05,-0.42,0.90,-0.10,0.03,-0.05
00:00:09:532,-0.03,-0.32,0.92,0.07,-0.02,-0.02
00:00:09:632,0.03,-0.30,0.92,0.06,-0.03,-0.05
00:00:09:732,0.04,-0.10,1.11,-0.07,0.00,0.00
00:00:09:832,0.00,0.02,1.17,-0.10,-0.01,-0.02
00:00:09:932,-0.07,0.04,1.13,-0.18,0.08,-0.00
00:00:10:032,-0.08,-0.07,1.21,-0.02,0.00,-0.09
00:00:10:132,-0.02,-0.09,1.15,0.06,0.03,-0.03
00:00:10:233,-0.08,-0.19,1.12,-0.17,0.05,-0.03
00:00:10:332,-0.06,-0.17,1.00,-0.06,0.03,-0.07
00:00:10:432,-0.04,-0.19,1.11,-0.10,-0.07,-0.08
00:00:10:532,-0.07,-0.09,1.02,-0.11,-0.03,-0.05
00:00:10:632,-0.01,-0.03,1.16,-0.09,-0.12,-0.02
00:00:10:732,-0.04,0.00,1.23,-0.19,-0.05,-0.02
00:00:10:832,-0.04,0.01,1.14,-0.18,0.03,0.05
00:00:10:932,-0.04,-0.03,1.18,-0.14,0.00,0.05
00:00:11:032,-0.01,-0.01,1.17,-0.05,0.06,0.11
00:00:11:132,0.00,-0.26,1.07,-0.05,0.14,0.06
00:00:11:232,-0.03,-0.29,1.00,-0.07,0.13,0.03
00:00:11:332,0.00,-0.35,1.00,-0.07,0.08,-0.03
00:00:11:432,-0.05,-0.22,1.13,-0.24,0.14,-0.00
00:00:11:532,-0.04,-0.03,0.96,-0.25,0.09,-0.04
00:00:11:632,-0.04,-0.01,0.96,-0.19,-0.07,-0.09
00:00:11:732,-0.03,-0.21,0.89,-0.03,-0.13,-0.09
00:00:11:832,-0.06,-0.28,0.81,-0.07,-0.11,-0.12
00:00:11:932,-0.09,-0.15,1.10,-0.11,-0.05,-0.08
00:00:12:032,0.02,-0.06,1.22,-0.13,-0.22,-0.07
00:00:12:132,0.04,-0.15,1.05,-0.04,-0.17,0.02
00:00:12:232,-0.09,-0.28,1.00,-0.10,0.02,0.06
00:00:12:332,-0.06,-0.07,0.98,-0.13,0.00,0.08
00:00:12:432,0.00,-0.18,0.98,-0.11,-0.03,0.06
00:00:12:532,0.00,-0.31,0.78,-0.08,-0.04,0.02
00:00:12:632,-0.09,-0.13,1.12,-0.16,0.00,0.01
00:00:12:732,0.02,-0.19,1.00,-0.06,0.03,0.09
00:00:12:832,-0.10,-0.24,1.16,-0.04,0.11,0.06
00:00:12:932,-0.01,-0.03,1.00,-0.01,-0.01,0.04
00:00:13:032,-0.07,-0.23,1.08,-0.16,0.10,0.06
00:00:13:132,-0.04,-0.05,1.21,-0.15,0.05,0.01
00:00:13:232,-0.04,-0.38,1.03,-0.12,0.20,0.08
00:00:13:332,-0.06,-0.02,0.77,-0.05,0.13,0.05
00:00:13:432,-0.06,-0.38,1.11,-0.06,0.25,0.08
00:00:13:532,-0.09,-0.18,1.00,-0.07,0.05,-0.07
00:00:13:632,-0.01,-0.39,1.32,-0.29,0.08,-0.08
00:00:13:732,-0.03,-0.00,0.95,-0.15,-0.07,-0.07
00:00:13:832,-0.02,-0.21,0.78,-0.14,0.06,-0.04
00:00:13:932,-0.05,-0.03,1.18,-0.08,-0.03,-0.10
00:00:14:032,-0.05,-0.27,0.95,-0.09,0.00,-0.07
00:00:14:132,-0.01,-0.10,1.09,-0.17,-0.02,-0.08
00:00:14:232,-0.02,-0.22,0.80,-0.06,-0.06,-0.05
00:00:14:333,-0.06,-0.10,1.17,-0.10,-0.06,-0.04
00:00:14:432,-0.05,-0.18,0.88,-0.04,-0.01,-0.03
00:00:14:532,-0.04,-0.00,1.18,-0.20,0.03,-0.01
00:00:14:632,-0.04,-0.27,0.76,-0.10,0.00,-0.05
00:00:14:732,0.02,-0.06,1.05,-0.04,0.01,-0.04
00:00:14:832,-0.05,-0.20,0.99,-0.04,0.01,-0.05
00:00:14:932,-0.02,-0.22,1.04,-0.03,-0.03,-0.07
00:00:15:032,-0.11,-0.20,1.18,-0.12,0.03,-0.07
00:00:15:132,0.03,-0.28,0.98,-0.05,-0.02,-0.02
00:00:15:232,0.04,-0.09,1.06,-0.08,-0.01,0.01
00:00:15:332,-0.07,-0.20,1.06,-0.10,0.05,0.01
00:00:15:432,0.02,-0.33,1.03,-0.05,0.01,-0.02
00:00:15:532,-0.10,-0.01,1.09,0.12,0.05,-0.02
00:00:15:632,-0.12,-0.34,1.15,-0.19,0.03,-0.07
00:00:15:732,0.05,-0.40,1.33,-0.18,-0.05,-0.04
00:00:15:832,-0.03,-0.26,0.95,0.02,-0.01,-0.05
00:00:15:932,-0.03,-0.44,0.95,0.07,0.09,0.04
00:00:16:032,0.06,-0.24,1.06,-0.11,-0.00,0.03
00:00:16:132,-0.10,-0.20,0.92,-0.02,0.00,-0.03
00:00:16:232,0.02,-0.25,0.92,-0.15,-0.01,-0.02
00:00:16:332,0.01,-0.11,1.10,-0.06,0.01,0.00
00:00:16:432,-0.09,-0.30,0.97,-0.09,0.04,-0.03
00:00:16:532,0.01,-0.23,0.88,-0.06,-0.01,-0.05
00:00:16:632,-0.03,-0.06,1.09,-0.07,0.01,-0.05
00:00:16:732,-0.00,-0.41,0.97,0.00,0.01,-0.05
00:00:16:832,-0.03,-0.20,0.91,-0.06,-0.10,-0.08
00:00:16:932,-0.10,-0.08,1.19,-0.20,-0.10,-0.05
00:00:17:032,-0.09,-0.34,1.02,-0.04,-0.01,-0.01
00:00:17:132,0.02,-0.43,1.08,0.23,0.05,0.02
00:00:17:232,-0.03,-0.40,1.31,0.42,0.11,-0.03
00:00:17:332,-0.09,-0.42,1.46,0.04,-0.04,-0.04
00:00:17:432,-0.01,-0.35,1.21,-0.30,0.04,0.04
00:00:17:532,-0.03,-0.07,1.02,0.16,0.01,0.05
00:00:17:632,-0.03,-0.41,1.03,-0.31,0.11,0.08
00:00:17:732,-0.01,-0.25,0.88,-0.16,0.06,0.05
00:00:17:832,-0.04,-0.13,0.97,-0.15,0.12,-0.00
00:00:17:932,-0.06,-0.44,0.99,-0.10,0.20,0.05
00:00:18:032,-0.04,-0.30,0.95,0.06,0.16,0.01
00:00:18:132,0.04,-0.23,1.28,-0.26,-0.10,-0.22
00:00:18:232,-0.07,-0.17,0.97,-0.06,-0.14,-0.17
00:00:18:332,-0.04,-0.31,0.94,-0.12,-0.16,-0.08
00:00:18:432,-0.00,-0.16,1.14,-0.09,-0.16,-0.02
00:00:18:532,-0.07,-0.11,1.08,-0.16,-0.09,0.01
00:00:18:632,-0.07,-0.26,0.91,-0.14,-0.07,0.02
00:00:18:732,-0.04,-0.37,0.96,-0.16,-0.03,-0.00
00:00:18:832,-0.01,-0.16,0.96,-0.12,-0.03,-0.01
00:00:18:932,-0.08,-0.10,1.20,-0.14,0.00,-0.00
00:00:19:032,0.00,-0.29,0.83,-0.02,-0.02,0.03
00:00:19:132,-0.02,-0.26,0.94,-0.20,0.01,0.03
00:00:19:232,0.01,-0.15,1.15,-0.15,-0.02,0.05
00:00:19:332,-0.06,-0.17,1.09,0.08,0.09,0.06
00:00:19:432,-0.10,-0.32,1.12,-0.12,0.15,0.03
00:00:19:532,-0.03,-0.36,1.05,-0.11,0.05,-0.02
00:00:19:632,0.00,-0.06,1.01,-0.07,0.01,-0.03
00:00:19:732,-0.10,-0.04,1.05,-0.13,0.03,-0.03
00:00:19:832,-0.06,-0.20,0.93,-0.11,-0.02,-0.06
00:00:19:932,-0.04,-0.37,0.85,-0.21,0.02,-0.03
00:00:20:032,0.00,-0.21,0.99,-0.12,-0.05,-0.02
00:00:20:132,-0.06,-0.13,1.13,-0.09,-0.01,-0.05
00:00:20:232,-0.08,-0.33,1.05,-0.18,-0.00,-0.08
00:00:20:332,-0.04,-0.47,1.04,-0.09,-0.02,-0.04
00:00:20:432,-0.02,-0.40,0.98,-0.09,-0.02,-0.03
00:00:20:532,0.00,-0.24,1.25,-0.01,-0.06,-0.01
00:00:20:632,-0.06,-0.21,1.19,-0.08,-0.04,-0.02
00:00:20:732,-0.06,-0.32,0.96,-0.15,0.06,0.01
00:00:20:832,0.01,-0.29,0.89,0.06,0.00,0.01
00:00:20:932,0.00,-0.21,0.95,-0.04,-0.00,0.00
00:00:21:032,0.01,-0.07,1.17,-0.11,-0.01,0.02
00:00:21:132,-0.05,-0.05,0.95,-0.06,0.04,0.01
00:00:21:232,-0.08,-0.18,0.95,0.00,0.02,-0.01
00:00:21:332,-0.00,-0.23,0.97,0.09,0.05,0.02
00:00:21:432,-0.06,-0.24,0.93,-0.13,0.07,0.00
00:00:21:532,0.03,-0.06,0.99,0.07,0.05,0.02
00:00:21:632,-0.02,-0.00,1.23,-0.04,0.01,-0.03
00:00:21:732,-0.07,-0.07,1.00,-0.12,0.08,0.00
00:00:21:832,-0.06,-0.10,1.07,0.03,0.02,-0.01
00:00:21:932,-0.09,-0.07,1.02,0.02,0.03,-0.03
00:00:22:032,-0.07,-0.33,1.08,-0.12,0.07,0.00
00:00:22:132,-0.02,-0.35,0.95,-0.08,0.07,0.03
00:00:22:232,-0.00,-0.32,1.06,-0.01,0.01,-0.04
00:00:22:332,-0.02,-0.16,1.10,-0.03,-0.04,-0.06
00:00:22:432,0.04,-0.22,1.16,-0.06,-0.05,-0.05
00:00:22:532,0.02,-0.21,0.98,-0.05,-0.05,-0.05
00:00:22:632,-0.00,-0.07,1.15,-0.07,-0.07,-0.06
00:00:22:732,-0.04,-0.09,1.12,-0.05,-0.10,-0.03
00:00:22:832,-0.09,-0.13,1.13,-0.09,-0.09,-0.03
00:00:22:932,-0.03,-0.21,0.97,0.00,-0.07,0.01
00:00:23:032,-0.13,-0.13,1.16,-0.16,0.11,0.08
00:00:23:132,-0.07,-0.21,0.94,-0.02,0.06,0.03
00:00:23:232,-0.09,-0.37,1.00,-0.15,0.03,-0.03
00:00:23:332,0.02,-0.45,1.03,0.07,-0.00,-0.04
00:00:23:432,-0.07,-0.29,1.08,-0.11,-0.06,-0.08
00:00:23:532,-0.07,-0.37,1.15,-0.19,-0.11,-0.03
00:00:23:632,-0.06,-0.39,0.88,-0.26,-0.09,-0.02
00:00:23:732,0.03,-0.35,0.81,-0.03,-0.11,0.01
00:00:23:832,0.00,-0.34,1.07,-0.25,0.01,0.03
00:00:23:932,0.02,-0.26,0.92,-0.09,-0.02,0.02
00:00:24:032,-0.02,-0.26,0.89,-0.06,-0.04,0.01
00:00:24:132,0.02,-0.19,0.98,-0.14,-0.08,0.00
00:00:24:232,-0.01,-0.29,0.99,-0.04,-0.04,0.03
00:00:24:332,0.03,-0.20,1.24,-0.10,-0.02,0.04
00:00:24:432,0.02,-0.15,1.08,0.02,-0.07,0.05
00:00:24:532,0.06,-0.20,1.16,-0.03,-0.03,0.05
00:00:24:632,-0.00,-0.29,1.14,-0.16,-0.04,0.06
00:00:24:732,-0.06,-0.16,1.20,-0.09,0.07,0.06
00:00:24:832,-0.08,-0.19,1.11,-0.08,0.03,0.03
