TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
00:00:00:047,-0.05,-0.29,0.84,-0.19,-0.05,-0.00
00:00:00:134,0.00,-0.07,1.18,-0.23,-0.05,0.04
00:00:00:232,-0.04,0.05,1.03,-0.09,-0.08,0.10
00:00:00:332,-0.09,-0.18,1.03,-0.04,0.03,0.15
00:00:00:432,0.00,0.06,1.09,-0.07,0.01,0.13
00:00:00:532,-0.05,-0.25,0.89,-0.14,0.02,0.18
00:00:00:632,-0.06,-0.02,1.09,-0.26,0.07,0.24
00:00:00:732,-0.09,0.03,1.07,-0.08,0.05,0.25
00:00:00:832,-0.11,-0.03,1.01,-0.08,0.02,0.14
00:00:00:932,0.00,0.02,1.21,-0.03,-0.05,-0.01
00:00:01:032,-0.02,-0.19,0.84,-0.11,-0.13,-0.06
00:00:01:132,-0.07,-0.33,0.85,-0.20,-0.14,-0.04
00:00:01:232,-0.11,-0.17,0.96,-0.24,-0.07,-0.03
00:00:01:332,-0.14,-0.16,0.96,-0.41,-0.03,0.10
00:00:01:432,-0.12,-0.05,1.09,-0.24,0.03,0.22
00:00:01:532,-0.14,-0.11,0.95,-0.15,0.02,0.21
00:00:01:633,-0.09,-0.15,1.05,-0.29,-0.04,0.09
00:00:01:732,-0.01,0.07,1.22,-0.19,-0.07,0.04
00:00:01:832,0.01,-0.16,0.99,-0.01,-0.15,0.04
00:00:01:932,-0.03,-0.05,1.26,-0.16,-0.05,0.06
00:00:02:032,-0.11,-0.12,1.00,-0.14,0.00,0.16
00:00:02:132,-0.11,-0.31,0.92,-0.08,-0.07,0.22
00:00:02:232,-0.11,-0.27,0.94,-0.09,0.04,0.22
00:00:02:332,-0.02,-0.11,1.07,-0.09,-0.05,0.10
00:00:02:432,-0.02,0.04,1.12,-0.03,-0.05,0.12
00:00:02:532,-0.07,-0.19,0.97,-0.14,0.04,0.14
00:00:02:632,-0.08,-0.04,0.96,-0.08,-0.10,0.20
00:00:02:732,-0.02,-0.02,1.21,-0.11,0.11,0.17
00:00:02:832,-0.06,-0.10,1.08,-0.21,0.07,0.18
