TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
00:00:00:047,-0.06,-0.18,1.12,-0.07,-0.02,-0.01
00:00:00:134,-0.01,-0.40,1.06,-0.13,-0.14,-0.02
00:00:00:232,-0.01,-0.22,1.05,-0.07,-0.15,-0.02
00:00:00:332,0.02,0.02,1.14,0.06,-0.19,0.01
00:00:00:432,0.09,-0.10,1.18,-0.03,-0.16,0.03
00:00:00:532,0.11,-0.09,1.25,0.00,-0.07,0.08
00:00:00:632,0.06,0.07,1.28,0.02,-0.04,0.17
00:00:00:732,0.07,0.08,1.13,0.10,0.01,0.29
00:00:00:832,-0.01,-0.09,0.92,0.15,0.15,0.37
00:00:00:932,0.01,-0.03,1.08,0.06,0.19,0.47
00:00:01:032,-0.10,-0.24,0.80,-0.11,0.01,0.43
00:00:01:132,-0.02,0.20,1.35,-0.15,-0.08,0.36
00:00:01:232,-0.13,-0.20,1.00,-0.02,-0.06,0.39
00:00:01:332,-0.02,-0.01,1.18,-0.04,-0.13,0.32
00:00:01:432,0.08,-0.25,0.92,-0.13,-0.27,0.25
00:00:01:532,-0.07,-0.21,0.98,-0.17,-0.08,0.30
00:00:01:632,-0.12,-0.28,0.93,-0.30,-0.15,0.30
00:00:01:732,-0.09,-0.26,1.09,-0.38,-0.22,0.32
00:00:01:832,-0.06,-0.21,0.88,-0.15,-0.17,0.44
00:00:01:932,-0.10,-0.23,0.83,-0.21,-0.13,0.55
00:00:02:032,-0.04,-0.31,1.10,-0.23,-0.10,0.59
00:00:02:132,-0.04,-0.27,1.12,-0.12,-0.00,0.58
00:00:02:232,-0.13,0.05,1.13,0.13,0.09,0.58
00:00:02:332,-0.01,-0.13,1.08,-0.05,0.16,0.47
00:00:02:432,-0.08,-0.21,1.00,-0.22,0.11,0.41
00:00:02:532,0.04,-0.23,0.99,-0.22,0.02,0.25
00:00:02:632,-0.07,-0.22,1.01,-0.13,0.16,0.18
00:00:02:732,-0.09,-0.18,1.11,-0.22,0.06,0.14
00:00:02:832,-0.05,-0.12,1.08,-0.16,0.01,0.04
00:00:02:932,-0.04,-0.32,0.97,-0.09,0.07,0.03
00:00:03:032,-0.05,-0.23,0.97,-0.07,0.04,-0.01
00:00:03:132,-0.07,-0.35,1.00,-0.11,0.02,-0.03
00:00:03:232,-0.09,-0.13,1.12,-0.10,0.03,-0.05
00:00:03:332,-0.07,-0.01,1.12,-0.07,0.03,-0.04
00:00:03:432,-0.06,-0.02,1.30,-0.12,0.03,0.03
00:00:03:532,-0.08,-0.15,0.77,-0.22,-0.05,-0.09
00:00:03:632,-0.07,-0.15,0.95,-0.30,-0.01,-0.10
00:00:03:732,-0.07,-0.14,1.07,-0.18,0.09,-0.07
00:00:03:832,-0.01,-0.08,1.09,-0.03,0.02,-0.09
00:00:03:932,-0.00,-0.19,0.96,-0.03,0.05,-0.17
00:00:04:032,-0.08,-0.15,0.87,0.15,0.07,-0.14
00:00:04:132,0.00,-0.02,1.03,0.13,-0.03,-0.17
00:00:04:232,0.02,0.06,1.08,0.02,-0.03,-0.19
00:00:04:332,0.01,0.06,1.17,-0.05,-0.01,-0.12
00:00:04:432,-0.06,-0.02,1.04,-0.04,-0.06,-0.13
00:00:04:532,-0.04,-0.21,0.88,-0.05,-0.16,-0.21
00:00:04:632,0.01,-0.08,1.03,-0.10,-0.13,-0.18
00:00:04:732,-0.07,-0.34,0.97,-0.10,-0.09,-0.08
00:00:04:832,0.03,0.07,1.17,-0.09,-0.19,-0.00
00:00:04:932,-0.01,-0.02,1.18,-0.08,-0.07,0.06
00:00:05:032,-0.06,-0.02,1.17,-0.20,-0.07,0.08
00:00:05:132,-0.06,0.01,1.06,-0.15,-0.03,0.15
00:00:05:232,-0.01,0.01,1.07,-0.16,0.01,0.20
00:00:05:332,-0.03,-0.19,0.87,0.00,0.02,0.21
00:00:05:433,-0.06,-0.11,1.09,-0.09,0.12,0.12
00:00:05:532,0.01,0.13,1.09,0.04,0.05,0.11
00:00:05:632,-0.08,-0.21,0.92,-0.18,0.08,0.02
00:00:05:732,-0.01,-0.09,1.13,-0.14,0.03,-0.01
00:00:05:832,-0.03,-0.20,0.94,-0.10,-0.07,-0.04
00:00:05:932,0.01,-0.14,1.10,-0.07,-0.00,0.01
00:00:06:032,-0.03,-0.15,1.10,-0.24,0.04,0.04
00:00:06:132,-0.02,-0.11,0.87,-0.03,-0.10,0.00
00:00:06:232,-0.07,-0.00,1.16,-0.10,-0.02,0.01
