TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
00:00:00:047,-0.05,-0.19,1.01,-0.08,0.01,-0.01
00:00:00:134,-0.06,-0.15,1.01,-0.09,0.01,-0.01
00:00:00:232,-0.04,-0.22,1.02,-0.11,0.01,-0.01
00:00:00:332,-0.05,-0.21,1.05,-0.09,0.02,-0.01
00:00:00:432,-0.07,-0.20,1.01,-0.09,0.02,-0.01
00:00:00:532,-0.03,-0.23,0.95,-0.20,-0.03,-0.02
00:00:00:632,-0.06,-0.15,0.94,0.01,0.04,-0.02
00:00:00:732,-0.09,-0.15,1.02,-0.12,0.00,-0.02
00:00:00:832,-0.07,-0.11,1.09,-0.10,-0.01,-0.02
00:00:00:932,-0.01,-0.33,1.05,-0.11,-0.02,-0.02
00:00:01:030,-0.10,-0.20,1.04,-0.07,-0.01,-0.02
00:00:01:132,-0.05,0.15,1.04,0.14,0.01,0.01
00:00:01:232,-0.04,-0.10,0.97,0.19,0.01,0.03
00:00:01:332,-0.08,-0.31,0.88,0.07,-0.04,-0.01
00:00:01:432,0.00,-0.22,1.09,-0.15,-0.02,-0.03
00:00:01:532,-0.05,-0.38,0.87,-0.26,0.02,-0.01
00:00:01:632,-0.05,0.11,1.20,-0.23,0.04,0.01
00:00:01:732,-0.12,-0.03,0.93,0.03,-0.02,0.02
00:00:01:832,-0.00,-0.07,1.03,-0.02,-0.01,0.01
00:00:01:932,-0.08,-0.14,1.02,-0.21,0.02,0.00
00:00:02:033,-0.03,-0.03,0.99,-0.05,0.01,0.05
00:00:02:132,-0.00,0.10,1.08,-0.00,0.02,-0.03
00:00:02:232,-0.04,-0.12,0.79,-0.00,-0.01,0.02
00:00:02:332,-0.05,-0.16,1.03,-0.13,0.07,0.00
00:00:02:432,-0.10,-0.29,1.22,-0.34,0.09,-0.05
00:00:02:532,-0.03,-0.06,1.07,0.05,0.10,-0.01
00:00:02:632,0.01,0.15,1.02,0.03,0.08,-0.04
00:00:02:732,-0.01,-0.04,1.24,0.20,0.05,-0.08
