TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
00:00:00:047,-0.05,-0.22,0.89,-0.03,-0.01,-0.02
00:00:00:134,-0.07,-0.23,1.05,-0.19,-0.04,-0.03
00:00:00:232,-0.05,-0.02,1.10,-0.11,-0.04,-0.02
00:00:00:332,-0.07,-0.10,1.12,-0.12,-0.04,-0.02
00:00:00:432,-0.10,-0.08,1.13,-0.09,0.03,-0.01
00:00:00:532,-0.07,-0.09,0.89,-0.16,-0.00,-0.02
00:00:00:632,-0.09,-0.14,0.92,-0.19,0.02,-0.04
00:00:00:732,-0.08,-0.11,1.07,-0.24,-0.01,-0.06
00:00:00:832,0.00,0.14,1.33,-0.13,-0.01,-0.03
00:00:00:932,-0.04,-0.17,0.89,0.04,0.02,-0.00
00:00:01:032,0.07,-0.04,1.10,-0.04,0.08,-0.01
00:00:01:132,-0.02,-0.26,0.97,-0.05,0.16,0.02
00:00:01:232,-0.05,-0.09,0.94,-0.08,0.12,-0.01
00:00:01:332,-0.12,-0.30,1.15,-0.12,0.07,-0.00
00:00:01:432,-0.10,-0.11,0.96,-0.15,0.01,-0.06
00:00:01:532,-0.02,-0.12,1.05,-0.01,0.04,-0.06
00:00:01:632,-0.04,-0.11,0.96,-0.09,-0.01,-0.09
00:00:01:732,-0.07,-0.26,0.90,-0.01,0.05,-0.07
00:00:01:832,-0.11,-0.23,1.06,-0.08,-0.02,-0.08
00:00:01:932,-0.10,-0.16,0.92,-0.02,-0.04,-0.12
00:00:02:033,-0.10,-0.21,1.01,-0.11,-0.11,-0.15
00:00:02:132,-0.05,-0.25,0.84,0.12,-0.03,-0.10
00:00:02:232,-0.01,-0.26,0.93,-0.07,-0.02,-0.06
00:00:02:332,-0.02,-0.08,1.01,-0.10,-0.08,0.00
00:00:02:432,0.04,-0.31,1.01,-0.10,0.03,-0.01
00:00:02:532,0.03,-0.19,0.96,-0.09,0.10,0.05
00:00:02:632,-0.06,-0.30,0.93,-0.10,0.12,0.03
00:00:02:732,-0.10,-0.34,0.94,-0.07,0.01,-0.01
00:00:02:832,-0.04,-0.22,0.98,-0.10,0.02,-0.01
00:00:02:932,-0.10,-0.25,1.11,-0.12,0.06,0.01
00:00:03:032,-0.10,-0.22,1.03,-0.05,0.05,0.01
00:00:03:132,-0.08,-0.22,0.94,-0.10,-0.08,-0.01
00:00:03:232,-0.04,-0.10,1.09,-0.05,-0.12,-0.01
00:00:03:332,-0.07,-0.05,1.00,-0.03,-0.14,0.01
00:00:03:432,-0.05,-0.21,1.05,-0.12,-0.11,0.03
00:00:03:532,-0.07,-0.14,0.92,-0.17,-0.12,0.01
00:00:03:632,0.05,-0.27,1.21,-0.27,-0.14,0.02
00:00:03:732,0.04,-0.19,1.12,-0.11,-0.10,0.07
00:00:03:832,-0.01,-0.09,1.07,-0.07,-0.01,0.10
00:00:03:932,-0.05,-0.15,1.08,-0.12,-0.02,0.08
00:00:04:032,-0.05,-0.14,1.02,0.01,0.07,0.13
00:00:04:132,-0.08,-0.40,1.00,-0.17,0.03,0.17
00:00:04:232,-0.05,-0.15,1.07,-0.01,0.06,0.24
00:00:04:332,-0.07,-0.19,1.08,-0.08,0.07,0.29
00:00:04:432,-0.08,-0.17,1.07,-0.11,0.08,0.31
00:00:04:532,-0.05,-0.16,0.92,-0.07,0.01,0.24
00:00:04:632,-0.05,-0.13,1.07,-0.07,0.03,0.17
00:00:04:732,-0.06,-0.24,1.00,-0.08,0.03,0.15
00:00:04:832,-0.06,-0.29,0.98,-0.13,0.01,0.06
00:00:04:932,-0.03,-0.19,0.99,-0.03,-0.02,-0.02
00:00:05:032,-0.04,-0.20,0.96,-0.08,0.02,-0.07
00:00:05:132,-0.04,-0.23,0.98,-0.07,0.03,-0.08
00:00:05:232,-0.06,-0.23,0.95,-0.09,0.04,-0.10
00:00:05:332,-0.04,-0.28,1.07,-0.09,0.02,-0.08
00:00:05:432,-0.05,-0.24,0.97,-0.11,0.05,-0.10
00:00:05:532,-0.04,-0.29,0.97,-0.07,0.03,-0.10
00:00:05:632,-0.07,-0.19,0.97,-0.01,0.06,-0.11
00:00:05:732,-0.06,-0.20,1.04,-0.03,0.04,-0.12
00:00:05:832,-0.07,-0.23,1.05,-0.08,0.01,-0.16
00:00:05:932,-0.06,-0.28,0.96,-0.04,-0.01,-0.15
00:00:06:032,-0.07,-0.20,1.06,-0.05,-0.07,-0.18
00:00:06:132,-0.07,-0.34,0.94,-0.08,-0.05,-0.17
00:00:06:232,-0.02,-0.20,1.01,-0.08,-0.09,-0.15
00:00:06:332,-0.07,-0.19,1.08,-0.06,-0.01,-0.15
00:00:06:432,-0.01,-0.29,0.96,-0.09,-0.02,-0.13
00:00:06:532,-0.00,-0.34,0.92,-0.11,0.01,-0.09
00:00:06:632,-0.00,-0.20,1.05,-0.11,0.06,-0.07
00:00:06:732,-0.03,-0.28,0.97,-0.12,0.05,-0.07
00:00:06:832,-0.03,-0.31,0.97,-0.10,0.01,-0.07
00:00:06:932,-0.03,-0.20,0.99,-0.05,-0.00,-0.07
00:00:07:032,-0.04,-0.25,1.01,-0.10,-0.03,-0.07
00:00:07:132,-0.04,-0.37,0.98,-0.13,-0.06,-0.06
00:00:07:232,-0.05,-0.33,0.99,-0.12,-0.08,-0.06
00:00:07:332,-0.01,-0.30,1.07,-0.10,-0.14,-0.06
00:00:07:432,0.05,-0.26,1.03,-0.12,-0.15,-0.05
00:00:07:532,0.10,-0.23,1.02,-0.10,-0.11,-0.03
00:00:07:632,0.07,-0.30,1.05,-0.11,-0.01,-0.01
00:00:07:732,0.05,-0.22,0.99,-0.11,0.04,0.00
00:00:07:832,0.05,-0.23,0.99,-0.09,0.05,0.00
00:00:07:932,0.03,-0.20,0.94,-0.02,0.07,0.01
00:00:08:032,0.03,-0.20,1.08,-0.10,0.02,-0.00
00:00:08:132,0.02,-0.20,1.03,-0.11,0.02,-0.00
00:00:08:232,0.02,-0.16,0.98,-0.07,-0.03,-0.02
00:00:08:332,0.02,-0.22,1.05,-0.09,-0.02,-0.02
00:00:08:432,0.05,-0.21,0.99,-0.12,-0.01,-0.01
00:00:08:532,0.05,-0.14,0.92,-0.05,-0.02,-0.02
00:00:08:632,0.05,-0.23,0.97,-0.12,0.01,-0.01
00:00:08:732,0.05,-0.17,0.99,-0.06,0.08,-0.01
00:00:08:832,0.02,-0.29,0.96,-0.09,0.05,-0.01
00:00:08:932,0.08,-0.15,1.02,-0.13,0.09,-0.04
00:00:09:032,-0.01,-0.22,0.96,0.07,0.03,-0.05
00:00:09:132,-0.02,-0.25,0.90,0.02,0.01,-0.06
00:00:09:232,0.02,-0.34,0.88,0.01,-0.03,-0.07
00:00:09:332,0.03,-0.31,0.89,0.00,-0.05,-0.07
00:00:09:432,0.06,-0.14,0.96,0.05,-0.06,-0.08
00:00:09:532,0.06,-0.04,1.05,-0.06,-0.03,-0.07
00:00:09:632,0.01,-0.23,0.98,-0.12,0.05,-0.05
00:00:09:732,0.05,-0.21,1.08,-0.11,0.14,-0.04
00:00:09:832,0.06,-0.26,1.02,-0.13,0.17,-0.03
00:00:09:932,0.02,-0.11,0.96,-0.17,0.15,-0.04
00:00:10:032,-0.01,-0.17,1.12,-0.14,0.19,-0.08
00:00:10:132,-0.03,-0.22,1.18,-0.15,0.11,-0.12
00:00:10:232,-0.06,-0.23,1.12,-0.05,0.07,-0.11
00:00:10:332,0.02,-0.14,1.11,-0.01,0.01,-0.10
00:00:10:432,-0.05,0.00,1.02,-0.01,-0.01,-0.09
00:00:10:532,-0.11,0.01,0.92,-0.11,-0.05,-0.11
00:00:10:632,-0.07,0.07,1.30,-0.10,-0.05,-0.09
00:00:10:732,-0.10,-0.04,1.07,-0.04,-0.05,-0.13
00:00:10:833,-0.00,-0.16,0.80,0.10,-0.22,-0.08
00:00:10:932,-0.02,0.18,1.26,-0.11,-0.11,-0.02
00:00:11:032,-0.02,0.01,1.11,0.02,0.03,0.16
00:00:11:132,-0.07,-0.23,0.85,-0.10,0.01,0.23
00:00:11:232,-0.05,0.16,1.29,-0.11,-0.03,0.19
00:00:11:332,-0.08,0.04,1.05,-0.15,-0.05,0.18
00:00:11:432,-0.08,-0.18,0.97,-0.12,-0.12,0.13
00:00:11:532,0.01,-0.13,1.20,-0.52,-0.18,0.12
00:00:11:632,-0.04,0.10,1.05,-0.16,-0.06,0.21
00:00:11:732,-0.07,0.03,0.90,0.08,0.05,0.31
00:00:11:832,-0.01,-0.04,1.19,0.13,0.16,0.46
00:00:11:932,-0.04,-0.18,1.01,0.03,0.06,0.30
00:00:12:032,-0.09,-0.27,0.85,-0.13,0.08,0.11
00:00:12:132,-0.11,-0.10,0.83,-0.23,-0.04,0.01
00:00:12:232,0.01,0.30,1.19,-0.06,-0.03,-0.02
00:00:12:332,-0.11,-0.31,0.91,-0.09,0.05,0.07
00:00:12:432,-0.08,-0.18,0.86,-0.10,0.09,0.06
00:00:12:532,-0.06,-0.15,0.91,0.01,-0.06,-0.05
00:00:12:632,-0.04,-0.08,1.19,-0.24,0.04,-0.11
00:00:12:732,-0.06,-0.01,0.91,-0.01,-0.13,-0.06
00:00:12:832,-0.02,0.01,1.07,-0.16,-0.05,-0.01
00:00:12:932,-0.11,-0.11,0.91,-0.09,-0.05,0.08
00:00:13:032,-0.12,-0.12,0.86,-0.13,-0.10,0.07
00:00:13:132,-0.13,-0.15,0.93,-0.15,-0.06,0.07
00:00:13:232,-0.10,-0.05,1.13,-0.15,-0.02,0.15
00:00:13:332,-0.06,0.16,1.10,-0.18,0.00,0.17
00:00:13:432,-0.06,-0.06,1.01,-0.08,0.10,0.19
00:00:13:532,-0.11,-0.19,1.08,-0.11,0.16,0.09
00:00:13:632,-0.11,0.05,1.10,-0.07,0.17,-0.02
00:00:13:732,-0.05,0.11,1.27,-0.11,0.17,-0.06
00:00:13:832,-0.04,-0.03,1.21,0.01,0.12,-0.01
00:00:13:932,0.03,-0.25,1.05,-0.01,0.10,-0.02
00:00:14:032,-0.02,-0.22,0.98,-0.06,-0.02,-0.08
00:00:14:132,-0.04,-0.13,0.96,0.03,-0.03,-0.10
00:00:14:232,0.01,-0.18,1.13,-0.07,0.02,-0.11
