TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
00:00:00:047,-0.04,-0.10,1.09,-0.12,0.10,-0.07
00:00:00:134,-0.05,-0.20,1.15,-0.28,0.02,-0.02
00:00:00:232,-0.03,-0.12,0.87,0.03,-0.06,0.02
00:00:00:332,-0.02,-0.14,0.93,0.01,-0.02,0.04
00:00:00:432,-0.01,-0.30,1.19,-0.15,-0.08,-0.01
00:00:00:532,-0.01,-0.12,1.06,-0.12,-0.17,-0.04
00:00:00:632,-0.02,-0.20,1.10,-0.25,-0.03,0.07
00:00:00:732,-0.00,-0.26,0.82,0.09,-0.00,0.10
00:00:00:832,0.00,-0.42,1.01,-0.10,0.02,0.08
00:00:00:932,-0.02,-0.30,1.02,-0.02,0.05,0.05
00:00:01:032,-0.03,-0.20,1.09,-0.13,-0.02,-0.05
00:00:01:132,-0.00,-0.11,1.22,-0.00,-0.11,-0.08
00:00:01:232,-0.12,-0.20,1.06,-0.01,0.02,-0.02
00:00:01:332,-0.16,-0.30,0.95,-0.11,0.11,0.08
00:00:01:432,-0.03,-0.32,1.07,-0.18,0.10,0.01
00:00:01:532,0.04,-0.15,1.23,-0.11,-0.10,-0.09
00:00:01:632,-0.06,-0.39,0.88,-0.17,-0.07,-0.02
00:00:01:732,-0.03,-0.34,0.88,-0.30,-0.10,0.03
00:00:01:832,-0.06,-0.27,1.13,-0.24,0.09,0.06
00:00:01:932,-0.02,-0.28,0.68,-0.17,-0.15,0.05
00:00:02:032,-0.04,-0.09,0.85,-0.13,0.00,0.01
00:00:02:133,-0.11,-0.29,0.91,-0.03,0.04,0.05
00:00:02:232,-0.05,-0.04,1.17,-0.08,0.04,0.03
00:00:02:332,-0.07,-0.36,1.09,-0.04,0.10,-0.00
00:00:02:432,-0.00,-0.15,0.89,0.26,-0.05,0.02
00:00:02:532,-0.05,-0.34,1.10,-0.10,0.18,-0.02
00:00:02:632,-0.04,-0.24,1.23,-0.20,-0.05,-0.03
00:00:02:732,-0.01,-0.23,0.79,-0.16,-0.07,0.02
00:00:02:832,-0.11,-0.43,1.02,-0.08,0.13,0.07
00:00:02:932,-0.07,-0.33,0.75,-0.18,0.03,0.03
00:00:03:032,-0.05,-0.44,0.89,-0.12,-0.03,-0.06
00:00:03:132,-0.03,-0.32,0.73,-0.09,-0.08,-0.05
00:00:03:232,-0.05,-0.25,0.97,-0.07,0.03,-0.00
00:00:03:332,0.03,-0.27,1.09,0.01,-0.06,-0.04
00:00:03:432,-0.09,-0.45,0.99,-0.07,-0.06,-0.07
00:00:03:532,-0.06,-0.39,0.91,0.11,0.03,0.03
00:00:03:632,0.01,-0.36,1.19,-0.03,-0.07,0.00
00:00:03:732,-0.09,-0.30,0.90,-0.16,0.01,0.01
00:00:03:832,-0.07,-0.21,0.96,-0.08,-0.04,0.04
00:00:03:932,-0.01,-0.19,1.28,-0.10,0.02,0.08
00:00:04:032,-0.11,-0.36,1.02,-0.36,0.03,-0.00
00:00:04:132,0.02,-0.19,0.79,-0.16,-0.15,-0.02
00:00:04:232,-0.01,-0.07,1.07,-0.25,-0.05,0.00
00:00:04:332,-0.10,-0.35,0.97,-0.02,0.05,0.09
00:00:04:432,-0.11,-0.27,1.03,-0.07,0.03,0.05
00:00:04:532,-0.06,-0.27,1.07,-0.03,0.04,0.05
00:00:04:632,0.01,-0.12,0.95,0.01,-0.05,0.03
00:00:04:732,-0.07,-0.29,1.09,-0.08,0.12,0.06
00:00:04:832,-0.06,-0.51,0.81,-0.06,-0.04,0.06
00:00:04:932,-0.01,-0.19,0.90,-0.01,0.02,0.03
00:00:05:032,-0.03,-0.16,1.04,0.04,0.01,-0.01
00:00:05:132,-0.02,-0.25,1.25,-0.13,-0.04,-0.01
00:00:05:232,-0.10,-0.34,1.18,-0.04,0.06,-0.01
00:00:05:332,-0.04,-0.44,0.89,0.10,-0.10,-0.01
00:00:05:432,-0.05,-0.29,0.89,0.08,0.09,0.05
00:00:05:532,-0.01,-0.31,0.99,0.07,0.01,0.03
00:00:05:632,-0.01,-0.19,1.27,-0.13,-0.04,-0.01
00:00:05:732,-0.02,-0.09,0.98,-0.09,0.01,0.03
00:00:05:832,-0.04,-0.19,1.01,-0.13,0.03,0.05
00:00:05:932,-0.12,-0.41,1.13,-0.14,0.13,0.06
00:00:06:032,-0.05,-0.37,0.76,-0.03,-0.06,0.05
00:00:06:133,-0.05,-0.30,0.94,-0.21,0.14,0.04
00:00:06:232,-0.02,-0.26,0.88,-0.19,-0.01,-0.01
00:00:06:332,-0.03,-0.27,1.02,-0.12,0.01,-0.05
00:00:06:432,0.01,-0.27,1.02,-0.07,0.07,0.00
00:00:06:532,0.01,-0.27,0.89,-0.12,0.01,0.00
00:00:06:632,-0.03,-0.12,1.15,-0.13,0.12,0.02
00:00:06:732,-0.02,-0.19,1.11,-0.19,-0.01,-0.05
00:00:06:832,0.01,-0.19,1.04,-0.13,-0.04,-0.02
00:00:06:932,-0.09,-0.38,0.93,-0.12,0.10,0.03
00:00:07:032,-0.04,-0.35,0.84,-0.16,-0.01,-0.00
00:00:07:132,-0.00,-0.42,1.13,-0.16,0.09,-0.00
00:00:07:232,-0.11,-0.42,1.00,-0.20,0.06,0.01
00:00:07:332,-0.04,-0.34,1.12,0.14,0.21,0.04
00:00:07:432,-0.01,-0.41,0.97,-0.18,-0.00,-0.03
00:00:07:532,-0.07,-0.28,1.14,0.04,0.17,-0.03
00:00:07:632,-0.14,-0.02,1.14,0.05,-0.03,-0.19
00:00:07:732,-0.10,-0.39,1.33,-0.05,-0.05,-0.24
00:00:07:832,-0.01,-0.40,0.81,-0.05,-0.21,-0.16
00:00:07:932,0.01,-0.15,1.08,-0.10,-0.11,-0.04
00:00:08:032,-0.06,-0.13,1.01,0.01,0.04,0.01
00:00:08:132,-0.14,-0.30,0.96,-0.05,-0.06,-0.07
00:00:08:232,-0.10,-0.28,0.75,-0.05,-0.10,-0.05
00:00:08:332,-0.08,-0.40,0.97,-0.10,-0.00,-0.00
00:00:08:432,-0.08,-0.39,1.07,-0.10,0.03,0.05
00:00:08:532,-0.03,-0.28,0.93,-0.08,-0.02,0.03
00:00:08:632,-0.01,-0.17,0.94,-0.12,0.08,0.07
00:00:08:732,-0.05,-0.36,0.90,-0.08,0.09,-0.01
00:00:08:832,-0.04,-0.38,0.99,-0.14,0.07,-0.08
00:00:08:932,-0.09,-0.30,0.82,-0.14,-0.05,-0.14
00:00:09:032,-0.10,-0.32,0.91,-0.32,-0.08,-0.13
00:00:09:132,-0.07,-0.11,0.85,-0.19,-0.23,-0.15
00:00:09:232,-0.06,-0.03,1.03,-0.05,-0.13,-0.07
00:00:09:332,-0.06,-0.11,1.22,-0.15,-0.18,-0.04
00:00:09:432,-0.01,-0.25,1.10,-0.20,-0.18,0.01
00:00:09:532,0.01,-0.08,0.98,-0.27,-0.13,0.10
00:00:09:632,-0.10,-0.25,0.80,-0.18,-0.05,0.14
00:00:09:732,-0.10,-0.18,0.90,-0.05,0.05,0.12
00:00:09:832,-0.06,-0.14,1.00,-0.03,-0.09,0.04
00:00:09:932,-0.02,-0.23,1.05,-0.05,0.09,0.07
00:00:10:032,-0.00,-0.17,1.05,-0.00,0.03,0.13
00:00:10:132,-0.08,-0.15,1.17,-0.21,0.14,0.14
00:00:10:232,-0.03,-0.30,1.11,-0.15,0.01,0.08
00:00:10:332,-0.03,-0.15,1.00,-0.09,0.11,0.13
00:00:10:432,-0.03,-0.18,1.15,-0.17,0.17,0.11
00:00:10:532,-0.03,-0.22,1.06,-0.18,0.15,0.05
00:00:10:632,-0.07,-0.22,0.85,-0.13,0.15,0.02
00:00:10:732,-0.07,-0.37,0.84,-0.07,0.06,-0.01
00:00:10:832,-0.07,-0.38,0.95,-0.08,0.07,-0.06
00:00:10:932,-0.01,-0.28,1.13,0.03,0.13,-0.01
00:00:11:032,-0.04,-0.14,0.89,-0.15,-0.00,-0.10
00:00:11:132,0.03,-0.02,0.92,0.06,-0.16,-0.09
00:00:11:232,-0.08,-0.48,0.98,-0.01,0.02,-0.08
00:00:11:332,-0.04,-0.22,0.83,-0.05,-0.20,-0.01
00:00:11:432,-0.11,-0.42,1.12,0.09,0.25,0.07
00:00:11:532,-0.02,-0.17,1.10,-0.22,-0.04,-0.00
00:00:11:632,-0.04,-0.05,1.16,-0.18,0.13,-0.01
00:00:11:732,-0.05,-0.29,0.95,-0.07,-0.02,-0.03
00:00:11:832,-0.08,-0.24,0.82,0.12,0.06,0.02
00:00:11:932,-0.06,-0.12,1.01,-0.01,0.11,-0.01
00:00:12:032,-0.07,-0.29,1.19,-0.10,0.09,-0.08
00:00:12:132,-0.04,-0.22,0.82,-0.06,0.04,-0.11
00:00:12:232,-0.05,-0.11,1.34,-0.29,-0.05,-0.19
00:00:12:332,-0.11,-0.53,1.00,-0.28,-0.19,-0.25
00:00:12:432,-0.05,-0.30,0.95,-0.03,-0.27,-0.09
00:00:12:532,-0.09,0.02,0.95,0.09,0.08,0.04
00:00:12:632,-0.03,-0.37,0.89,-0.09,-0.02,0.06
00:00:12:732,-0.11,-0.19,1.20,-0.13,0.22,0.06
00:00:12:832,-0.01,-0.02,1.07,0.05,0.10,0.01
00:00:12:932,-0.09,-0.22,0.87,-0.05,0.08,-0.07
00:00:13:032,-0.03,-0.16,1.08,0.13,-0.00,-0.09
00:00:13:132,-0.07,-0.32,1.03,0.03,-0.08,-0.14
00:00:13:232,-0.03,-0.31,1.00,-0.13,-0.07,-0.06
00:00:13:332,-0.05,-0.07,1.34,0.07,-0.07,-0.06
00:00:13:432,-0.11,-0.44,0.76,-0.10,-0.06,-0.04
00:00:13:532,-0.03,-0.18,0.80,0.02,-0.04,0.05
00:00:13:632,-0.08,-0.50,0.91,-0.12,0.08,0.07
00:00:13:732,-0.07,-0.30,1.18,-0.19,0.12,0.06
00:00:13:832,-0.01,-0.26,1.09,-0.15,0.03,0.03
00:00:13:932,-0.03,-0.29,1.13,-0.05,0.16,0.04
00:00:14:032,-0.08,-0.33,0.87,-0.13,0.07,-0.01
00:00:14:132,-0.08,-0.32,0.80,-0.02,0.07,-0.05
00:00:14:232,-0.02,-0.08,0.99,-0.06,-0.06,-0.09
00:00:14:332,-0.04,-0.39,0.96,0.05,-0.02,-0.13
00:00:14:432,-0.13,-0.43,0.96,0.09,-0.06,-0.14
00:00:14:532,-0.07,-0.29,1.10,0.15,-0.11,-0.09
00:00:14:632,-0.06,-0.15,0.95,0.01,0.01,-0.04
00:00:14:732,-0.04,-0.08,1.16,0.00,-0.02,-0.05
00:00:14:832,-0.06,-0.19,1.21,-0.04,-0.10,-0.10
00:00:14:932,-0.03,-0.26,1.19,-0.13,-0.06,-0.04
00:00:15:032,-0.05,-0.19,1.10,-0.09,-0.00,-0.02
00:00:15:132,-0.05,-0.18,1.11,-0.13,-0.03,-0.03
00:00:15:232,-0.06,-0.18,1.03,-0.05,-0.02,-0.05
00:00:15:332,-0.07,-0.26,1.15,-0.07,0.02,-0.01
00:00:15:432,-0.03,-0.24,1.10,-0.16,-0.01,-0.00
00:00:15:532,-0.03,-0.20,1.08,-0.05,0.00,-0.02
00:00:15:632,-0.05,-0.18,1.09,-0.08,-0.01,-0.02
00:00:15:732,-0.03,-0.16,1.20,-0.08,-0.05,-0.01
00:00:15:832,-0.04,-0.20,1.21,-0.13,0.15,0.04
00:00:15:932,-0.05,0.17,1.33,-0.11,-0.01,-0.00
00:00:16:032,-0.01,-0.01,1.11,0.04,0.19,0.06
00:00:16:132,-0.03,-0.13,1.03,-0.03,-0.01,0.03
00:00:16:232,-0.09,-0.41,0.99,-0.06,0.08,0.03
00:00:16:332,-0.05,-0.34,0.84,-0.06,-0.02,0.01
00:00:16:432,-0.10,-0.17,0.84,-0.09,0.09,-0.01
00:00:16:532,-0.07,-0.21,1.10,-0.07,0.02,-0.05
00:00:16:632,-0.06,-0.04,1.07,-0.16,0.09,-0.02
00:00:16:732,-0.05,-0.28,0.85,-0.20,0.07,-0.04
00:00:16:832,-0.08,-0.22,1.07,-0.29,0.09,-0.07
00:00:16:932,-0.05,0.06,1.20,-0.13,0.03,-0.08
00:00:17:032,-0.07,-0.18,0.86,-0.03,-0.01,-0.12
00:00:17:132,-0.08,-0.09,1.01,-0.07,0.12,-0.02
00:00:17:232,-0.01,-0.28,0.92,0.03,0.05,0.03
00:00:17:332,-0.10,-0.37,0.97,-0.07,0.17,-0.05
00:00:17:432,-0.07,-0.15,1.14,-0.13,0.04,-0.15
00:00:17:532,-0.03,-0.33,1.17,-0.17,0.06,-0.10
00:00:17:632,-0.04,-0.17,0.97,0.06,-0.05,-0.17
00:00:17:732,-0.04,-0.39,0.84,-0.16,-0.13,-0.16
00:00:17:832,-0.05,-0.19,1.10,-0.13,-0.10,-0.11
