TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
00:00:00:047,-0.04,-0.25,1.01,-0.09,0.02,-0.01
00:00:00:144,-0.04,-0.24,1.00,-0.09,0.01,-0.02
00:00:00:242,-0.04,-0.24,1.01,-0.09,0.01,-0.02
00:00:00:342,-0.03,-0.24,1.01,-0.09,0.01,-0.01
00:00:00:442,-0.04,-0.24,1.01,-0.09,0.02,-0.01
00:00:00:542,-0.05,-0.24,1.01,-0.10,0.02,-0.01
00:00:00:642,-0.05,-0.24,1.01,-0.09,0.01,-0.02
00:00:00:742,-0.05,-0.24,1.01,-0.09,-0.00,-0.02
00:00:00:842,-0.04,-0.25,1.01,-0.09,-0.01,-0.02
00:00:00:942,-0.04,-0.24,1.01,-0.09,-0.01,-0.02
00:00:01:042,-0.03,-0.23,1.01,-0.09,-0.01,-0.02
00:00:01:142,-0.04,-0.24,1.01,-0.09,-0.01,-0.02
00:00:01:242,-0.04,-0.23,1.00,-0.09,-0.02,-0.02
00:00:01:342,-0.03,-0.24,1.01,-0.10,-0.01,-0.02
00:00:01:442,-0.03,-0.25,1.02,-0.09,-0.00,-0.02
00:00:01:543,-0.03,-0.24,1.02,-0.09,0.01,-0.02
00:00:01:642,-0.02,-0.25,1.02,-0.10,0.03,-0.01
00:00:01:742,-0.03,-0.25,1.01,-0.09,0.05,-0.01
00:00:01:842,-0.05,-0.24,1.01,-0.10,0.05,-0.01
00:00:01:942,-0.06,-0.25,1.01,-0.09,0.03,-0.02
00:00:02:042,-0.07,-0.25,1.00,-0.09,-0.02,-0.03
00:00:02:142,-0.06,-0.24,1.00,-0.08,-0.06,-0.04
00:00:02:242,-0.03,-0.22,1.02,-0.09,-0.08,-0.04
00:00:02:342,-0.01,-0.23,1.01,-0.10,-0.06,-0.03
00:00:02:442,-0.01,-0.24,1.01,-0.09,-0.04,-0.03
00:00:02:542,-0.02,-0.26,1.01,-0.09,-0.04,-0.03
00:00:02:642,-0.01,-0.24,1.02,-0.09,-0.03,-0.02
00:00:02:742,0.01,-0.24,1.01,-0.09,-0.02,-0.03
00:00:02:842,0.00,-0.24,1.01,-0.09,0.00,-0.02
00:00:02:942,-0.00,-0.24,1.01,-0.09,0.01,-0.01
00:00:03:042,-0.01,-0.24,1.01,-0.09,0.01,-0.01
00:00:03:142,-0.01,-0.23,1.03,-0.08,-0.00,-0.02
00:00:03:242,-0.00,-0.22,1.06,-0.09,0.00,-0.02
00:00:03:342,-0.00,-0.22,0.95,-0.10,0.02,-0.01
00:00:03:442,-0.02,-0.25,1.02,-0.08,0.03,-0.01
00:00:03:542,-0.02,-0.23,0.97,-0.10,0.03,-0.01
00:00:03:642,-0.02,-0.15,1.00,-0.09,-0.01,-0.02
00:00:03:742,-0.05,-0.25,1.08,-0.04,0.02,-0.01
00:00:03:842,-0.02,-0.23,1.18,-0.04,0.02,-0.02
00:00:03:942,-0.00,-0.24,0.98,-0.05,-0.00,-0.00
00:00:04:042,0.02,-0.28,1.00,-0.12,-0.01,-0.01
00:00:04:142,-0.02,-0.24,0.98,-0.09,0.02,-0.01
00:00:04:242,-0.02,-0.23,1.00,-0.10,-0.00,-0.02
00:00:04:342,0.01,-0.28,0.88,-0.06,0.03,0.00
00:00:04:442,0.00,-0.31,0.98,-0.16,0.01,-0.02
00:00:04:542,-0.03,-0.20,1.03,-0.04,0.03,-0.01
00:00:04:642,-0.05,-0.28,0.93,-0.05,0.00,-0.02
00:00:04:742,-0.00,-0.25,1.07,-0.18,-0.06,-0.04
00:00:04:842,0.01,-0.28,0.93,-0.09,-0.01,-0.01
00:00:04:942,-0.01,-0.16,1.04,-0.10,0.04,-0.01
00:00:05:042,0.01,-0.30,1.02,-0.15,0.00,-0.02
00:00:05:142,0.02,-0.22,1.05,-0.20,0.03,-0.03
00:00:05:242,0.02,-0.44,1.06,-0.18,0.01,-0.00
00:00:05:342,-0.01,-0.16,1.15,-0.02,-0.05,0.00
00:00:05:442,0.01,-0.19,1.08,-0.01,0.06,-0.03
00:00:05:543,-0.07,0.01,1.03,-0.09,0.08,-0.11
00:00:05:642,-0.01,-0.10,0.94,-0.26,-0.02,-0.10
00:00:05:742,-0.01,-0.28,1.00,-0.18,0.02,-0.03
00:00:05:842,-0.05,-0.38,1.02,-0.10,0.01,-0.00
00:00:05:942,-0.05,-0.41,0.94,0.02,0.01,-0.00
00:00:06:042,-0.07,-0.47,0.92,0.21,-0.03,-0.04
00:00:06:142,0.01,-0.28,0.84,0.11,-0.06,-0.05
00:00:06:242,-0.02,-0.23,0.92,0.33,0.01,-0.01
00:00:06:342,-0.02,-0.09,0.93,0.22,0.08,0.02
00:00:06:442,-0.02,-0.33,1.00,0.09,0.14,-0.03
00:00:06:542,-0.01,-0.13,0.82,0.13,0.01,-0.06
00:00:06:642,-0.02,-0.33,1.02,-0.03,0.09,-0.09
00:00:06:742,-0.04,0.01,0.87,0.46,0.18,-0.03
00:00:06:842,-0.04,0.16,0.96,0.50,0.06,-0.12
00:00:06:942,-0.01,0.28,1.29,0.34,0.10,-0.26
00:00:07:042,-0.05,0.27,1.36,0.18,-0.11,-0.33
00:00:07:142,0.01,0.37,1.20,0.04,0.00,-0.44
00:00:07:242,0.04,0.20,1.20,-0.24,-0.25,-0.38
00:00:07:342,-0.06,-0.00,1.23,-0.35,0.01,-0.30
00:00:07:442,-0.01,-0.34,1.09,-0.62,-0.28,-0.19
00:00:07:542,-0.03,-0.32,1.02,-0.29,-0.20,-0.08
00:00:07:642,-0.05,-0.09,0.81,0.18,-0.30,0.05
00:00:07:742,-0.01,0.29,0.86,0.37,-0.19,0.07
00:00:07:842,0.07,0.36,1.07,0.12,-0.05,0.13
00:00:07:942,-0.01,-0.02,1.17,-0.12,0.07,0.22
00:00:08:042,-0.10,-0.27,1.06,-0.35,0.01,0.24
00:00:08:142,-0.04,-0.24,0.85,-0.30,-0.08,0.27
00:00:08:242,-0.03,-0.38,1.15,-0.36,-0.03,0.23
00:00:08:342,-0.07,-0.00,0.78,-0.01,-0.07,0.37
00:00:08:442,0.01,-0.02,1.23,-0.23,0.16,0.33
00:00:08:543,-0.07,-0.08,0.80,-0.05,0.08,0.28
00:00:08:642,-0.09,-0.02,1.08,-0.18,0.10,0.22
00:00:08:742,0.02,-0.42,1.04,-0.20,0.07,0.11
00:00:08:842,-0.04,-0.24,0.91,-0.10,0.08,0.15
00:00:08:942,-0.06,-0.23,0.88,0.04,0.06,0.04
00:00:09:042,-0.05,-0.07,0.93,0.03,-0.05,-0.06
00:00:09:142,-0.05,-0.30,1.23,0.06,0.08,0.03
00:00:09:242,0.01,-0.36,1.09,-0.27,0.08,0.05
00:00:09:342,-0.07,0.17,1.04,0.02,0.19,0.14
00:00:09:442,-0.03,-0.07,1.17,-0.29,0.14,0.05
00:00:09:542,-0.07,0.21,0.93,0.21,0.00,0.03
00:00:09:642,-0.06,-0.21,1.01,-0.11,0.15,-0.03
00:00:09:742,0.06,-0.21,0.77,-0.45,-0.19,-0.09
00:00:09:842,0.04,-0.13,1.08,-0.29,0.08,-0.16
