TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
00:00:00:046,-0.02,-0.27,1.00,-0.09,-0.00,-0.02
00:00:00:134,-0.02,-0.27,1.00,-0.09,-0.00,-0.02
00:00:00:232,-0.01,-0.27,1.00,-0.09,-0.00,-0.02
00:00:00:332,-0.02,-0.27,1.00,-0.09,-0.00,-0.02
00:00:00:432,-0.02,-0.27,1.00,-0.09,-0.00,-0.02
00:00:00:532,-0.01,-0.27,1.00,-0.09,0.00,-0.02
00:00:00:632,-0.02,-0.27,1.00,-0.09,0.00,-0.02
00:00:00:732,-0.02,-0.27,1.00,-0.09,0.00,-0.02
00:00:00:832,-0.02,-0.27,1.00,-0.09,0.00,-0.02
00:00:00:932,-0.02,-0.27,1.00,-0.09,0.00,-0.02
00:00:01:032,-0.02,-0.27,1.00,-0.09,0.01,-0.02
00:00:01:132,-0.02,-0.28,1.00,-0.09,0.00,-0.02
00:00:01:233,-0.01,-0.28,1.01,-0.09,0.01,-0.02
00:00:01:333,-0.01,-0.26,1.00,-0.10,0.01,-0.01
00:00:01:432,-0.02,-0.26,1.00,-0.09,0.00,-0.02
00:00:01:532,-0.02,-0.27,1.00,-0.09,-0.01,-0.02
00:00:01:633,-0.02,-0.27,1.00,-0.09,-0.02,-0.02
00:00:01:732,-0.02,-0.28,1.00,-0.09,-0.03,-0.03
00:00:01:832,-0.00,-0.28,1.01,-0.09,-0.03,-0.03
00:00:01:932,0.01,-0.27,1.01,-0.09,-0.01,-0.02
00:00:02:032,0.01,-0.27,1.01,-0.10,0.01,-0.01
00:00:02:132,-0.01,-0.28,1.01,-0.10,0.03,-0.02
00:00:02:232,-0.03,-0.28,1.00,-0.10,0.03,-0.02
00:00:02:332,-0.01,-0.27,1.00,-0.09,0.00,-0.02
00:00:02:432,-0.02,-0.27,1.01,-0.09,-0.02,-0.03
00:00:02:532,-0.01,-0.28,1.00,-0.09,-0.04,-0.02
00:00:02:632,0.01,-0.27,1.00,-0.09,-0.04,-0.02
00:00:02:732,0.01,-0.27,1.02,-0.09,-0.02,-0.03
00:00:02:832,0.01,-0.27,1.00,-0.09,-0.02,-0.03
00:00:02:932,0.01,-0.27,1.00,-0.09,-0.04,-0.03
00:00:03:032,0.02,-0.28,1.01,-0.09,-0.02,-0.02
00:00:03:132,0.02,-0.26,1.00,-0.09,-0.01,-0.02
00:00:03:232,0.02,-0.28,1.00,-0.09,0.01,-0.02
00:00:03:332,0.02,-0.27,1.01,-0.09,0.01,-0.01
00:00:03:432,0.02,-0.24,1.00,-0.06,0.04,-0.01
00:00:03:532,0.02,-0.27,0.99,-0.11,0.04,-0.01
00:00:03:632,0.01,-0.26,1.00,-0.10,0.05,-0.00
00:00:03:732,0.01,-0.28,0.98,-0.11,0.05,-0.01
00:00:03:832,-0.00,-0.22,0.95,-0.03,0.05,0.01
00:00:03:932,0.01,-0.24,0.88,-0.10,0.04,-0.00
00:00:04:032,-0.04,-0.27,0.99,-0.06,0.07,-0.01
00:00:04:132,-0.02,-0.36,0.99,-0.14,0.01,-0.02
00:00:04:232,-0.02,-0.26,1.02,-0.06,0.04,-0.00
00:00:04:332,-0.05,-0.22,1.03,-0.08,-0.01,-0.02
00:00:04:432,-0.02,-0.33,0.98,-0.13,-0.04,-0.05
00:00:04:532,-0.04,-0.18,1.08,-0.09,-0.06,-0.06
00:00:04:632,-0.03,-0.29,0.86,-0.03,-0.18,-0.08
00:00:04:732,0.05,-0.31,0.90,-0.14,-0.19,-0.11
00:00:04:832,0.05,-0.18,1.06,0.01,-0.12,-0.11
00:00:04:932,0.05,-0.21,0.84,0.14,-0.16,-0.13
00:00:05:032,0.08,-0.41,0.95,0.03,-0.09,-0.14
00:00:05:132,0.13,-0.22,1.17,-0.06,-0.04,-0.20
00:00:05:232,0.05,-0.35,0.90,-0.13,0.05,-0.20
00:00:05:332,0.10,-0.12,1.16,-0.19,0.13,-0.20
00:00:05:432,0.08,-0.14,1.04,-0.13,0.06,-0.17
00:00:05:532,0.07,-0.31,1.09,-0.14,0.14,-0.16
00:00:05:632,0.05,-0.34,0.92,-0.13,0.22,-0.09
00:00:05:732,0.02,-0.18,1.02,-0.08,0.24,-0.07
00:00:05:832,0.01,-0.25,0.95,-0.12,0.23,-0.11
