TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
00:00:00:047,0.02,-0.25,1.01,-0.10,0.01,-0.02
00:00:00:134,0.02,-0.25,1.01,-0.10,0.02,-0.02
00:00:00:232,0.01,-0.25,1.02,-0.10,0.02,-0.01
00:00:00:332,0.01,-0.25,1.01,-0.10,0.01,-0.01
00:00:00:432,0.01,-0.24,0.99,-0.10,0.00,-0.01
00:00:00:532,0.02,-0.25,1.01,-0.10,0.02,-0.01
00:00:00:632,0.02,-0.25,1.01,-0.10,0.03,-0.01
00:00:00:732,0.01,-0.26,1.02,-0.10,0.04,-0.01
00:00:00:832,-0.00,-0.26,1.01,-0.10,0.04,-0.01
00:00:00:932,-0.00,-0.25,1.02,-0.10,0.02,-0.01
00:00:01:032,-0.01,-0.25,1.01,-0.10,0.02,-0.01
00:00:01:132,-0.01,-0.25,1.01,-0.10,0.01,-0.02
00:00:01:233,-0.01,-0.25,1.01,-0.11,-0.00,-0.02
00:00:01:332,-0.00,-0.26,1.03,-0.10,-0.01,-0.02
00:00:01:432,0.01,-0.24,0.95,-0.10,0.00,-0.02
00:00:01:532,0.03,-0.28,1.01,-0.08,0.00,-0.02
00:00:01:632,0.02,-0.22,0.98,-0.09,0.02,-0.02
00:00:01:732,0.01,-0.32,1.04,-0.13,0.04,-0.01
00:00:01:832,-0.02,-0.30,1.05,-0.10,0.06,-0.01
00:00:01:932,-0.02,-0.24,0.96,0.01,0.05,0.00
00:00:02:032,-0.01,-0.29,1.02,-0.05,0.05,-0.01
00:00:02:132,-0.01,-0.12,1.11,-0.00,0.07,-0.01
00:00:02:232,-0.01,-0.32,1.04,-0.14,0.02,-0.01
00:00:02:332,0.00,-0.31,1.04,-0.17,0.02,-0.01
00:00:02:433,-0.02,-0.19,1.03,-0.12,0.03,-0.03
00:00:02:532,-0.02,-0.24,0.98,-0.08,0.03,-0.01
00:00:02:632,-0.00,-0.32,1.01,-0.16,0.01,-0.02
00:00:02:732,-0.03,-0.26,1.03,-0.05,0.03,-0.01
00:00:02:832,-0.03,-0.27,1.04,-0.07,-0.01,-0.02
00:00:02:932,-0.01,-0.28,0.98,-0.14,-0.03,-0.03
00:00:03:032,-0.01,-0.26,1.05,-0.12,-0.00,-0.02
00:00:03:132,-0.01,-0.26,1.00,-0.15,-0.02,-0.02
00:00:03:232,-0.03,-0.27,0.92,-0.08,-0.03,-0.03
00:00:03:332,-0.01,-0.32,1.10,-0.12,-0.07,-0.04
00:00:03:432,0.01,-0.28,0.99,-0.13,-0.05,-0.02
00:00:03:532,0.03,-0.32,0.91,-0.09,-0.05,-0.01
00:00:03:632,0.04,-0.17,1.10,-0.13,-0.05,-0.03
00:00:03:732,0.02,-0.17,1.01,-0.05,-0.03,-0.01
00:00:03:832,0.03,-0.35,1.01,-0.13,0.02,-0.01
00:00:03:932,0.01,-0.42,0.91,-0.07,0.03,-0.01
00:00:04:032,-0.01,-0.39,0.96,-0.11,-0.02,-0.02
00:00:04:132,-0.01,-0.23,1.07,-0.11,-0.05,-0.04
00:00:04:232,0.02,-0.27,0.95,-0.08,-0.09,-0.04
00:00:04:332,0.07,-0.25,1.02,-0.11,-0.08,-0.03
00:00:04:432,0.07,-0.30,0.94,-0.07,0.02,-0.01
00:00:04:532,0.04,-0.23,1.08,-0.06,0.06,-0.00
00:00:04:632,0.03,-0.24,1.03,-0.11,0.08,-0.00
00:00:04:732,0.05,-0.29,0.96,-0.07,0.04,-0.02
00:00:04:832,0.01,-0.29,0.98,-0.08,0.04,-0.03
00:00:04:932,0.03,-0.23,1.09,-0.11,0.00,-0.06
00:00:05:032,0.03,-0.24,1.09,-0.13,-0.01,-0.06
00:00:05:132,0.04,-0.26,1.02,-0.11,0.05,-0.04
00:00:05:232,0.02,-0.26,0.94,-0.07,0.09,-0.04
00:00:05:332,0.01,-0.30,1.04,-0.12,0.07,-0.06
00:00:05:432,-0.00,-0.29,1.01,-0.07,0.07,-0.04
00:00:05:532,-0.00,-0.26,1.02,-0.14,0.05,-0.04
00:00:05:632,-0.02,-0.24,1.02,-0.10,0.01,-0.06
00:00:05:732,0.01,-0.24,0.99,-0.10,-0.00,-0.05
00:00:05:832,-0.01,-0.30,1.08,-0.08,-0.00,-0.06
00:00:05:932,0.02,-0.23,0.98,-0.13,-0.01,-0.06
00:00:06:032,0.02,-0.26,1.00,-0.10,0.04,-0.06
00:00:06:133,0.01,-0.28,1.00,-0.06,0.09,-0.04
00:00:06:232,-0.00,-0.35,1.07,-0.15,0.11,-0.04
00:00:06:332,-0.04,-0.31,1.03,-0.08,0.12,-0.05
00:00:06:432,-0.04,-0.27,1.00,-0.10,0.13,-0.09
00:00:06:532,-0.04,-0.15,1.04,-0.04,0.03,-0.16
00:00:06:632,-0.02,-0.28,1.01,-0.11,0.05,-0.19
00:00:06:732,-0.03,-0.22,0.98,-0.01,0.06,-0.19
00:00:06:832,-0.06,-0.21,1.00,-0.11,0.06,-0.20
00:00:06:932,-0.08,-0.16,0.95,-0.05,0.01,-0.22
00:00:07:032,-0.06,-0.31,1.03,-0.11,-0.04,-0.27
00:00:07:132,-0.06,-0.25,1.00,-0.04,-0.09,-0.29
00:00:07:232,-0.01,-0.20,1.00,-0.12,-0.07,-0.30
00:00:07:332,0.03,-0.20,0.95,-0.10,-0.10,-0.31
00:00:07:432,0.07,-0.26,1.01,-0.16,-0.06,-0.31
00:00:07:532,0.04,-0.21,1.08,-0.10,0.01,-0.30
00:00:07:632,0.03,-0.23,1.03,-0.19,-0.00,-0.27
00:00:07:732,0.04,-0.23,1.01,-0.14,0.03,-0.22
00:00:07:832,0.04,-0.25,0.97,-0.09,0.10,-0.17
