TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
00:00:00:048,-0.01,-0.26,1.00,-0.10,-0.00,-0.02
00:00:00:134,-0.03,-0.24,1.05,-0.10,0.03,-0.02
00:00:00:232,-0.03,-0.21,0.99,-0.07,0.01,-0.01
00:00:00:332,-0.04,-0.25,1.05,-0.12,0.02,-0.02
00:00:00:432,-0.02,-0.28,1.02,-0.07,0.00,-0.01
00:00:00:532,-0.04,-0.22,0.94,-0.06,-0.00,-0.02
00:00:00:632,-0.03,-0.27,1.02,-0.09,0.00,-0.02
00:00:00:732,-0.02,-0.29,0.98,-0.14,-0.01,-0.01
00:00:00:832,-0.03,-0.25,1.04,-0.09,0.02,-0.01
00:00:00:932,-0.02,-0.23,1.03,-0.07,-0.02,-0.02
00:00:01:032,-0.03,-0.24,1.05,-0.10,0.01,-0.02
00:00:01:132,-0.04,-0.20,1.03,-0.08,0.01,-0.01
00:00:01:232,-0.03,-0.25,0.99,-0.14,0.02,-0.02
00:00:01:332,-0.01,-0.24,0.99,-0.07,-0.02,-0.02
00:00:01:432,-0.02,-0.28,0.94,-0.09,0.02,-0.01
00:00:01:532,-0.03,-0.23,1.05,-0.09,0.01,-0.02
00:00:01:633,-0.02,-0.26,0.98,-0.15,0.00,-0.02
00:00:01:732,-0.00,-0.28,0.99,-0.09,-0.01,-0.02
00:00:01:832,-0.03,-0.20,0.96,-0.05,0.02,-0.01
00:00:01:932,-0.02,-0.27,1.06,-0.11,0.01,-0.02
00:00:02:032,-0.02,-0.24,1.01,-0.10,-0.01,-0.01
00:00:02:132,-0.02,-0.25,0.99,-0.12,0.01,-0.02
00:00:02:232,-0.03,-0.18,0.98,-0.03,-0.01,-0.02
00:00:02:332,-0.03,-0.22,1.08,-0.05,0.00,-0.02
00:00:02:432,-0.04,-0.20,1.01,-0.04,0.00,-0.01
00:00:02:532,-0.04,-0.24,1.01,-0.12,0.01,-0.02
00:00:02:632,-0.04,-0.28,0.99,-0.04,0.01,-0.01
00:00:02:732,-0.02,-0.11,1.10,-0.06,0.00,-0.01
00:00:02:832,-0.03,-0.39,0.86,-0.08,0.01,-0.02
00:00:02:932,-0.03,-0.32,0.98,-0.09,-0.05,-0.03
00:00:03:032,-0.03,-0.26,0.95,-0.11,-0.08,-0.05
00:00:03:132,0.01,-0.28,0.98,-0.06,-0.10,-0.04
00:00:03:232,-0.01,-0.14,1.07,-0.09,-0.09,-0.04
00:00:03:332,0.02,-0.29,0.98,-0.07,-0.09,-0.04
00:00:03:432,0.03,-0.27,0.97,-0.13,-0.07,-0.04
00:00:03:532,0.05,-0.24,1.04,-0.10,-0.01,-0.02
00:00:03:632,0.08,-0.32,0.96,-0.13,0.03,-0.02
00:00:03:732,0.05,-0.24,0.93,-0.14,0.01,0.01
00:00:03:832,0.03,-0.18,1.18,-0.05,0.03,0.02
00:00:03:932,0.03,-0.26,1.00,-0.16,-0.02,0.00
00:00:04:032,0.03,-0.31,0.90,-0.01,-0.00,0.01
00:00:04:132,0.04,-0.10,1.06,-0.03,0.07,-0.01
00:00:04:232,0.01,0.00,0.98,-0.09,0.15,-0.01
00:00:04:332,-0.03,-0.15,0.97,-0.21,0.07,-0.02
00:00:04:432,-0.02,-0.17,1.03,-0.21,0.05,-0.02
00:00:04:532,0.02,-0.12,1.08,-0.24,0.09,0.03
00:00:04:632,0.03,0.01,1.15,-0.22,0.12,0.05
00:00:04:732,-0.01,0.21,1.24,-0.07,0.08,0.02
00:00:04:832,-0.04,0.12,1.17,0.10,0.03,0.02
00:00:04:932,-0.07,-0.19,0.96,0.14,0.06,0.02
00:00:05:032,-0.03,-0.25,0.84,0.06,0.05,0.00
00:00:05:132,-0.04,-0.11,1.12,-0.08,0.03,-0.01
00:00:05:232,-0.05,-0.16,1.04,-0.06,-0.09,-0.05
00:00:05:332,-0.01,-0.28,1.00,-0.21,-0.14,-0.08
00:00:05:432,-0.02,-0.29,0.95,-0.22,-0.14,-0.07
00:00:05:533,-0.03,-0.33,0.88,-0.33,-0.05,-0.03
00:00:05:633,-0.05,-0.34,0.97,-0.39,-0.06,-0.03
00:00:05:732,-0.05,-0.32,0.89,-0.49,-0.11,0.06
00:00:05:832,-0.07,-0.25,0.90,-0.39,-0.06,0.16
00:00:05:932,-0.04,-0.20,0.84,-0.41,-0.03,0.22
00:00:06:032,-0.03,-0.17,0.90,-0.24,-0.07,0.23
00:00:06:132,-0.05,-0.19,0.95,-0.38,-0.01,0.20
00:00:06:232,0.01,-0.24,1.03,-0.36,0.03,0.15
00:00:06:332,-0.10,-0.21,0.88,-0.01,0.20,0.15
00:00:06:432,-0.09,-0.27,0.81,0.27,0.09,0.01
00:00:06:532,0.00,0.10,0.96,0.19,0.01,-0.19
00:00:06:632,0.03,0.24,1.20,0.07,-0.06,-0.29
00:00:06:732,0.04,0.19,1.25,0.02,-0.08,-0.32
00:00:06:832,-0.02,0.01,1.09,0.02,-0.08,-0.17
00:00:06:932,-0.07,-0.24,0.85,-0.07,-0.11,-0.09
00:00:07:032,0.01,-0.02,1.13,-0.13,-0.01,0.01
00:00:07:132,-0.07,-0.30,1.02,-0.22,0.04,0.09
00:00:07:232,-0.04,-0.15,0.85,-0.09,-0.01,0.11
00:00:07:332,-0.03,-0.16,0.93,-0.16,0.03,0.02
00:00:07:432,-0.01,-0.13,1.05,-0.16,-0.03,-0.06
00:00:07:532,-0.01,-0.27,1.05,-0.17,-0.12,-0.08
00:00:07:632,-0.04,-0.32,0.90,-0.11,-0.17,-0.01
00:00:07:732,-0.01,-0.33,1.06,-0.09,-0.09,0.03
00:00:07:832,-0.02,-0.01,1.25,-0.26,-0.11,0.11
00:00:07:932,-0.05,-0.04,1.03,-0.06,-0.05,0.16
00:00:08:032,-0.04,0.00,0.93,-0.03,0.02,0.18
00:00:08:132,-0.06,-0.18,1.15,0.06,0.18,0.22
00:00:08:232,-0.05,-0.35,0.88,0.01,0.06,0.18
00:00:08:332,-0.03,-0.12,1.09,-0.07,0.06,0.06
00:00:08:432,-0.00,-0.14,1.10,-0.11,-0.01,-0.07
00:00:08:532,0.09,-0.13,0.83,-0.06,-0.03,-0.02
00:00:08:632,-0.06,-0.10,0.97,-0.26,0.25,0.07
00:00:08:732,-0.12,-0.04,1.25,-0.01,0.04,0.06
00:00:08:832,-0.02,-0.37,0.91,0.02,-0.05,-0.05
00:00:08:932,0.05,-0.48,0.98,-0.35,-0.10,-0.08
00:00:09:032,-0.07,-0.01,1.00,-0.05,-0.03,0.04
00:00:09:132,-0.00,-0.09,1.52,-0.33,-0.05,-0.07
00:00:09:232,-0.02,0.04,0.82,-0.01,-0.16,0.03
00:00:09:332,-0.02,-0.20,0.94,-0.08,0.02,0.09
00:00:09:432,-0.04,-0.32,1.01,-0.28,0.12,0.07
00:00:09:532,-0.00,-0.16,1.04,-0.16,0.06,0.06
00:00:09:632,-0.01,-0.05,1.24,-0.13,0.08,0.05
00:00:09:732,-0.00,-0.35,0.84,-0.15,0.09,0.01
00:00:09:832,-0.01,-0.36,0.96,-0.16,0.13,-0.01
00:00:09:932,-0.01,0.05,1.27,-0.23,0.07,-0.06
00:00:10:032,-0.06,-0.21,0.84,-0.15,0.06,-0.06
00:00:10:132,-0.04,-0.20,1.04,0.29,0.05,-0.18
00:00:10:232,-0.01,-0.13,1.32,-0.01,0.01,-0.11
00:00:10:332,0.02,-0.28,0.84,-0.42,-0.11,-0.06
00:00:10:432,-0.01,-0.16,1.05,-0.35,-0.10,-0.15
00:00:10:532,-0.02,-0.33,0.91,-0.07,-0.21,-0.14
00:00:10:632,-0.03,-0.22,1.03,-0.18,-0.02,-0.04
00:00:10:732,-0.06,-0.09,0.95,-0.09,-0.07,-0.00
00:00:10:832,-0.05,-0.31,0.90,0.00,-0.02,-0.04
00:00:10:932,-0.03,0.01,1.25,0.01,0.07,0.03
00:00:11:032,-0.08,-0.17,0.96,0.05,0.07,0.04
00:00:11:132,-0.04,-0.11,1.14,-0.11,0.09,-0.07
00:00:11:232,0.02,-0.16,0.99,0.02,-0.09,-0.06
00:00:11:332,0.04,-0.51,0.93,-0.20,-0.03,-0.02
00:00:11:432,0.01,-0.04,0.90,-0.13,-0.10,0.04
00:00:11:532,0.03,-0.50,0.88,-0.29,-0.03,-0.02
00:00:11:632,-0.01,0.25,1.06,0.12,-0.08,0.05
00:00:11:732,-0.11,0.01,0.75,-0.24,0.19,0.09
00:00:11:832,-0.20,-0.07,1.93,0.43,0.16,0.05
00:00:11:932,-0.23,0.50,1.61,0.22,0.03,-0.07
00:00:12:032,-0.02,-0.20,0.70,0.11,-0.15,-0.10
00:00:12:132,-0.01,-0.14,1.05,-0.36,0.09,0.01
00:00:12:232,-0.03,-0.24,0.77,0.01,-0.12,0.06
00:00:12:332,0.02,-0.22,1.06,-0.19,0.13,0.06
00:00:12:432,-0.04,-0.15,1.01,-0.23,0.02,0.02
00:00:12:532,-0.03,-0.22,0.98,0.07,0.09,0.07
00:00:12:632,-0.04,0.04,1.00,-0.05,0.11,-0.02
00:00:12:732,-0.00,-0.24,0.76,-0.14,0.03,-0.03
00:00:12:832,-0.07,-0.29,0.99,0.05,0.04,-0.01
00:00:12:932,-0.06,-0.38,0.94,-0.25,0.05,-0.06
00:00:13:032,-0.01,-0.22,1.07,-0.10,0.06,-0.05
00:00:13:132,-0.04,-0.50,0.84,-0.12,0.03,-0.05
00:00:13:232,-0.04,-0.38,0.94,-0.09,0.08,-0.03
00:00:13:332,-0.01,-0.30,1.02,-0.05,0.06,-0.04
00:00:13:432,-0.03,-0.22,1.08,-0.03,0.06,-0.07
00:00:13:532,-0.07,-0.26,0.92,-0.12,0.04,-0.08
00:00:13:632,-0.05,-0.35,0.92,-0.23,0.09,-0.08
00:00:13:732,-0.01,-0.10,1.16,-0.18,0.01,-0.08
00:00:13:832,-0.07,-0.55,1.00,-0.03,0.15,-0.13
00:00:13:932,-0.04,-0.34,1.20,-0.31,-0.14,-0.27
00:00:14:032,0.08,-0.10,1.01,-0.10,-0.32,-0.24
00:00:14:132,-0.09,-0.27,1.09,-0.22,-0.21,-0.15
00:00:14:232,-0.05,-0.23,0.82,-0.19,-0.18,-0.05
00:00:14:333,-0.08,-0.19,0.75,-0.00,-0.28,0.04
00:00:14:432,-0.05,-0.33,0.92,-0.10,-0.11,0.11
00:00:14:532,-0.03,-0.21,0.99,-0.15,-0.09,0.09
00:00:14:632,-0.02,-0.30,1.03,-0.13,-0.03,0.02
00:00:14:732,-0.05,0.00,1.02,0.03,-0.02,0.05
