TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
00:00:00:047,-0.07,-0.25,1.01,-0.10,0.01,-0.02
00:00:00:134,-0.07,-0.25,1.01,-0.10,0.01,-0.02
00:00:00:232,-0.07,-0.25,1.00,-0.10,0.00,-0.01
00:00:00:332,-0.07,-0.26,1.01,-0.10,0.00,-0.01
00:00:00:432,-0.07,-0.25,1.00,-0.10,0.01,-0.02
00:00:00:532,-0.07,-0.25,1.01,-0.09,0.01,-0.02
00:00:00:632,-0.08,-0.26,1.00,-0.10,0.00,-0.02
00:00:00:732,-0.07,-0.25,1.00,-0.09,-0.01,-0.02
00:00:00:832,-0.07,-0.23,1.01,-0.11,0.01,-0.00
00:00:00:932,-0.07,-0.28,1.01,-0.10,0.00,-0.02
00:00:01:032,-0.08,-0.24,1.01,-0.08,0.00,-0.03
00:00:01:132,-0.06,-0.26,1.00,-0.09,0.00,-0.01
00:00:01:232,-0.08,-0.25,1.01,-0.09,0.01,-0.02
00:00:01:332,-0.07,-0.26,1.01,-0.09,0.01,-0.02
00:00:01:432,-0.08,-0.25,1.01,-0.10,0.00,-0.02
00:00:01:532,-0.08,-0.26,1.01,-0.10,0.01,-0.02
00:00:01:632,-0.07,-0.25,1.01,-0.10,0.01,-0.02
00:00:01:732,-0.06,-0.25,1.00,-0.09,0.02,-0.01
00:00:01:832,-0.08,-0.26,1.01,-0.09,0.01,-0.02
00:00:01:932,-0.07,-0.25,1.00,-0.09,0.00,-0.02
00:00:02:033,-0.08,-0.25,1.01,-0.10,0.00,-0.02
00:00:02:132,-0.07,-0.25,1.00,-0.10,0.01,-0.01
00:00:02:232,-0.06,-0.26,1.02,-0.09,0.01,-0.01
00:00:02:332,-0.07,-0.25,1.02,-0.09,0.01,-0.02
00:00:02:432,-0.08,-0.25,1.01,-0.09,-0.00,-0.02
00:00:02:532,-0.07,-0.25,1.00,-0.10,-0.02,-0.01
00:00:02:632,-0.07,-0.25,1.01,-0.10,0.01,-0.01
00:00:02:732,-0.07,-0.26,1.00,-0.10,0.00,-0.02
00:00:02:832,-0.07,-0.25,1.00,-0.09,0.01,-0.02
00:00:02:932,-0.07,-0.25,1.01,-0.10,0.00,-0.02
00:00:03:032,-0.07,-0.25,1.01,-0.10,0.01,-0.02
00:00:03:132,-0.07,-0.26,1.00,-0.10,0.00,-0.02
00:00:03:232,-0.07,-0.24,1.01,-0.10,0.00,-0.01
00:00:03:332,-0.07,-0.25,1.00,-0.09,-0.00,-0.02
00:00:03:432,-0.06,-0.25,1.00,-0.10,0.00,-0.02
00:00:03:532,-0.06,-0.25,1.01,-0.10,0.01,-0.02
00:00:03:632,-0.07,-0.26,1.01,-0.09,0.01,-0.02
00:00:03:732,-0.07,-0.25,1.01,-0.09,-0.01,-0.01
00:00:03:832,-0.06,-0.25,1.01,-0.10,0.01,-0.01
00:00:03:932,-0.07,-0.24,1.01,-0.10,0.01,-0.02
00:00:04:032,-0.08,-0.26,1.00,-0.10,0.02,-0.02
00:00:04:132,-0.07,-0.27,1.01,-0.09,-0.00,-0.01
00:00:04:232,-0.06,-0.24,1.01,-0.10,0.01,-0.02
00:00:04:332,-0.07,-0.25,1.00,-0.10,0.01,-0.02
00:00:04:432,-0.07,-0.26,1.00,-0.09,-0.00,-0.01
00:00:04:532,-0.07,-0.24,1.01,-0.10,0.01,-0.02
00:00:04:632,-0.07,-0.25,1.01,-0.09,0.01,-0.02
00:00:04:732,-0.07,-0.25,1.01,-0.10,-0.00,-0.02
00:00:04:832,-0.06,-0.23,1.02,-0.11,0.02,-0.00
00:00:04:932,-0.09,-0.22,1.01,-0.17,-0.01,-0.00
00:00:05:032,-0.05,-0.24,1.00,-0.24,0.01,-0.02
00:00:05:132,-0.10,-0.31,1.04,-0.19,0.01,-0.03
00:00:05:232,-0.07,-0.27,0.98,-0.09,-0.01,-0.02
00:00:05:332,-0.09,-0.31,1.02,-0.10,0.00,-0.02
00:00:05:432,-0.06,-0.31,0.98,-0.06,-0.02,-0.01
00:00:05:532,-0.07,-0.28,0.98,-0.09,-0.00,-0.02
00:00:05:632,-0.06,-0.26,1.00,-0.10,0.01,-0.02
00:00:05:732,-0.08,-0.27,1.01,-0.09,0.01,-0.02
00:00:05:832,-0.05,-0.28,1.00,-0.10,-0.01,-0.01
00:00:05:932,-0.07,-0.27,1.00,-0.09,0.00,-0.02
00:00:06:032,-0.05,-0.25,1.00,-0.09,-0.00,-0.02
00:00:06:132,-0.09,-0.25,1.01,-0.08,-0.02,-0.02
00:00:06:232,-0.04,-0.24,1.01,-0.05,-0.01,-0.02
00:00:06:332,-0.04,-0.22,0.94,-0.01,-0.02,-0.01
00:00:06:432,-0.03,-0.20,1.00,0.00,-0.01,-0.02
00:00:06:532,-0.02,-0.06,0.87,0.12,0.05,0.02
00:00:06:632,-0.07,-0.37,1.05,-0.65,0.10,-0.09
00:00:06:732,-0.12,-0.55,0.97,-0.27,0.30,0.02
00:00:06:832,-0.05,-0.19,0.92,0.06,-0.13,-0.01
00:00:06:932,-0.12,-0.32,1.01,-0.13,-0.00,-0.03
00:00:07:032,-0.10,-0.26,1.01,-0.06,0.00,-0.01
00:00:07:132,-0.08,-0.27,1.01,-0.07,-0.00,-0.01
00:00:07:232,-0.10,-0.22,0.98,-0.07,-0.02,-0.02
00:00:07:332,-0.09,-0.28,0.97,-0.08,-0.00,-0.03
00:00:07:432,-0.08,-0.27,0.99,-0.05,-0.02,-0.03
00:00:07:530,-0.09,-0.25,1.01,-0.06,-0.01,-0.02
00:00:07:632,-0.11,-0.25,1.03,-0.05,-0.07,-0.04
00:00:07:732,-0.09,-0.25,1.02,-0.08,-0.15,-0.05
00:00:07:832,-0.06,-0.17,0.99,-0.02,-0.20,-0.06
00:00:07:932,-0.02,-0.18,0.97,-0.08,-0.17,-0.06
00:00:08:032,0.01,-0.22,1.06,-0.12,-0.18,-0.05
00:00:08:132,0.02,-0.21,1.03,-0.10,-0.18,-0.05
00:00:08:232,0.06,-0.25,0.99,-0.13,-0.15,-0.05
00:00:08:332,0.06,-0.20,0.94,-0.07,-0.08,-0.03
00:00:08:432,0.05,-0.11,0.96,-0.03,0.01,-0.01
00:00:08:532,0.05,-0.29,1.04,-0.14,0.06,-0.02
00:00:08:632,0.05,-0.26,0.95,-0.14,0.06,-0.01
00:00:08:732,0.01,-0.18,1.00,-0.10,0.10,-0.01
00:00:08:832,0.02,-0.26,0.97,-0.13,0.08,-0.02
00:00:08:932,0.02,-0.28,1.01,-0.12,0.08,-0.04
00:00:09:032,-0.01,-0.28,0.99,-0.05,0.17,0.01
00:00:09:132,-0.04,-0.21,1.07,-0.05,0.18,0.01
00:00:09:232,-0.01,-0.12,1.06,-0.11,0.11,-0.02
00:00:09:332,-0.04,-0.14,0.91,-0.24,0.11,-0.04
00:00:09:432,-0.01,0.10,1.11,-0.11,0.08,-0.09
00:00:09:532,-0.02,0.15,1.09,0.08,-0.01,-0.07
00:00:09:632,-0.06,-0.18,1.05,-0.00,0.01,-0.07
00:00:09:732,-0.07,-0.33,0.90,-0.14,-0.13,-0.06
00:00:09:832,0.00,-0.11,1.00,-0.17,-0.12,-0.07
00:00:09:932,0.06,0.14,1.11,-0.13,-0.07,0.00
00:00:10:032,-0.05,-0.06,0.96,0.16,0.03,0.11
00:00:10:132,-0.04,-0.34,1.06,-0.06,0.13,0.17
00:00:10:232,-0.01,-0.01,1.13,-0.10,0.04,0.17
00:00:10:332,-0.02,-0.15,1.11,-0.10,-0.05,0.13
00:00:10:432,-0.03,-0.19,0.99,-0.21,-0.11,-0.01
00:00:10:532,-0.03,-0.15,1.04,-0.20,-0.18,-0.05
00:00:10:632,-0.01,-0.16,1.09,-0.12,-0.15,-0.02
00:00:10:732,-0.00,-0.22,1.12,-0.12,-0.14,0.02
00:00:10:832,-0.05,-0.25,1.02,-0.01,-0.08,0.04
00:00:10:932,0.00,-0.16,0.96,0.01,-0.07,0.04
00:00:11:032,-0.02,-0.14,1.03,-0.05,-0.03,0.12
00:00:11:132,-0.02,-0.29,1.05,-0.06,-0.04,0.14
00:00:11:232,-0.01,-0.25,1.00,-0.12,-0.01,0.23
00:00:11:332,-0.04,-0.20,0.95,-0.09,-0.01,0.29
00:00:11:432,0.00,-0.23,1.00,-0.13,0.05,0.30
00:00:11:532,-0.03,-0.26,0.95,-0.11,0.16,0.40
00:00:11:632,-0.09,-0.12,0.89,-0.24,0.20,0.42
00:00:11:732,-0.08,-0.31,0.95,0.01,0.17,0.32
00:00:11:832,-0.06,-0.39,1.33,0.20,0.28,0.27
00:00:11:932,-0.00,-0.27,1.02,-0.09,0.13,-0.07
00:00:12:032,-0.03,-0.43,1.06,-0.22,0.13,-0.25
00:00:12:132,-0.06,-0.01,1.06,0.12,0.02,-0.35
00:00:12:232,-0.05,-0.18,0.95,0.09,-0.01,-0.39
00:00:12:332,0.07,-0.15,1.03,0.26,-0.12,-0.56
00:00:12:432,0.02,-0.42,1.24,-0.22,-0.05,-0.48
00:00:12:532,-0.05,-0.26,0.96,-0.07,-0.02,-0.42
00:00:12:632,-0.01,-0.21,0.82,-0.23,0.09,-0.23
00:00:12:732,-0.02,-0.17,0.97,-0.13,0.08,-0.17
00:00:12:832,-0.01,-0.39,1.12,-0.22,0.02,-0.14
00:00:12:932,-0.03,-0.44,1.13,-0.03,0.08,-0.22
00:00:13:032,-0.03,-0.22,1.01,-0.08,0.12,-0.17
00:00:13:132,0.01,-0.31,0.96,0.00,0.09,-0.14
00:00:13:232,-0.07,-0.19,1.13,-0.06,0.18,-0.09
00:00:13:332,-0.02,-0.21,0.90,-0.02,0.07,-0.20
00:00:13:432,-0.00,-0.43,0.89,-0.30,0.13,-0.32
00:00:13:532,-0.00,-0.33,0.95,0.02,0.03,-0.37
00:00:13:632,0.02,0.01,0.89,-0.12,-0.11,-0.47
00:00:13:732,0.02,-0.44,1.18,-0.06,0.04,-0.55
00:00:13:832,-0.02,-0.29,1.00,-0.14,0.05,-0.47
00:00:13:932,0.03,-0.33,0.95,-0.12,-0.03,-0.45
00:00:14:032,0.03,-0.21,0.95,-0.15,0.03,-0.33
00:00:14:132,0.01,-0.28,0.90,-0.08,0.01,-0.24
00:00:14:232,0.04,-0.25,0.96,-0.01,0.05,-0.18
00:00:14:332,-0.02,-0.18,1.07,0.03,0.08,-0.11
00:00:14:432,0.03,-0.26,0.95,-0.07,0.10,-0.10
00:00:14:532,-0.04,-0.24,0.87,-0.02,0.08,-0.14
00:00:14:632,0.01,-0.28,1.04,-0.09,-0.04,-0.24
00:00:14:732,0.03,-0.33,1.08,-0.28,-0.02,-0.27
00:00:14:832,0.03,-0.27,0.99,-0.06,-0.06,-0.23
00:00:14:932,0.02,-0.25,1.00,-0.16,0.07,-0.12
00:00:15:032,-0.03,-0.32,1.06,-0.13,0.10,0.00
00:00:15:132,-0.00,-0.25,0.95,-0.13,0.01,-0.06
00:00:15:232,0.04,-0.30,0.89,-0.05,-0.05,-0.19
00:00:15:332,0.07,-0.42,0.93,-0.11,-0.08,-0.22
00:00:15:432,0.02,-0.55,1.01,-0.06,-0.08,-0.15
00:00:15:532,-0.01,-0.29,1.08,0.08,-0.16,-0.16
00:00:15:632,0.02,-0.19,0.98,0.06,-0.14,-0.05
00:00:15:732,-0.01,0.14,0.96,0.31,-0.08,0.12
00:00:15:832,-0.01,0.17,1.32,0.07,0.09,0.33
00:00:15:932,-0.05,-0.08,1.32,0.00,0.07,0.36
00:00:16:032,-0.01,-0.33,1.04,-0.06,-0.05,0.21
00:00:16:132,-0.02,-0.21,1.01,-0.15,-0.21,0.10
00:00:16:232,0.05,-0.19,1.12,-0.20,-0.23,0.12
00:00:16:332,-0.03,-0.30,0.78,-0.03,-0.17,0.33
00:00:16:432,-0.06,-0.09,1.08,0.03,-0.05,0.45
00:00:16:532,-0.00,0.03,1.21,-0.16,0.00,0.47
00:00:16:632,-0.02,-0.09,0.99,-0.05,0.06,0.47
00:00:16:732,-0.07,-0.31,0.98,-0.11,0.14,0.46
00:00:16:832,-0.07,-0.19,0.93,-0.07,0.07,0.44
00:00:16:932,-0.08,-0.29,0.94,-0.22,0.16,0.33
00:00:17:032,0.02,-0.09,1.01,-0.17,0.15,0.24
00:00:17:132,-0.01,-0.07,1.08,-0.12,0.06,0.06
00:00:17:232,0.02,-0.20,1.08,-0.17,0.05,-0.09
00:00:17:332,-0.01,-0.24,0.83,-0.00,-0.05,-0.04
00:00:17:432,0.01,-0.20,0.79,0.10,0.04,0.02
00:00:17:532,-0.07,-0.16,0.94,-0.02,0.08,-0.04
00:00:17:632,-0.03,-0.29,0.99,-0.06,0.04,-0.07
00:00:17:732,-0.04,-0.02,1.21,-0.13,0.03,-0.05
00:00:17:832,-0.02,-0.04,1.04,-0.09,-0.01,0.00
00:00:17:932,-0.09,-0.21,1.01,-0.06,-0.01,0.04
00:00:18:032,-0.01,0.00,1.19,-0.06,0.00,0.06
00:00:18:132,-0.07,-0.32,0.97,-0.15,-0.02,0.04
00:00:18:232,-0.05,-0.03,1.06,-0.11,0.04,0.04
00:00:18:332,-0.03,-0.17,0.95,-0.02,-0.09,0.00
00:00:18:432,-0.05,-0.08,1.02,-0.03,-0.03,-0.05
00:00:18:532,-0.05,-0.13,1.17,-0.13,0.03,0.07
00:00:18:632,0.02,-0.20,1.10,0.05,-0.08,0.04
00:00:18:732,-0.00,-0.22,0.90,-0.09,-0.02,0.04
00:00:18:833,-0.07,-0.35,0.94,-0.06,0.03,0.08
00:00:18:932,-0.06,-0.37,0.98,-0.14,0.06,0.09
00:00:19:032,-0.05,-0.25,0.94,-0.18,0.06,0.09
00:00:19:132,-0.03,-0.18,1.04,-0.16,0.14,0.09
00:00:19:232,-0.04,-0.26,1.07,-0.12,0.19,0.07
00:00:19:332,0.01,-0.10,1.19,-0.27,0.14,-0.05
00:00:19:432,0.05,-0.12,1.14,-0.13,0.04,-0.11
00:00:19:532,-0.02,-0.06,0.95,-0.06,-0.02,-0.10
00:00:19:632,-0.07,-0.16,0.94,0.13,0.04,-0.07
00:00:19:732,-0.01,-0.14,0.99,-0.00,0.05,-0.17
00:00:19:832,0.00,-0.12,1.30,-0.09,-0.01,-0.13
00:00:19:932,-0.03,-0.34,0.95,-0.13,-0.01,-0.08
00:00:20:032,-0.02,-0.16,1.04,-0.18,-0.07,-0.06
00:00:20:132,0.02,-0.02,1.21,-0.16,-0.05,-0.08
00:00:20:232,-0.00,-0.19,0.80,-0.13,-0.18,-0.11
00:00:20:332,-0.03,-0.31,0.87,0.00,-0.10,-0.10
00:00:20:432,-0.03,-0.06,1.24,-0.07,-0.07,-0.00
00:00:20:532,-0.03,-0.22,1.13,-0.16,-0.06,0.03
00:00:20:632,-0.05,-0.26,0.90,-0.08,-0.04,0.06
00:00:20:730,-0.05,0.07,1.21,-0.16,-0.01,0.06
00:00:20:832,-0.06,-0.27,0.99,-0.04,0.09,0.08
00:00:20:932,-0.05,-0.14,0.86,0.10,-0.00,0.10
00:00:21:032,-0.04,-0.08,1.25,-0.03,0.09,0.04
00:00:21:132,-0.01,-0.30,0.79,-0.24,0.01,-0.06
00:00:21:232,-0.04,-0.13,1.04,0.02,0.07,-0.02
00:00:21:332,-0.03,-0.02,0.99,-0.02,0.01,0.00
00:00:21:432,-0.04,-0.42,0.91,-0.17,-0.03,-0.04
00:00:21:532,-0.01,-0.32,0.89,-0.15,0.02,-0.08
00:00:21:632,0.00,-0.11,1.19,-0.13,-0.04,-0.08
00:00:21:732,-0.02,-0.21,0.93,-0.14,-0.03,-0.03
00:00:21:832,-0.04,-0.27,0.93,-0.07,0.02,0.02
00:00:21:932,-0.03,-0.24,1.09,-0.11,0.01,-0.06
00:00:22:032,-0.01,-0.17,1.11,-0.15,-0.04,-0.14
00:00:22:132,-0.03,-0.01,1.18,-0.05,-0.13,-0.10
00:00:22:232,-0.02,-0.20,1.12,-0.11,-0.11,-0.02
00:00:22:332,-0.02,-0.07,0.98,-0.08,-0.13,0.07
00:00:22:432,-0.06,-0.29,0.94,-0.20,-0.05,0.07
00:00:22:532,0.00,-0.50,1.01,-0.02,-0.05,0.08
00:00:22:632,-0.01,-0.32,1.09,-0.06,0.06,0.17
00:00:22:732,-0.08,-0.29,1.21,-0.27,0.13,0.10
00:00:22:832,0.00,-0.17,0.98,-0.05,0.09,0.09
00:00:22:932,-0.03,-0.44,0.92,-0.29,0.12,0.00
00:00:23:032,-0.04,-0.34,1.04,-0.18,0.08,0.01
00:00:23:132,0.02,-0.26,1.13,-0.12,0.02,-0.06
00:00:23:232,-0.04,-0.43,1.01,-0.03,0.03,-0.06
00:00:23:333,-0.08,-0.04,0.59,0.13,-0.01,-0.04
00:00:23:432,-0.00,-0.30,0.98,-0.43,-0.10,-0.16
00:00:23:532,0.03,-0.08,0.22,0.22,-0.23,-0.01
00:00:23:632,0.02,-0.38,0.93,-0.49,0.10,0.01
00:00:23:732,0.03,-0.37,1.25,-0.25,0.03,0.00
00:00:23:832,0.03,-0.19,0.97,-0.08,-0.08,-0.03
00:00:23:932,0.03,-0.29,1.11,0.04,-0.05,-0.01
00:00:24:030,0.01,-0.28,1.10,0.03,-0.00,0.01
00:00:24:132,0.03,-0.37,1.12,-0.08,-0.06,-0.01
00:00:24:232,0.06,-0.23,1.03,-0.22,-0.08,0.01
00:00:24:332,-0.01,-0.29,1.14,-0.13,0.04,0.05
00:00:24:432,-0.01,-0.23,0.95,-0.13,-0.04,0.07
00:00:24:532,-0.06,-0.24,1.03,-0.13,0.02,0.07
00:00:24:632,-0.05,-0.16,0.83,-0.05,0.05,0.07
00:00:24:732,-0.07,-0.32,0.86,-0.02,0.09,0.08
00:00:24:832,0.01,-0.27,0.70,-0.07,0.03,0.11
00:00:24:932,-0.03,-0.35,0.98,-0.14,0.19,0.07
00:00:25:032,-0.01,-0.29,0.90,-0.04,0.16,0.03
00:00:25:132,-0.03,-0.27,0.98,-0.07,0.13,-0.03
00:00:25:232,-0.02,-0.20,0.90,-0.05,0.04,-0.07
00:00:25:332,-0.03,-0.28,1.05,-0.11,0.02,-0.14
00:00:25:432,0.03,-0.23,1.00,-0.15,-0.08,-0.18
00:00:25:532,-0.02,-0.17,1.02,-0.15,-0.08,-0.14
00:00:25:632,-0.01,-0.23,1.10,-0.02,-0.05,-0.04
00:00:25:732,-0.00,-0.15,1.09,0.02,-0.05,0.01
00:00:25:832,0.00,-0.21,1.17,-0.18,-0.04,-0.02
00:00:25:932,-0.01,-0.17,1.06,-0.14,0.04,-0.04
00:00:26:032,0.01,-0.21,0.96,-0.04,-0.03,-0.05
00:00:26:132,-0.05,-0.21,0.98,-0.16,0.04,-0.00
00:00:26:230,-0.01,-0.10,1.05,-0.03,-0.09,-0.02
00:00:26:332,-0.03,-0.19,1.00,-0.04,-0.07,0.03
00:00:26:432,-0.07,-0.27,1.12,-0.14,0.11,0.05
00:00:26:532,0.02,-0.06,1.08,-0.16,0.07,0.01
00:00:26:632,-0.04,-0.36,1.06,-0.23,0.05,-0.03
00:00:26:732,0.02,-0.34,1.01,-0.20,-0.01,-0.03
00:00:26:832,-0.04,-0.07,1.18,-0.22,0.09,0.00
00:00:26:932,-0.07,-0.27,1.08,-0.15,0.09,-0.03
00:00:27:032,-0.04,-0.29,0.91,-0.12,0.00,-0.03
00:00:27:132,-0.01,-0.36,1.05,-0.09,0.01,-0.08
00:00:27:232,-0.01,-0.24,1.10,-0.21,0.03,-0.03
00:00:27:332,-0.01,-0.01,1.24,-0.08,0.01,-0.03
00:00:27:432,-0.03,-0.20,1.18,-0.12,0.06,-0.07
00:00:27:532,-0.03,0.15,0.97,0.04,-0.04,-0.05
00:00:27:632,-0.02,-0.21,1.09,-0.07,-0.03,-0.11
00:00:27:732,-0.00,-0.18,1.23,-0.05,0.06,-0.04
00:00:27:832,-0.06,-0.31,1.10,-0.03,-0.05,0.01
00:00:27:932,-0.05,-0.41,1.02,-0.27,0.02,-0.02
00:00:28:032,-0.04,-0.16,1.21,-0.38,0.01,-0.04
00:00:28:132,0.01,-0.09,1.09,-0.06,-0.07,-0.01
00:00:28:232,-0.03,-0.16,1.08,-0.16,0.00,-0.02
00:00:28:332,-0.03,-0.25,0.96,-0.01,0.00,-0.04
00:00:28:432,-0.02,-0.12,1.26,-0.18,-0.06,-0.09
00:00:28:532,0.00,-0.35,1.02,0.05,-0.17,-0.07
00:00:28:632,-0.00,-0.31,0.78,-0.29,-0.16,-0.05
00:00:28:732,-0.04,0.03,0.73,-0.18,-0.07,0.15
00:00:28:832,-0.02,-0.40,1.12,-0.13,0.02,0.09
00:00:28:932,-0.05,-0.35,0.92,0.02,0.13,0.10
00:00:29:032,0.00,-0.12,1.00,0.10,0.02,0.10
00:00:29:132,-0.01,-0.39,0.93,-0.05,0.18,0.09
00:00:29:232,0.04,-0.37,1.01,-0.13,0.11,-0.00
00:00:29:332,-0.01,-0.16,0.98,-0.13,0.20,0.03
00:00:29:432,0.00,-0.06,1.09,-0.18,0.16,0.03
00:00:29:532,-0.04,-0.26,1.18,-0.12,0.27,0.01
00:00:29:632,0.03,-0.46,1.14,-0.18,0.10,-0.16
00:00:29:732,-0.03,-0.42,0.99,-0.19,0.06,-0.22
