TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
00:00:00:047,-0.05,-0.22,1.01,-0.10,-0.03,-0.02
00:00:00:134,-0.01,-0.24,1.00,-0.10,-0.01,-0.02
00:00:00:232,-0.00,-0.26,1.00,-0.10,0.02,-0.01
00:00:00:332,-0.05,-0.24,1.03,-0.10,0.05,-0.00
00:00:00:432,-0.07,-0.23,1.02,-0.11,0.02,-0.01
00:00:00:532,-0.05,-0.27,1.00,-0.11,-0.02,-0.03
00:00:00:632,-0.04,-0.28,1.00,-0.10,-0.02,-0.04
00:00:00:732,-0.06,-0.26,1.02,-0.09,-0.02,-0.02
00:00:00:832,-0.03,-0.25,1.01,-0.09,0.00,-0.02
00:00:00:932,-0.03,-0.25,1.01,-0.09,-0.04,-0.02
00:00:01:032,-0.01,-0.26,0.99,-0.09,-0.03,-0.02
00:00:01:132,-0.01,-0.24,1.02,-0.10,0.00,-0.01
00:00:01:232,-0.03,-0.21,1.04,-0.10,0.03,-0.01
00:00:01:332,-0.04,-0.24,1.01,-0.09,0.02,-0.02
00:00:01:432,-0.03,-0.26,1.00,-0.09,0.02,-0.01
00:00:01:532,-0.04,-0.26,1.01,-0.10,0.02,-0.02
00:00:01:632,-0.04,-0.25,1.01,-0.10,0.01,-0.02
00:00:01:732,-0.04,-0.25,1.01,-0.10,0.00,-0.02
00:00:01:832,-0.04,-0.26,1.01,-0.10,-0.02,-0.02
00:00:01:932,-0.02,-0.23,1.01,-0.10,-0.02,-0.02
00:00:02:032,-0.02,-0.25,1.01,-0.09,-0.00,-0.02
00:00:02:132,-0.02,-0.24,1.01,-0.10,0.01,-0.01
00:00:02:232,-0.03,-0.24,1.00,-0.09,0.01,-0.02
00:00:02:332,-0.03,-0.27,1.02,-0.11,-0.02,-0.02
00:00:02:432,-0.04,-0.20,1.03,-0.08,-0.00,-0.02
00:00:02:532,-0.02,-0.25,0.99,-0.09,-0.01,-0.02
00:00:02:632,-0.02,-0.27,0.98,-0.04,0.01,-0.01
00:00:02:732,-0.03,-0.32,1.01,-0.14,-0.02,-0.02
00:00:02:832,-0.01,-0.23,1.03,-0.14,-0.01,-0.02
00:00:02:932,-0.04,-0.21,1.03,-0.11,0.00,-0.02
00:00:03:032,-0.02,-0.27,1.01,-0.12,-0.00,-0.03
00:00:03:132,-0.02,-0.20,1.02,-0.08,-0.04,-0.02
00:00:03:232,-0.03,-0.21,1.03,-0.11,-0.03,-0.03
00:00:03:332,-0.02,-0.25,0.97,-0.11,-0.03,-0.02
00:00:03:432,0.02,-0.23,1.08,-0.10,-0.03,-0.02
00:00:03:532,-0.00,-0.26,1.08,-0.09,0.00,-0.02
00:00:03:632,-0.00,-0.23,0.98,-0.11,-0.00,-0.03
00:00:03:732,0.02,-0.22,1.03,-0.07,-0.06,-0.03
00:00:03:832,0.03,-0.25,1.05,-0.13,-0.03,-0.02
00:00:03:932,-0.01,-0.23,1.07,-0.08,-0.01,-0.02
00:00:04:032,0.00,-0.25,1.00,-0.15,-0.04,-0.03
00:00:04:132,0.03,-0.27,0.97,-0.08,-0.04,-0.02
00:00:04:232,0.01,-0.23,0.94,-0.05,-0.01,-0.02
00:00:04:332,0.03,-0.29,1.06,-0.12,-0.01,-0.02
00:00:04:432,0.03,-0.26,0.99,-0.08,0.01,-0.01
00:00:04:532,0.02,-0.25,1.06,-0.09,0.04,-0.01
00:00:04:632,0.03,-0.22,1.01,-0.07,0.03,-0.02
00:00:04:732,0.02,-0.22,1.03,-0.09,0.06,-0.01
00:00:04:832,-0.01,-0.21,1.09,-0.08,0.06,-0.00
00:00:04:932,0.00,-0.25,1.00,-0.14,0.06,-0.00
00:00:05:032,-0.01,-0.28,0.93,-0.08,0.03,-0.01
00:00:05:132,-0.02,-0.16,0.99,-0.03,0.00,-0.02
00:00:05:232,0.00,-0.30,1.04,-0.13,-0.00,-0.02
00:00:05:332,0.00,-0.26,1.00,-0.09,-0.00,-0.01
00:00:05:432,-0.01,-0.24,1.02,-0.11,0.02,-0.01
00:00:05:532,-0.00,-0.19,0.97,-0.07,-0.00,-0.02
00:00:05:632,-0.01,-0.26,1.07,-0.11,0.01,-0.02
00:00:05:732,-0.02,-0.25,1.00,-0.05,0.01,-0.01
00:00:05:832,0.00,-0.29,1.03,-0.14,0.02,-0.01
00:00:05:932,0.00,-0.27,0.98,-0.10,0.04,-0.01
00:00:06:033,-0.00,-0.25,1.06,-0.18,0.02,-0.02
00:00:06:132,-0.02,-0.24,0.95,-0.10,0.03,-0.00
00:00:06:232,-0.04,-0.20,1.01,-0.08,0.03,-0.01
00:00:06:332,-0.01,-0.27,1.05,-0.20,0.00,-0.02
00:00:06:432,-0.01,-0.10,1.06,-0.23,0.04,-0.04
00:00:06:532,0.01,-0.20,1.04,-0.24,0.00,-0.03
00:00:06:632,-0.01,-0.28,1.07,-0.16,0.03,-0.03
00:00:06:732,-0.05,-0.30,0.95,-0.06,0.05,-0.03
00:00:06:832,-0.05,-0.19,0.95,0.01,-0.02,-0.04
00:00:06:932,-0.00,-0.03,1.05,-0.02,-0.04,-0.04
00:00:07:032,0.02,-0.09,1.11,-0.04,-0.02,-0.05
00:00:07:132,-0.05,-0.17,0.99,-0.13,0.03,-0.06
00:00:07:232,-0.02,-0.12,1.06,-0.15,-0.00,-0.06
00:00:07:332,0.01,-0.23,1.16,-0.16,-0.00,-0.04
00:00:07:432,-0.01,-0.33,0.90,-0.03,0.07,-0.04
00:00:07:532,-0.01,-0.05,1.04,0.01,0.06,-0.04
00:00:07:632,0.01,0.01,1.05,-0.10,0.13,-0.05
00:00:07:732,-0.04,-0.12,1.02,-0.17,0.06,-0.09
00:00:07:832,-0.00,-0.22,1.10,-0.10,0.05,-0.11
00:00:07:932,0.00,-0.34,0.97,-0.13,0.08,-0.15
00:00:08:032,-0.01,-0.29,0.96,-0.06,0.09,-0.15
00:00:08:132,-0.04,-0.34,0.99,-0.10,0.09,-0.19
00:00:08:232,-0.02,-0.23,1.02,-0.06,0.05,-0.21
00:00:08:332,-0.07,-0.37,0.99,-0.07,-0.01,-0.22
00:00:08:432,0.01,-0.32,1.01,-0.08,-0.06,-0.22
00:00:08:532,0.01,-0.25,1.05,-0.09,-0.02,-0.20
00:00:08:632,0.03,-0.36,0.99,-0.12,0.01,-0.15
00:00:08:732,0.01,-0.35,0.97,-0.08,0.03,-0.14
00:00:08:832,0.02,-0.18,1.06,-0.12,0.08,-0.12
00:00:08:932,-0.01,-0.03,1.15,0.11,0.13,-0.13
00:00:09:032,-0.01,-0.21,1.12,-0.12,0.15,-0.20
00:00:09:132,0.00,-0.19,0.93,-0.09,0.11,-0.26
00:00:09:232,-0.08,-0.29,0.99,0.07,0.17,-0.32
00:00:09:332,0.05,-0.18,1.00,-0.04,0.00,-0.35
00:00:09:432,0.00,-0.17,0.94,-0.12,0.02,-0.40
00:00:09:532,-0.01,-0.22,1.10,-0.10,0.05,-0.43
00:00:09:632,-0.01,-0.34,1.03,-0.10,-0.01,-0.46
00:00:09:732,-0.01,-0.34,0.92,-0.10,-0.06,-0.46
00:00:09:832,0.01,-0.22,1.04,-0.06,-0.08,-0.43
00:00:09:932,0.05,-0.30,0.97,-0.05,-0.15,-0.42
00:00:10:032,0.04,-0.34,1.06,-0.18,-0.12,-0.38
00:00:10:132,0.08,-0.26,0.93,-0.08,-0.15,-0.28
00:00:10:232,0.11,-0.24,1.02,-0.01,-0.03,-0.21
00:00:10:332,0.09,-0.28,0.98,-0.14,-0.00,-0.12
00:00:10:432,0.07,-0.29,0.89,-0.08,0.08,-0.06
00:00:10:532,0.08,-0.31,1.05,-0.16,0.14,0.00
00:00:10:632,0.04,-0.28,1.04,-0.15,0.15,0.05
00:00:10:732,-0.01,-0.31,1.04,-0.16,0.12,0.04
